time,xyz_1,xyz_2,xyz_3,xzy_1,xzy_2,xzy_3,yxz_1,yxz_2,yxz_3,yzx_1,yzx_2,yzx_3,zxy_1,zxy_2,zxy_3,zyx_1,zyx_2,zyx_3
1779198225.6780,25.83,-14.70,9.11,28.16,8.81,-14.87,-16.24,24.93,16.11,-9.30,14.57,25.81,9.97,27.80,-10.19,14.76,-9.00,28.18
1779198225.9293,21.01,-7.74,6.36,21.87,6.30,-7.79,-8.29,20.81,9.32,-4.95,8.71,21.06,6.78,21.73,-5.27,8.74,-4.89,21.81
1779198226.1720,9.48,0.52,3.87,9.44,3.87,0.52,0.52,9.48,3.79,1.15,3.73,9.50,3.92,9.42,1.16,3.73,1.14,9.42
1779198226.4202,-3.95,12.63,1.47,-4.27,1.43,12.63,12.66,-3.85,2.33,12.50,2.33,-3.85,1.44,-4.27,12.53,2.39,12.49,-4.37
1779198226.6451,-13.97,26.68,-0.80,-13.61,-0.72,26.68,27.38,-12.46,5.57,26.17,5.44,-12.51,-0.74,-13.61,26.86,6.06,26.04,-15.18
1779198226.9277,-9.59,44.52,-2.55,-7.80,-1.82,44.54,44.92,-6.82,4.21,44.42,4.18,-6.84,-1.84,-7.80,44.79,5.84,44.27,-10.92
1779198227.2007,10.79,59.89,-3.87,14.13,-1.94,59.94,60.33,5.39,-13.23,59.06,-13.17,5.53,-2.00,14.13,59.46,-24.47,56.64,26.35
1779198227.4133,29.23,65.09,-6.04,34.70,-2.54,65.21,67.94,11.87,-32.94,60.34,-32.15,14.06,-3.09,34.67,63.45,-51.79,47.37,57.12
1779198227.6729,18.92,63.65,-9.32,27.28,-4.12,63.95,64.90,8.27,-26.39,60.81,-26.10,9.22,-4.64,27.21,61.83,-45.13,51.63,47.44
1779198227.9293,9.60,65.18,-13.16,21.59,-5.48,65.76,65.49,4.02,-21.89,63.88,-21.84,4.33,-5.89,21.48,63.60,-42.31,56.45,41.51
1779198228.1614,-8.91,75.06,-23.41,13.79,-5.88,76.24,75.23,-2.29,-14.80,75.84,-14.79,-2.37,-6.05,13.72,74.80,-47.18,69.63,42.96
1779198228.4315,-118.97,84.07,-133.18,14.35,-4.32,94.06,92.88,-5.18,-14.07,94.18,-14.01,-5.34,-4.46,14.31,92.96,-106.27,75.39,101.44
1779198228.6602,-157.68,65.77,-176.78,19.39,-1.32,114.20,112.60,-8.97,-17.31,115.38,-17.09,-9.38,-1.40,19.38,113.73,-144.35,59.72,138.84
1779198228.9312,-154.71,38.47,174.75,28.56,4.11,141.41,138.69,-19.54,-21.63,146.24,-20.33,-20.89,4.68,28.48,143.65,-155.98,31.40,146.04
1779198229.2034,-151.16,20.03,171.31,31.84,8.16,159.76,157.41,-26.95,-19.37,166.46,-17.19,-28.32,9.58,31.48,164.79,-162.35,12.93,147.60
1779198229.4465,-146.87,5.59,168.34,34.28,11.60,174.30,173.34,-32.95,-15.29,-178.20,-12.79,-33.90,13.95,33.49,-177.90,-167.21,-1.75,146.50
1779198229.6739,-145.51,-5.59,165.86,33.09,14.07,-174.24,-173.23,-34.31,-10.31,-167.37,-8.50,-34.74,16.66,31.97,-165.23,-171.29,-12.49,147.16
1779198229.9360,-143.40,-16.21,162.80,31.66,16.50,-163.08,-160.10,-34.93,-5.49,-156.95,-4.50,-35.05,19.19,30.22,-153.14,-175.11,-22.98,146.86
1779198230.1731,-139.55,-22.27,160.14,32.66,18.32,-156.47,-151.71,-36.90,-1.95,-150.54,-1.56,-36.92,21.47,30.81,-145.08,-178.21,-29.45,143.97
1779198230.4625,-136.68,-26.52,157.81,33.00,19.75,-151.68,-145.56,-37.87,0.64,-145.95,0.51,-37.87,23.18,30.84,-139.31,179.39,-34.05,141.78
1779198230.6650,-134.71,-30.22,155.76,32.52,20.78,-147.43,-140.38,-37.89,2.71,-142.04,2.14,-37.92,24.23,30.18,-134.68,177.29,-37.93,140.41
1779198230.9165,-133.97,-29.58,155.60,33.41,21.05,-148.07,-140.73,-38.75,2.70,-142.43,2.11,-38.78,24.76,30.93,-134.73,177.34,-37.54,139.60
1779198231.1659,-133.61,-25.86,156.94,35.88,20.64,-152.22,-144.91,-40.66,1.54,-145.91,1.17,-40.67,24.93,33.26,-137.92,178.59,-34.08,138.54
1779198231.4322,-134.68,-14.93,161.81,40.48,17.56,-164.32,-159.23,-43.39,-3.59,-156.76,-2.61,-43.45,22.59,38.23,-149.88,-177.16,-23.21,137.67
1779198231.6692,-134.36,-1.70,167.86,45.27,12.14,-178.26,-177.57,-45.61,-10.41,-170.10,-7.26,-46.08,16.99,43.99,-166.28,-172.63,-9.82,135.18
1779198231.9661,-132.86,11.27,173.55,48.41,6.32,168.66,163.68,-45.96,-18.34,177.08,-12.63,-47.45,9.47,48.01,175.73,-167.35,2.85,131.91
1779198232.1860,-127.24,21.02,178.57,53.28,1.34,158.98,147.59,-48.00,-26.69,168.08,-17.49,-51.19,2.24,53.26,160.77,-162.15,11.36,125.18
1779198232.4304,-123.15,27.25,-177.18,55.56,-2.51,152.72,136.72,-48.10,-32.21,161.84,-20.85,-52.80,-4.43,55.48,149.07,-158.15,16.93,120.54
1779198232.6757,-120.35,32.58,-172.65,55.68,-6.19,147.21,128.33,-46.65,-35.25,155.54,-23.34,-52.38,-10.89,55.20,138.23,-154.64,22.35,117.41
1779198232.9513,-114.33,42.83,-162.76,53.76,-12.56,135.86,113.96,-41.93,-39.13,142.50,-28.00,-49.19,-20.64,51.93,119.34,-146.17,32.52,110.99
1779198233.1913,-99.09,55.37,-142.45,48.60,-20.26,118.70,96.23,-34.13,-41.45,122.59,-33.22,-42.13,-29.17,44.72,97.26,-129.43,44.82,97.27
1779198233.4383,-73.14,62.95,-112.41,41.71,-24.86,101.02,81.58,-25.80,-41.20,102.44,-36.37,-32.73,-31.83,37.13,80.48,-106.30,51.84,77.68
