time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1777981990.257791,1,0.0000,0.000000,1,1.322939E-09,1.479034E-09,1,0.0653,0.0000
1777981990.5166552,2,0.0000,0.000000,1,1.269205E-09,1.432202E-09,1,0.0653,0.0000
1777981990.7644005,3,0.0000,0.000000,1,1.368302E-09,1.324861E-09,1,0.0653,0.0000
1777981991.0067892,4,0.0000,0.000000,1,1.391410E-09,1.278132E-09,1,0.0653,0.0000
1777981991.2536569,5,0.0000,0.000000,1,1.517346E-09,1.213087E-09,1,0.0653,0.0000
1777981991.5161357,6,0.0000,0.000000,1,1.410391E-09,1.169120E-09,1,0.0653,0.0000
1777981991.7551863,7,0.0000,0.000000,1,1.458480E-09,1.128895E-09,1,0.0653,0.0000
1777981992.0159166,8,0.0000,0.000000,1,1.416107E-09,1.147384E-09,1,0.0653,0.0000
1777981992.2672894,9,0.0000,0.000000,1,1.405966E-09,1.177730E-09,1,0.0653,0.0000
1777981992.5124502,10,0.0000,0.000000,1,1.470127E-09,1.145446E-09,1,0.0653,0.0000
1777981992.7552626,11,0.0000,0.000000,1,1.403184E-09,1.067079E-09,1,0.0653,0.0000
1777981993.0152862,12,0.0000,0.000000,1,1.500933E-09,1.064044E-09,1,0.0653,0.0000
1777981993.2560368,13,0.0000,0.000000,1,1.472872E-09,1.009701E-09,1,0.0653,0.0000
1777981993.5195045,14,0.0000,0.000000,1,1.484218E-09,1.055160E-09,1,0.0653,0.0000
1777981993.7666533,15,0.0000,0.000000,1,1.389896E-09,1.155440E-09,1,0.0653,0.0000
1777981994.0118244,16,0.0000,0.000000,1,1.336180E-09,1.383606E-09,1,0.0653,0.0000
1777981994.2689626,17,0.0000,0.000000,1,1.364421E-09,1.467565E-09,1,0.0653,0.0000
1777981994.5121996,18,0.0000,0.000000,1,1.387284E-09,1.435059E-09,1,0.0653,0.0000
1777981994.7585845,19,0.0000,0.000000,1,1.433464E-09,1.418359E-09,1,0.0653,0.0000
1777981995.0042639,20,0.0000,0.000000,1,1.406734E-09,1.395862E-09,1,0.0653,0.0000
1777981995.2666132,21,0.0000,0.000000,1,1.347888E-09,1.306613E-09,1,0.0653,0.0000
1777981995.5115862,22,0.0000,0.000000,1,1.274263E-09,1.259921E-09,1,0.0653,0.0000
1777981995.7536037,23,0.0000,0.000000,1,1.285915E-09,1.297769E-09,1,0.0653,0.0000
1777981996.0117235,24,0.0000,0.000000,1,1.326884E-09,1.198924E-09,1,0.0653,0.0000
1777981996.2537265,25,0.0000,0.000000,1,1.225899E-09,1.353343E-09,1,0.0653,0.0000
1777981996.515106,26,0.0000,0.000000,1,1.531989E-09,1.660495E-09,1,0.0653,0.0000
1777981996.7606232,27,0.0000,0.000000,1,1.764796E-09,1.911712E-09,1,0.0653,0.0000
1777981997.0060494,28,0.0000,0.000000,1,1.743978E-09,1.960448E-09,1,0.0653,0.0000
