time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777981990.259093,1,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981990.5192993,2,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981990.7656877,3,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981991.0084753,4,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981991.2565773,5,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981991.5160878,6,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981991.7566435,7,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.72
1777981992.0185826,8,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.72
1777981992.269419,9,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.72
1777981992.5136156,10,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.72
1777981992.7574477,11,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981993.0172718,12,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981993.2572696,13,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981993.5222197,14,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981993.766779,15,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981994.0115058,16,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981994.2709663,17,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981994.5123036,18,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981994.7612371,19,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981995.0043561,20,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981995.268876,21,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981995.513066,22,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981995.7557638,23,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981996.0114586,24,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981996.2559204,25,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981996.5150585,26,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981996.7612224,27,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981997.0078282,28,1.0000,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.73
1777981997.3517885,29,1.0000,0,-10.6391,-0.6385,-2.8314,4.337238,0.0838,-22.38
1777981997.5749648,30,1.0000,0,-15.0023,-0.8620,-6.1733,0.603822,0.0587,-22.36
1777981997.8357387,31,1.0000,0,-16.0549,-0.8734,-9.0220,0.152383,0.0724,-21.99
1777981998.066816,32,0.9999,0,-16.3549,-0.8390,-11.2850,0.143814,0.0641,-22.88
1777981998.3432164,33,0.9999,0,-16.3549,-0.7887,-13.0124,0.164229,0.0740,-25.06
1777981998.6226282,34,0.9998,0,-16.3549,-0.7413,-14.3240,0.185777,0.1058,-26.42
1777981998.8591967,35,0.9998,0,-16.2549,-0.6909,-15.2868,0.198111,0.0907,-27.75
1777981999.0682874,36,0.9998,0,-16.0549,-0.6374,-15.9528,0.183830,0.0610,-27.53
1777981999.3595376,37,0.9998,0,-16.0549,-0.5992,-16.4430,0.163314,0.0895,-25.07
1777981999.5902715,38,0.9998,0,-16.1549,-0.5692,-16.8243,0.144835,0.0757,-23.22
1777981999.8261046,39,0.9998,0,-16.2549,-0.5411,-17.1218,0.129275,0.0593,-21.66
