time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777981990.2584176,1,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.12
1777981990.5195208,2,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.19,1.34,-1.12
1777981990.7658703,3,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.19,1.34,-1.13
1777981991.0087047,4,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.19,1.34,-1.13
1777981991.2566464,5,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.19,1.34,-1.13
1777981991.516706,6,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.19,1.34,-1.13
1777981991.756599,7,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981992.0183678,8,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981992.2684052,9,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981992.5152638,10,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981992.7571058,11,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981993.016592,12,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.12
1777981993.2587316,13,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981993.5220907,14,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.34,-1.13
1777981993.7694488,15,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.17,1.34,-1.13
1777981994.0124664,16,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.17,1.33,-1.13
1777981994.2702763,17,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.17,1.33,-1.13
1777981994.5130014,18,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.17,1.33,-1.13
1777981994.7611558,19,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.33,-1.13
1777981995.0057182,20,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.33,-1.13
1777981995.2694752,21,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.33,-1.13
1777981995.512204,22,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.33,-1.13
1777981995.7556467,23,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.33,-1.13
1777981996.0122814,24,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.32,-1.13
1777981996.2558599,25,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.32,-1.13
1777981996.5163252,26,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.32,-1.13
1777981996.7623355,27,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.32,-1.13
1777981997.0076594,28,0.0653,1,0.0000,0.0000,0.0000,0.000000,0.0000,27.18,1.32,-1.13
