time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777983363.0983036,1,0.0354,1,-0.0429,0.0000,0.0000,0.000056,0.0627,17.16,8.33,-4.82
1777983363.3298624,2,0.0352,1,-0.0429,0.0000,0.0000,0.000038,0.0717,14.13,8.64,-4.61
1777983363.5806692,3,0.0349,1,-0.0429,0.0000,0.0000,0.000102,0.0818,12.91,4.68,-2.89
1777983363.84158,4,0.0347,1,-0.0429,0.0000,0.0000,0.000131,0.0620,12.73,-1.67,-0.39
1777983364.0774753,5,0.0346,1,-0.0429,0.0000,0.0000,0.000099,0.0720,14.73,-8.68,1.88
1777983364.331307,6,0.0345,1,-0.0429,0.0000,0.0000,0.000051,0.0508,16.49,-14.60,3.78
1777983364.606423,7,0.0344,1,-0.0429,0.0000,0.0000,0.000018,0.0637,16.05,-18.15,4.87
1777983364.8196793,8,0.0344,1,-0.0429,0.0000,0.0000,0.000006,0.0459,15.33,-20.01,5.28
1777983365.099151,9,0.0344,1,-0.0429,0.0000,0.0000,0.000001,0.0643,14.56,-20.75,5.27
1777983365.334762,10,0.0345,1,-0.0429,0.0000,0.0000,0.000036,0.0607,14.35,-19.01,4.58
1777983365.603957,11,0.0347,1,-0.0429,0.0000,0.0000,0.000153,0.0947,15.30,-14.21,2.97
1777983365.849921,12,0.0350,1,-0.0429,0.0000,0.0000,0.000222,0.0642,17.44,-8.22,0.77
1777983366.1033905,13,0.0353,1,-0.0429,0.0000,0.0000,0.000128,0.0982,19.40,-2.43,-1.34
1777983366.3501222,14,0.0354,1,-0.0429,0.0000,0.0000,0.000021,0.0632,20.07,2.21,-3.02
1777983366.6032808,15,0.0354,1,-0.0429,0.0000,0.0000,0.000001,0.0650,19.90,4.32,-3.82
1777983366.8535786,16,0.0354,1,-0.0429,0.0000,0.0000,0.000001,0.0655,19.31,4.83,-3.98
1777983367.0894668,17,0.0353,1,-0.0429,0.0000,0.0000,0.000009,0.0533,19.02,4.17,-3.64
1777983367.3361278,18,0.0353,1,-0.0429,0.0000,0.0000,0.000024,0.0502,19.22,2.22,-2.86
1777983367.6123748,19,0.0358,1,-0.0429,0.0000,0.0000,0.000019,0.0745,20.09,0.34,-2.14
1777983367.8469498,20,0.0386,1,-0.0429,0.0000,0.0000,0.000006,0.0639,21.95,-1.63,-1.18
1777983368.1006021,21,0.0536,1,-0.0429,0.0000,0.0000,0.000015,0.0710,23.11,-2.96,-0.39
1777983368.3372855,22,0.0772,1,-0.0429,0.0000,0.0000,0.000029,0.0469,24.68,-3.31,-0.03
1777983368.5953538,23,0.1026,0,-0.0429,0.0000,-0.0010,0.000029,0.0745,25.60,-3.84,0.45
1777983368.8288722,24,0.1313,0,-0.0429,0.0000,-0.0022,0.000012,0.0631,24.71,-3.81,0.66
1777983369.0852938,25,0.1606,0,-0.0429,0.0000,-0.0036,0.000017,0.0591,23.87,-3.25,0.56
