time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777984657.2447004,1,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.91
1777984657.4893134,2,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.91
1777984657.752515,3,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.91
1777984657.9965744,4,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.92
1777984658.2412362,5,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.92
1777984658.502405,6,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.92
1777984658.745094,7,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.91
1777984658.9936333,8,0.9998,1,0.0000,0.0000,0.0000,0.000000,0.0000,-21.91
1777984690.991808,9,0.9999,1,0.0000,0.0000,0.0000,0.000000,0.0000,-22.04
1777984691.2524076,10,0.9999,1,0.0000,0.0000,0.0000,0.000000,0.0000,-22.05
1777984691.4946012,11,0.9999,1,0.0000,0.0000,0.0000,0.000000,0.0000,-22.05
1777984691.7416804,12,0.9999,1,0.0000,0.0000,0.0000,0.000000,0.0000,-22.05
