time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779901059.5311155,1,0.0194,1,0.0000,0.0000,0.0000,0.469737,0.2667,18.45,29.40,-2.89,1.000000,1.000000,0,0
1779901060.0324485,2,0.0193,1,0.0000,0.0000,0.0000,0.552571,0.2299,17.73,26.29,-1.95,0.500000,0.500000,0,0
1779901060.3181293,3,0.0192,1,0.0000,0.0000,0.0000,0.651880,0.2555,16.02,22.85,-0.92,0.333333,0.333333,0,0
1779901060.4731314,4,0.0194,1,0.0000,0.0000,0.0000,0.694944,0.1472,13.62,20.66,-0.23,0.250000,0.250000,0,0
1779901060.8608663,5,0.0201,1,0.0000,0.0000,0.0000,0.659281,0.2735,12.41,21.15,-0.14,0.200000,0.200000,0,0
1779901061.382601,6,0.0360,1,0.0000,0.0000,0.0000,0.628524,0.2740,13.80,21.17,-0.46,0.166667,0.166667,0,0
1779901061.9673972,7,0.0763,1,0.0000,0.0000,0.0000,0.688958,0.3164,14.48,15.17,0.40,0.142857,0.142857,0,0
1779901062.414159,8,0.1216,0,-0.6444,-0.0098,-0.0194,0.568780,0.2385,13.43,12.66,0.65,0.125000,0.125000,0,0
1779901062.6308026,9,0.1436,0,-0.7215,-0.0109,-0.0413,0.471328,0.1921,13.84,13.32,0.38,0.111111,0.111111,0,0
1779901062.9867568,10,0.1664,0,-0.7634,-0.0114,-0.0645,0.411899,0.2850,13.73,13.17,0.22,0.100000,0.100000,0,0
1779901063.623163,11,0.2105,0,-0.8131,-0.0121,-0.0908,0.306886,0.3917,12.93,11.89,0.21,0.090909,0.090909,0,0
1779901064.0975895,12,0.2419,0,-0.9511,-0.0147,-0.1225,0.261755,0.3245,11.95,8.83,0.63,0.083333,0.083333,0,0
1779901064.6424835,13,0.2584,0,-1.0071,-0.0155,-0.1552,0.225098,0.3519,7.56,5.59,0.49,0.076923,0.076923,0,0
1779901065.0747497,14,0.2642,0,-1.0213,-0.0155,-0.1867,0.216551,0.2372,2.16,1.55,0.76,0.071429,0.071429,0,0
