time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777994139.0075755,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0244,146.15,45.78,-153.71
1777994139.0375075,2,0.0190,1,-106.9499,0.0000,0.0000,0.040348,0.0104,158.58,46.15,-163.32
1777994139.2349827,3,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0069,158.43,47.08,-163.25
1777994139.4927828,4,0.0191,1,-102.9912,0.0000,0.0000,0.035070,0.0079,155.27,46.12,-160.65
1777994139.7625623,5,0.0192,1,-111.1176,0.0000,0.0000,0.056612,0.0094,156.72,43.20,-162.71
1777994140.0273397,6,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0081,161.17,45.46,-165.91
1777994140.29436,7,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0155,163.60,47.92,-166.90
1777994140.5747213,8,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0274,164.91,48.56,-168.07
1777994140.8293123,9,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0193,162.90,33.89,-170.35
1777994141.0825317,10,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0063,22.64,44.25,-15.55
1777994141.3532834,11,0.1058,0,-19.1526,0.0694,-0.3765,0.035735,0.0060,22.21,33.06,-12.24
1777994141.6237364,12,0.1376,0,-15.8828,0.1061,-0.7415,0.017442,0.0101,20.86,24.05,-9.21
1777994141.8813453,13,0.1654,0,-12.8117,0.1439,-1.0406,0.020579,0.0121,16.20,17.83,-5.30
1777994142.1541147,14,0.1892,0,-9.8744,0.1816,-1.2330,0.033251,0.0059,11.71,15.51,-2.82
1777994142.422484,15,0.2103,0,-6.9641,0.2199,-1.2876,0.039690,0.0058,9.50,16.84,-2.38
1777994142.6700041,16,0.2299,0,-4.5407,0.2515,-1.2127,0.019406,0.0053,9.12,19.44,-3.09
1777994142.9514863,17,0.2475,0,-3.4524,0.2637,-1.0849,0.004073,0.0047,11.29,20.54,-3.96
1777994143.2068813,18,0.2617,0,-3.7731,0.2552,-0.9986,0.006852,0.0059,13.93,18.14,-4.10
1777994143.4727695,19,0.2698,0,-5.2548,0.2305,-1.0335,0.024561,0.0112,15.60,11.87,-3.33
1777994143.7459023,20,0.2716,0,-6.5484,0.2098,-1.1646,0.021487,0.0106,12.19,5.09,-2.13
1777994144.000864,21,0.2689,0,-7.1112,0.2000,-1.3271,0.011381,0.0053,4.59,0.04,-0.68
1777994144.2671278,22,0.2640,0,-6.7324,0.2021,-1.4496,0.018724,0.0057,-3.12,-1.45,0.38
1777994144.5387886,23,0.2586,0,-5.0534,0.2187,-1.4477,0.023795,0.0054,-10.63,0.34,0.67
1777994144.8102844,24,0.2537,0,-3.1735,0.2363,-1.3206,0.014768,0.0047,-16.15,2.79,1.14
1777994145.078469,25,0.2502,0,-1.8986,0.2467,-1.1192,0.006168,0.0092,-18.69,4.99,1.86
1777994145.3511946,26,0.2479,0,-1.0902,0.2520,-0.8793,0.001451,0.0039,-20.78,6.00,2.31
1777994145.6234355,27,0.2449,0,-1.0338,0.2502,-0.6508,0.001751,0.0098,-21.28,6.13,2.40
1777994145.89407,28,0.2409,0,-2.2371,0.2377,-0.5094,0.018289,0.0060,-16.42,6.45,2.20
1777994146.144967,29,0.2364,0,-4.1766,0.2200,-0.4910,0.038637,0.0049,-7.34,6.89,1.63
1777994146.41674,30,0.2314,0,-6.6071,0.1995,-0.6119,0.035326,0.0046,2.60,6.84,0.53
1777994146.698158,31,0.2279,0,-9.1765,0.1792,-0.8697,0.015663,0.0046,12.52,5.78,-0.68
1777994146.9594958,32,0.2270,0,-10.7952,0.1664,-1.2057,0.006683,0.0129,20.16,4.01,-1.06
1777994147.2173617,33,0.2277,0,-11.7067,0.1590,-1.5790,0.003312,0.0053,23.71,1.88,-0.52
1777994147.4829931,34,0.2289,0,-12.3473,0.1536,-1.9736,0.000490,0.0054,26.42,-0.00,0.12
1777994147.7382042,35,0.2301,0,-12.6506,0.1506,-2.3693,0.000237,0.0067,28.16,-1.13,0.61
1777994148.0017314,36,0.2295,0,-13.1059,0.1467,-2.7704,0.001884,0.0054,27.91,-2.00,1.04
1777994148.2941885,37,0.2261,0,-14.0368,0.1402,-3.1958,0.007111,0.0115,25.46,-3.17,1.29
1777994148.5463214,38,0.2212,0,-15.2498,0.1323,-3.6546,0.010111,0.0125,19.54,-5.08,1.07
1777994148.8045762,39,0.2188,0,-16.0200,0.1272,-4.1269,0.006764,0.0052,12.20,-7.03,0.80
1777994149.076254,40,0.2219,0,-14.4670,0.1351,-4.5016,0.039353,0.0065,5.04,-7.32,0.81
