time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1777994802.0741558,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.0063,-8.13
1777994802.0928154,2,0.9995,0,24.1745,12.0883,30.1996,0.563522,0.0076,-11.21
1777994802.1377442,3,0.9994,0,24.0767,8.0286,33.5138,0.549272,0.0192,-13.24
1777994802.3982074,4,0.9995,0,23.6015,5.9037,35.4654,0.708045,0.0148,-9.44
1777994802.6613615,5,0.9995,0,23.5160,4.7064,36.5211,0.699978,0.0150,-9.73
1777994802.9104571,6,0.9994,0,23.5473,3.9277,36.7448,0.635142,0.0056,-12.84
1777994803.1980789,7,0.9993,0,23.9637,3.4264,36.6195,0.626737,0.0123,-16.03
1777994803.4483488,8,0.9993,0,24.2246,3.0310,36.2702,0.629249,0.0091,-14.79
1777994803.724546,9,0.9993,0,24.2684,2.6994,35.7480,0.664883,0.0067,-13.50
1777994803.9712505,10,0.9992,0,24.3948,2.4423,35.1674,0.688864,0.0051,-11.26
1777994804.236695,11,0.9991,0,24.0797,2.1918,34.4498,0.629888,0.0064,-10.06
1777994804.5096996,12,0.9991,0,24.3226,2.0296,33.8160,0.562956,0.0051,-10.30
1777994804.7730649,13,0.9992,0,24.6051,1.8953,33.2778,0.548264,0.0086,-7.91
1777994805.035049,14,0.9994,0,24.5168,1.7537,32.7271,0.590899,0.0178,-5.93
1777994805.3021371,15,0.9993,0,24.4551,1.6327,32.1893,0.680515,0.0054,-2.61
1777994805.5826607,16,0.9987,0,24.2363,1.5172,31.6325,0.789393,0.0125,0.96
1777994805.834433,17,0.9979,0,24.0824,1.4191,31.0888,0.836849,0.0061,2.50
1777994806.1006851,18,0.9975,0,24.3566,1.3556,30.6753,0.841088,0.0071,3.35
1777994806.3749356,19,0.9978,0,24.5534,1.2948,30.3472,0.770910,0.0060,1.59
1777994806.6282923,20,0.9984,0,24.9632,1.2506,30.1452,0.645940,0.0054,0.26
1777994806.9063148,21,0.9990,0,24.9402,1.1900,29.9342,0.586611,0.0076,-2.23
1777994807.161019,22,0.9994,0,24.4149,1.1121,29.5930,0.622510,0.0052,-4.53
1777994807.4339402,23,0.9994,0,23.5709,1.0271,29.0752,0.865773,0.0066,-0.69
1777994807.709162,24,0.9995,0,22.5836,0.9432,28.3887,1.020973,0.0055,5.95
1777994807.9713178,25,0.9998,0,21.7887,0.8737,27.6239,1.111454,0.0122,14.14
1777994808.232426,26,1.0000,0,21.1742,0.8165,26.8470,1.186237,0.0119,24.79
1777994808.5092795,27,1.0000,0,20.9707,0.7787,26.1663,1.192009,0.0065,31.06
1777994808.7710977,28,1.0000,0,20.8958,0.7482,25.5947,1.198703,0.0109,32.02
1777994809.0447018,29,1.0000,0,21.2784,0.7356,25.2225,1.308641,0.0155,34.47
1777994809.3223484,30,1.0000,0,22.0657,0.7373,25.1059,1.449405,0.0117,36.95
1777994809.5785387,31,1.0000,0,23.0416,0.7450,25.2348,1.415010,0.0070,33.93
1777994809.827138,32,1.0000,0,24.0453,0.7531,25.5619,1.190909,0.0056,27.30
1777994810.0957382,33,0.9999,0,24.6558,0.7488,25.9478,0.889715,0.0127,16.49
1777994810.3685918,34,0.9998,0,24.9222,0.7346,26.2965,0.567991,0.0073,0.48
1777994810.61941,35,0.9997,0,25.0186,0.7164,26.5756,0.351873,0.0053,-11.22
1777994810.8963377,36,0.9996,0,25.0317,0.6968,26.7813,0.260822,0.0069,-17.52
1777994811.1651537,37,0.9995,0,25.0159,0.6776,26.9234,0.234452,0.0052,-19.77
1777994811.4383264,38,0.9994,0,25.0549,0.6608,27.0298,0.268231,0.0130,-17.14
1777994811.692552,39,0.9991,0,24.9810,0.6420,27.0823,0.342053,0.0054,-13.40
1777994811.9646046,40,0.9987,0,24.7672,0.6206,27.0599,0.476784,0.0054,-6.78
1777994812.2292447,41,0.9987,0,24.4278,0.5972,26.9499,0.743248,0.0081,2.26
1777994812.5049536,42,0.9988,0,23.7005,0.5657,26.6800,1.112322,0.0166,12.30
1777994812.7515025,43,0.9981,0,22.7838,0.5313,26.2423,1.543863,0.0050,25.12
1777994813.031566,44,0.9959,0,22.4567,0.5119,25.8156,1.797171,0.0063,38.53
1777994813.303733,45,0.9919,0,22.0479,0.4916,25.3807,1.950831,0.0060,47.22
1777994813.5576613,46,0.9873,0,22.2311,0.4850,25.0788,1.995565,0.0053,50.66
1777994813.8401628,47,0.9837,0,22.5964,0.4825,24.9217,1.933775,0.0052,51.83
