time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779982829.6824925,1,0.9994,0,26.9209,0.0000,26.9209,0.301786,0.1920,-22.44,1.000000,1.000000,0,0
1779982830.006549,2,0.9994,0,26.9201,-0.0004,26.9203,0.301193,0.2370,-22.44,0.500000,0.500000,0,0
1779982830.260602,3,0.9994,0,26.9194,-0.0005,26.9197,0.300534,0.2099,-22.44,0.333333,0.333333,0,0
1779982830.5407867,4,0.9994,0,26.9185,-0.0006,26.9189,0.299787,0.2098,-22.44,0.250000,0.250000,0,0
1779982830.7753856,5,0.9994,0,26.9177,-0.0006,26.9182,0.298962,0.1824,-22.44,0.200000,0.200000,0,0
1779982831.0598254,6,0.9994,0,26.9145,-0.0011,26.9167,0.297113,0.1905,-22.43,0.166667,0.166667,0,0
1779982831.3156936,7,0.9994,0,26.9044,-0.0024,26.9127,0.288305,0.1968,-21.86,0.142857,0.159104,0,0
1779982831.5834851,8,0.9993,0,26.9441,0.0029,26.9202,0.284585,0.1920,-21.08,0.125000,0.159104,0,0
1779982831.8793607,9,0.9988,0,26.8834,-0.0042,26.9108,0.294326,0.2215,-19.44,0.111111,0.159104,0,0
1779982832.1437726,10,0.9980,0,26.9744,0.0053,26.9254,0.305454,0.2276,-16.94,0.100000,0.159104,0,0
1779982832.4222968,11,0.9971,0,26.8721,-0.0044,26.9132,0.319281,0.2268,-15.30,0.090909,0.159104,0,0
1779982832.7194524,12,0.9964,0,26.6731,-0.0206,26.8578,0.375659,0.2577,-14.57,0.083333,0.159104,0,0
1779982832.957411,13,0.9962,0,26.5693,-0.0270,26.7894,0.384613,0.2344,-13.43,0.076923,0.159104,0,0
1779982833.258947,14,0.9962,0,26.6092,-0.0222,26.7422,0.393911,0.2654,-12.70,0.071429,0.159104,0,0
1779982833.7393227,15,0.9964,0,26.5893,-0.0220,26.6994,0.378682,0.2120,-10.47,0.066667,0.159104,0,0
1779982834.022715,16,0.9970,0,26.6372,-0.0177,26.6746,0.362429,0.2303,-11.25,0.062500,0.159104,0,0
1779982834.2793663,17,0.9977,0,26.4707,-0.0264,26.6200,0.343078,0.2152,-13.29,0.058824,0.159104,0,0
1779982834.5610647,18,0.9985,0,26.4101,-0.0283,26.5629,0.333258,0.2297,-14.79,0.055556,0.159104,0,0
1779982834.8157,19,0.9990,0,26.4407,-0.0252,26.5222,0.271087,0.2183,-16.20,0.052632,0.159104,0,0
