time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778056478.2623858,1,0.0197,1,-94.5821,0.0000,0.0000,0.018733,0.0901,146.15,45.78,-153.71
1778056478.3055508,2,0.0190,1,-102.7117,0.0000,0.0000,0.029771,0.0363,158.43,47.08,-163.25
1778056478.5486345,3,0.0192,1,-111.1176,0.0000,0.0000,0.056612,0.0307,156.72,43.20,-162.71
1778056478.815083,4,0.0197,1,-115.8147,0.0000,0.0000,0.066361,0.0288,161.17,45.46,-165.91
1778056479.0793173,5,0.0212,1,-116.0845,0.0000,0.0000,0.063715,0.0277,163.60,47.92,-166.90
1778056479.3484843,6,0.0276,1,-114.3423,0.0000,0.0000,0.046570,0.0419,164.91,48.56,-168.07
1778056479.6281126,7,0.0471,1,-125.1943,0.0000,0.0000,0.026789,0.0582,162.90,33.89,-170.35
1778056479.8765614,8,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.0248,22.64,44.25,-15.55
1778056480.1419861,9,0.1058,0,-19.1526,0.0849,-0.1413,0.035735,0.0271,22.21,33.06,-12.24
1778056480.4074552,10,0.1376,0,-15.8828,0.1287,-0.2309,0.017442,0.0324,20.86,24.05,-9.21
1778056480.677952,11,0.1654,0,-12.8117,0.1729,-0.2497,0.020579,0.0231,16.20,17.83,-5.30
1778056480.9502096,12,0.1892,0,-9.8744,0.2165,-0.1884,0.033251,0.0299,11.71,15.51,-2.82
1778056481.2141936,13,0.2103,0,-6.9641,0.2601,-0.0511,0.039690,0.0312,9.50,16.84,-2.38
1778056481.4860313,14,0.2299,0,-4.5407,0.2956,0.1532,0.019406,0.0332,9.12,19.44,-3.09
1778056481.7444162,15,0.2475,0,-3.4524,0.3087,0.3815,0.004073,0.0244,11.29,20.54,-3.96
1778056482.0063972,16,0.2617,0,-3.7731,0.2984,0.5832,0.006852,0.0224,13.93,18.14,-4.10
1778056482.2753265,17,0.2698,0,-5.2548,0.2702,0.7166,0.024561,0.0266,15.60,11.87,-3.33
1778056482.5401528,18,0.2716,0,-6.5484,0.2466,0.7938,0.021487,0.0229,12.19,5.09,-2.13
1778056482.8043067,19,0.2689,0,-7.1112,0.2351,0.8472,0.011381,0.0263,4.59,0.04,-0.68
1778056483.0651338,20,0.2640,0,-6.7324,0.2370,0.9130,0.018724,0.0240,-3.12,-1.45,0.38
1778056483.3416157,21,0.2586,0,-5.0534,0.2548,1.0342,0.023795,0.0248,-10.63,0.34,0.67
1778056483.6003165,22,0.2537,0,-3.1735,0.2735,1.2133,0.014768,0.0244,-16.15,2.79,1.14
1778056483.8752177,23,0.2502,0,-1.8986,0.2844,1.4272,0.006168,0.0224,-18.69,4.99,1.86
1778056484.1377187,24,0.2479,0,-1.0902,0.2898,1.6592,0.001451,0.0196,-20.78,6.00,2.31
1778056484.4017947,25,0.2449,0,-1.0338,0.2875,1.8862,0.001751,0.0206,-21.28,6.13,2.40
1778056484.683197,26,0.2409,0,-2.2371,0.2737,2.0719,0.018289,0.0278,-16.42,6.45,2.20
1778056484.9443061,27,0.2364,0,-4.1766,0.2543,2.1987,0.038637,0.0276,-7.34,6.89,1.63
1778056485.2086122,28,0.2314,0,-6.6071,0.2321,2.2573,0.035326,0.0300,2.60,6.84,0.53
1778056485.4798167,29,0.2279,0,-9.1765,0.2101,2.2471,0.015663,0.0255,12.52,5.78,-0.68
1778056485.759053,30,0.2270,0,-10.7952,0.1963,2.1939,0.006683,0.0380,20.16,4.01,-1.06
1778056486.023245,31,0.2277,0,-11.7067,0.1881,2.1158,0.003312,0.0353,23.71,1.88,-0.52
1778056486.2736757,32,0.2289,0,-12.3473,0.1822,2.0198,0.000490,0.0239,26.42,-0.00,0.12
1778056486.5486803,33,0.2301,0,-12.6506,0.1788,1.9151,0.000237,0.0335,28.16,-1.13,0.61
1778056486.80842,34,0.2295,0,-13.1059,0.1745,1.8002,0.001884,0.0275,27.91,-2.00,1.04
1778056487.0678785,35,0.2261,0,-14.0368,0.1674,1.6672,0.007111,0.0239,25.46,-3.17,1.29
1778056487.3449185,36,0.2212,0,-15.2498,0.1589,1.5126,0.010111,0.0243,19.54,-5.08,1.07
1778056487.6076148,37,0.2188,0,-16.0200,0.1534,1.3448,0.006764,0.0275,12.20,-7.03,0.80
1778056487.8674304,38,0.2219,0,-14.4670,0.1616,1.2122,0.039353,0.0257,5.04,-7.32,0.81
1778056488.1381502,39,0.2300,0,-10.8552,0.1819,1.1604,0.096006,0.0225,0.72,-4.03,0.29
