time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x
1778070382.6631649,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.1533,-8.13
1778070383.017729,2,0.9995,0,23.6015,11.8015,29.7696,0.708045,0.1193,-9.44
1778070383.325125,3,0.9995,0,23.5160,7.8412,32.9149,0.699978,0.1556,-9.73
1778070383.5720506,4,0.9994,0,23.5473,5.8899,34.9927,0.635142,0.1231,-12.84
1778070383.838436,5,0.9993,0,23.9637,4.7960,36.6259,0.626737,0.1181,-16.03
1778070384.1206646,6,0.9993,0,24.2246,4.0406,37.9282,0.629249,0.1244,-14.79
1778070384.3893406,7,0.9993,0,24.2684,3.4701,38.9528,0.664883,0.1173,-13.50
1778070384.6440222,8,0.9992,0,24.3948,3.0524,39.8057,0.688864,0.0958,-11.26
1778070384.8992574,9,0.9991,0,24.0797,2.6786,40.4412,0.629888,0.1005,-10.06
1778070385.1841574,10,0.9991,0,24.3226,2.4353,41.0229,0.562956,0.1065,-10.30
1778070385.4587657,11,0.9992,0,24.6051,2.2397,41.5678,0.548264,0.1201,-7.91
1778070385.7242868,12,0.9994,0,24.5168,2.0458,42.0232,0.590899,0.1186,-5.93
1778070385.994976,13,0.9993,0,24.4551,1.8838,42.2937,0.680515,0.1063,-2.61
1778070386.2515633,14,0.9987,0,24.2363,1.7338,42.3871,0.789393,0.1029,0.96
1778070386.5280051,15,0.9979,0,24.0824,1.6083,42.3461,0.836849,0.1105,2.50
1778070386.7961497,16,0.9975,0,24.3566,1.5251,42.2556,0.841088,0.1153,3.35
1778070387.0607665,17,0.9978,0,24.5534,1.4471,42.1169,0.770910,0.1099,1.59
1778070387.353653,18,0.9984,0,24.9632,1.3896,41.9699,0.645940,0.1211,0.26
1778070387.6211593,19,0.9990,0,24.9402,1.3153,41.7641,0.586611,0.1225,-2.23
1778070387.8844163,20,0.9994,0,24.4149,1.2233,41.4470,0.622510,0.1169,-4.53
1778070388.14977,21,0.9994,0,23.5709,1.1249,40.9959,0.865773,0.1136,-0.69
1778070388.415689,22,0.9995,0,22.5836,1.0290,40.4120,1.020973,0.1132,5.95
1778070388.688118,23,0.9998,0,21.7887,0.9497,39.7376,1.111454,0.1133,14.14
1778070388.9643753,24,1.0000,0,21.1742,0.8845,39.0081,1.186237,0.1264,24.79
1778070389.2231343,25,1.0000,0,20.9707,0.8410,38.2823,1.192009,0.1131,31.06
