time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778078136.7349808,1,0.0197,1,-47.1865,0.0000,0.0000,0.049468,0.1598,70.79,66.34,-68.26,1.000000,1.000000
1778078136.921612,2,0.0190,1,-49.2719,0.0000,0.0000,0.076601,0.1520,50.60,70.76,-48.10,0.500000,0.500000
1778078137.1703372,3,0.0191,1,-49.2749,0.0000,0.0000,0.084601,0.1286,54.38,69.56,-51.44,0.333333,0.333333
1778078137.43907,4,0.0192,1,-49.3000,0.0000,0.0000,0.136371,0.1249,48.96,65.45,-45.32,0.250000,0.250000
1778078137.683197,5,0.0197,1,-49.3919,0.0000,0.0000,0.174075,0.1183,33.22,61.51,-29.37,0.200000,0.200000
1778078137.957982,6,0.0212,1,-60.0116,0.0000,0.0000,0.139160,0.1284,35.15,70.08,-32.47,0.166667,0.166667
1778078138.2276237,7,0.0276,1,-60.3353,0.0000,0.0000,0.104483,0.1290,37.59,72.15,-35.60,0.142857,0.142857
1778078138.4895382,8,0.0471,1,-60.2392,0.0000,0.0000,0.079871,0.1265,48.24,71.88,-47.12,0.125000,0.125000
1778078138.7411172,9,0.0737,1,-26.3726,0.0000,0.0000,0.054867,0.1126,22.64,44.25,-15.55,0.111111,0.111111
1778078139.0159588,10,0.1058,0,-19.1526,0.0764,-0.1271,0.035735,0.1196,22.21,33.06,-12.24,0.100000,0.100000
1778078139.2910151,11,0.1376,0,-15.8828,0.1163,-0.2093,0.017442,0.1317,20.86,24.05,-9.21,0.090909,0.090909
1778078139.560156,12,0.1654,0,-12.8117,0.1571,-0.2280,0.020579,0.1137,16.20,17.83,-5.30,0.083333,0.083333
1778078139.8307064,13,0.1892,0,-9.8744,0.1975,-0.1738,0.033251,0.1185,11.71,15.51,-2.82,0.076923,0.076923
1778078140.0955966,14,0.2103,0,-6.9641,0.2383,-0.0411,0.039690,0.1175,9.50,16.84,-2.38,0.071429,0.071429
1778078140.3451846,15,0.2299,0,-4.5407,0.2718,0.1575,0.019406,0.1111,9.12,19.44,-3.09,0.066667,0.066667
1778078140.6133592,16,0.2475,0,-3.4524,0.2844,0.3817,0.004073,0.1140,11.29,20.54,-3.96,0.062500,0.062500
1778078140.8758123,17,0.2617,0,-3.7731,0.2751,0.5886,0.006852,0.1048,13.93,18.14,-4.10,0.058824,0.058824
1778078141.1515317,18,0.2698,0,-5.2548,0.2487,0.7460,0.024561,0.1127,15.60,11.87,-3.33,0.055556,0.055556
1778078141.40603,19,0.2716,0,-6.5484,0.2267,0.8652,0.021487,0.1057,12.19,5.09,-2.13,0.052632,0.052632
1778078141.6752076,20,0.2689,0,-7.1112,0.2161,0.9711,0.011381,0.1130,4.59,0.04,-0.68,0.050000,0.050000
1778078141.968776,21,0.2640,0,-6.7324,0.2181,1.0896,0.018724,0.1256,-3.12,-1.45,0.38,0.047619,0.047619
1778078142.2252097,22,0.2586,0,-5.0534,0.2353,1.2499,0.023795,0.1252,-10.63,0.34,0.67,0.045455,0.045455
