time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778084578.5115936,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.1417,-8.13,1.000000,1.000000
1778084578.8002841,2,0.9995,0,23.6015,11.8015,29.7696,0.708045,0.1008,-9.44,0.500000,0.500000
1778084579.0825982,3,0.9995,0,23.5160,7.8412,32.9149,0.699978,0.1200,-9.73,0.333333,0.333333
1778084579.3604152,4,0.9994,0,23.5473,5.8899,34.9927,0.635142,0.1293,-12.84,0.250000,0.250000
1778084579.601026,5,0.9993,0,23.9637,4.7960,36.6259,0.626737,0.1093,-16.03,0.200000,0.200000
1778084579.873943,6,0.9993,0,24.2246,4.0406,37.9282,0.629249,0.1097,-14.79,0.166667,0.166667
1778084580.1432807,7,0.9993,0,24.2684,3.4701,38.6747,0.664883,0.1094,-13.50,0.142857,0.159104
1778084580.4100814,8,0.9992,0,24.3948,3.0524,38.9717,0.688864,0.1239,-11.26,0.125000,0.159104
1778084580.672924,9,0.9991,0,24.0797,2.6786,38.8574,0.629888,0.1054,-10.06,0.111111,0.159104
1778084580.9207852,10,0.9991,0,24.3226,2.4353,38.5952,0.562956,0.0893,-10.30,0.100000,0.159104
1778084581.21499,11,0.9992,0,24.6051,2.2397,38.2548,0.548264,0.1189,-7.91,0.090909,0.159104
1778084581.4573414,12,0.9994,0,24.5168,2.0458,37.7909,0.590899,0.0972,-5.93,0.083333,0.159104
1778084581.7411313,13,0.9993,0,24.4551,1.8838,37.2549,0.680515,0.1132,-2.61,0.076923,0.159104
1778084582.0171795,14,0.9987,0,24.2363,1.7338,36.6446,0.789393,0.1191,0.96,0.071429,0.159104
1778084582.274885,15,0.9979,0,24.0824,1.6083,36.0030,0.836849,0.1111,2.50,0.066667,0.159104
1778084582.5487041,16,0.9975,0,24.3566,1.5251,35.4377,0.841088,0.1173,3.35,0.062500,0.159104
1778084582.793196,17,0.9978,0,24.5534,1.4471,34.9271,0.770910,0.1067,1.59,0.058824,0.159104
1778084583.0640516,18,0.9984,0,24.9632,1.3896,34.5132,0.645940,0.0972,0.26,0.055556,0.159104
1778084583.3379354,19,0.9990,0,24.9402,1.3153,34.0978,0.586611,0.1098,-2.23,0.052632,0.159104
1778084583.6087372,20,0.9994,0,24.4149,1.2233,33.5870,0.622510,0.1150,-4.53,0.050000,0.159104
1778084583.8820584,21,0.9994,0,23.5709,1.1249,32.9404,0.865773,0.1232,-0.69,0.047619,0.159104
1778084584.1397526,22,0.9995,0,22.5836,1.0290,32.1587,1.020973,0.1099,5.95,0.045455,0.159104
1778084584.404247,23,0.9998,0,21.7887,0.9497,31.3078,1.111454,0.1115,14.14,0.043478,0.159104
1778084584.6923862,24,1.0000,0,21.1742,0.8845,30.4394,1.186237,0.1342,24.79,0.041667,0.159104
1778084584.9568808,25,1.0000,0,20.9707,0.8410,29.6401,1.192009,0.1184,31.06,0.040000,0.159104
1778084585.2097116,26,1.0000,0,20.8958,0.8058,28.9265,1.198703,0.1101,32.02,0.038462,0.159104
1778084585.470157,27,1.0000,0,21.2784,0.7901,28.3740,1.308641,0.1046,34.47,0.037037,0.159104
1778084585.7605531,28,1.0000,0,22.0657,0.7900,28.0347,1.449405,0.1173,36.95,0.035714,0.159104
1778084586.0193894,29,1.0000,0,23.0416,0.7964,27.9100,1.415010,0.1192,33.93,0.034483,0.159104
1778084586.2969801,30,1.0000,0,24.0453,0.8033,27.9707,1.190909,0.1248,27.30,0.033333,0.159104
1778084586.5517638,31,0.9999,0,24.6558,0.7971,28.1136,0.889715,0.1166,16.49,0.032258,0.159104
1778084586.8304148,32,0.9998,0,24.9222,0.7805,28.2623,0.567991,0.1307,0.48,0.031250,0.159104
1778084587.0797684,33,0.9997,0,25.0186,0.7598,28.3853,0.351873,0.1148,-11.22,0.030303,0.159104
1778084587.3527663,34,0.9996,0,25.0317,0.7378,28.4724,0.260822,0.1234,-17.52,0.029412,0.159104
1778084587.630796,35,0.9995,0,25.0159,0.7163,28.5251,0.234452,0.1296,-19.77,0.028571,0.159104
1778084587.8849447,36,0.9994,0,25.0549,0.6975,28.5599,0.268231,0.1210,-17.14,0.027778,0.159104
1778084588.1447954,37,0.9991,0,24.9810,0.6767,28.5601,0.342053,0.1149,-13.40,0.027027,0.159104
1778084588.4234028,38,0.9987,0,24.7672,0.6533,28.5069,0.476784,0.1167,-6.78,0.026316,0.159104
1778084588.683116,39,0.9987,0,24.4278,0.6279,28.3869,0.743248,0.1157,2.26,0.025641,0.159104
1778084588.9565284,40,0.9988,0,23.7005,0.5940,28.1418,1.112322,0.1202,12.30,0.025000,0.159104
1778084589.2316961,41,0.9981,0,22.7838,0.5573,27.7597,1.543863,0.1299,25.12,0.024390,0.159104
1778084589.4918997,42,0.9959,0,22.4567,0.5363,27.3708,1.797171,0.1025,38.53,0.023810,0.159104
1778084589.7833598,43,0.9919,0,22.0479,0.5145,26.9640,1.950831,0.1253,47.22,0.023256,0.159104
1778084590.0409548,44,0.9873,0,22.2310,0.5070,26.6480,1.995565,0.1124,50.66,0.022727,0.159104
1778084590.314826,45,0.9837,0,22.5964,0.5039,26.4390,1.933775,0.1248,51.83,0.022222,0.159104
1778084590.609734,46,0.9828,0,22.4998,0.4911,26.2373,1.941007,0.1485,51.38,0.021739,0.159104
1778084590.8843217,47,0.9846,0,22.7228,0.4855,26.0962,1.907049,0.1420,52.87,0.021277,0.159104
1778084591.1257608,48,0.9873,0,22.9285,0.4797,26.0030,1.904321,0.1215,57.72,0.020833,0.159104
1778084591.4211895,49,0.9897,0,23.2972,0.4775,25.9792,1.857631,0.1258,60.91,0.020408,0.159104
1778084591.6864288,50,0.9912,0,23.4755,0.4716,25.9816,1.746571,0.1217,59.57,0.020000,0.159104
1778084591.9297915,51,0.9918,0,23.5090,0.4631,25.9814,1.608462,0.1117,52.11,0.019608,0.159104
1778084592.2067847,52,0.9929,0,23.3642,0.4514,25.9481,1.446266,0.1202,41.91,0.019231,0.159104
1778084592.4859335,53,0.9949,0,23.1455,0.4389,25.8739,1.283273,0.1264,31.60,0.018868,0.159104
1778084592.740735,54,0.9970,0,23.7197,0.4414,25.9035,1.190306,0.1097,22.83,0.018519,0.159104
1778084593.0191112,55,0.9985,0,23.7862,0.4346,25.9327,1.043782,0.1264,16.47,0.018182,0.159104
1778084593.2866092,56,0.9988,0,24.0122,0.4308,25.9899,0.933575,0.1215,10.64,0.017857,0.159104
1778084593.5500162,57,0.9980,0,24.3743,0.4296,26.0947,0.791771,0.1215,4.58,0.017544,0.159104
1778084593.7917645,58,0.9968,0,24.0454,0.4166,26.1202,0.673015,0.1048,-1.44,0.017241,0.159104
1778084594.0858805,59,0.9959,0,24.2890,0.4136,26.1782,0.603732,0.1227,-5.28,0.017179,0.159104
1778084594.3426576,60,0.9954,0,24.2488,0.4059,26.2142,0.589117,0.1121,-7.28,0.017179,0.159104
1778084594.599496,61,0.9957,0,23.9542,0.3939,26.1877,0.676246,0.0956,-5.36,0.017179,0.159104
1778084594.8652864,62,0.9967,0,23.3113,0.3761,26.0481,0.889765,0.1028,0.20,0.017179,0.159104
1778084595.1736126,63,0.9979,0,22.7313,0.3598,25.8241,1.077980,0.1230,6.92,0.017179,0.159104
1778084595.4315994,64,0.9988,0,22.1449,0.3435,25.5284,1.289742,0.1131,16.27,0.017179,0.159104
1778084595.6959145,65,0.9986,0,21.7813,0.3314,25.2118,1.512207,0.1118,28.63,0.017179,0.159104
1778084595.9592566,66,0.9973,0,21.9702,0.3289,24.9742,1.712559,0.1121,42.18,0.017179,0.159104
1778084596.2325418,67,0.9955,0,22.2539,0.3282,24.8195,1.892251,0.1046,55.31,0.017179,0.159104
1778084596.4996774,68,0.9937,0,22.4135,0.3253,24.7130,1.998530,0.1102,63.31,0.017179,0.159104
1778084596.767288,69,0.9924,0,22.9274,0.3285,24.7077,1.962750,0.1134,62.16,0.017179,0.159104
1778084597.034701,70,0.9918,0,23.3840,0.3307,24.7774,1.771968,0.1019,50.54,0.017179,0.159104
1778084597.313406,71,0.9917,0,23.7325,0.3310,24.8913,1.473554,0.1141,32.41,0.017179,0.159104
1778084597.570216,72,0.9918,0,24.3203,0.3354,25.0836,1.031787,0.1026,12.63,0.017179,0.159104
1778084597.841789,73,0.9917,0,24.5715,0.3339,25.2841,0.674627,0.1114,-4.54,0.017179,0.159104
1778084598.1037602,74,0.9907,0,24.7795,0.3318,25.4840,0.466174,0.1050,-15.56,0.017179,0.159104
1778084598.3763793,75,0.9884,0,24.9897,0.3297,25.6842,0.374261,0.1140,-20.96,0.017179,0.159104
1778084598.6505728,76,0.9853,0,25.0432,0.3251,25.8578,0.371965,0.1192,-22.86,0.017179,0.159104
1778084598.912156,77,0.9825,0,25.0581,0.3198,26.0026,0.414873,0.1133,-23.46,0.017179,0.159104
1778084599.1885822,78,0.9803,0,24.9046,0.3118,26.0945,0.457475,0.1245,-23.49,0.017179,0.159104
1778084599.4579148,79,0.9792,0,24.7527,0.3040,26.1422,0.477155,0.1131,-23.60,0.017179,0.159104
1778084599.7107031,80,0.9786,0,24.7527,0.2989,26.1782,0.475901,0.0995,-23.68,0.017179,0.159104
1778084599.9747708,81,0.9781,0,24.8077,0.2948,26.2139,0.490410,0.1044,-23.71,0.017179,0.159104
1778084600.266502,82,0.9781,0,24.5613,0.2857,26.1980,0.531927,0.1233,-23.68,0.017179,0.159104
1778084600.5289624,83,0.9797,0,23.8803,0.2695,26.0642,0.631099,0.1148,-23.72,0.017179,0.159104
1778084600.7901335,84,0.9836,0,23.6221,0.2606,25.9018,0.593473,0.1086,-23.70,0.017179,0.159104
1778084601.0684588,85,0.9887,0,23.5754,0.2553,25.7510,0.507374,0.1190,-24.20,0.017179,0.159104
