time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778154570.6804059,1,0.0197,1,0.0000,0.0000,0.0000,0.018733,0.2614,25.75,32.08,-12.57,1.000000,1.000000
1778154570.9750657,2,0.0197,1,0.0000,0.0000,0.0000,0.066361,0.1764,13.32,16.54,-2.12,0.500000,0.500000
1778154571.2454517,3,0.0212,1,0.0000,0.0000,0.0000,0.063715,0.1730,10.36,14.39,-0.25,0.333333,0.333333
1778154571.5145767,4,0.0276,1,0.0000,0.0000,0.0000,0.046570,0.1823,8.84,15.92,-0.25,0.250000,0.250000
1778154571.8014176,5,0.0471,1,0.0000,0.0000,0.0000,0.026789,0.2019,11.71,19.12,-2.14,0.200000,0.200000
1778154572.0035973,6,0.0737,1,0.0000,0.0000,0.0000,0.054867,0.1455,16.64,20.22,-3.56,0.166667,0.166667
1778154572.3078213,7,0.1058,0,-19.1526,-0.2895,-0.5746,0.035735,0.1814,22.21,33.06,-12.24,0.142857,0.142857
1778154572.5490243,8,0.1376,0,-15.8828,-0.2283,-1.0622,0.017442,0.1557,20.86,24.05,-9.21,0.125000,0.125000
1778154572.8202288,9,0.1654,0,-12.8117,-0.1676,-1.4427,0.020579,0.1582,16.20,17.83,-5.30,0.111111,0.111111
1778154573.0888083,10,0.1892,0,-9.8744,-0.1089,-1.7091,0.033251,0.1585,11.71,15.51,-2.82,0.100000,0.100000
1778154573.3552203,11,0.2103,0,-6.9641,-0.0512,-1.8597,0.039690,0.1554,9.50,16.84,-2.38,0.090909,0.090909
1778154573.5986457,12,0.2299,0,-4.5407,-0.0038,-1.9148,0.019406,0.1365,9.12,19.44,-3.09,0.083333,0.083333
1778154573.8894386,13,0.2475,0,-3.4524,0.0170,-1.9274,0.004073,0.1588,11.29,20.54,-3.96,0.076923,0.076923
1778154574.1501591,14,0.2617,0,-3.7731,0.0107,-1.9514,0.006852,0.1471,13.93,18.14,-4.10,0.071429,0.071429
1778154574.4129293,15,0.2698,0,-5.2548,-0.0161,-2.0266,0.024561,0.1522,15.60,11.87,-3.33,0.066667,0.066667
