time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778154689.0087843,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.2088,-8.13,1.000000,1.000000
1778154689.2629986,2,0.9994,0,23.5473,11.7761,29.7307,0.635142,0.1628,-12.84,0.500000,0.500000
1778154689.546326,3,0.9993,0,23.9637,7.9922,33.1396,0.626737,0.1702,-16.03,0.333333,0.333333
1778154689.816198,4,0.9993,0,24.2246,6.0607,35.4591,0.629249,0.1707,-14.79,0.250000,0.250000
1778154690.0949721,5,0.9993,0,24.2684,4.8582,37.1098,0.664883,0.1776,-13.50,0.200000,0.200000
1778154690.364596,6,0.9992,0,24.3948,4.0702,38.3846,0.688864,0.1775,-11.26,0.166667,0.166667
1778154690.6162608,7,0.9991,0,24.0797,3.4443,39.2956,0.629888,0.1692,-10.06,0.142857,0.142857
1778154690.8929598,8,0.9991,0,24.3226,3.0445,40.0900,0.562956,0.1757,-10.30,0.125000,0.125000
1778154691.1691682,9,0.9992,0,24.6051,2.7379,40.8048,0.548264,0.1725,-7.91,0.111111,0.111111
1778154691.4143543,10,0.9994,0,24.5168,2.4554,41.3870,0.590899,0.1573,-5.93,0.100000,0.100000
1778154691.7262075,11,0.9993,0,24.4551,2.2267,41.8732,0.680515,0.2002,-2.61,0.090909,0.090909
1778154692.0054817,12,0.9987,0,24.2363,2.0232,42.2602,0.789393,0.1921,0.96,0.083333,0.083333
1778154692.2469885,13,0.9979,0,24.0824,1.8561,42.5784,0.836849,0.1668,2.50,0.076923,0.076923
1778154692.525573,14,0.9975,0,24.3566,1.7434,42.8993,0.841088,0.1704,3.35,0.071429,0.071429
1778154692.7944648,15,0.9978,0,24.5534,1.6405,43.2103,0.770910,0.1679,1.59,0.066667,0.066667
1778154693.0543451,16,0.9984,0,24.9632,1.5637,43.5378,0.645940,0.1724,0.26,0.062500,0.062500
1778154693.3145568,17,0.9990,0,24.9402,1.4705,43.8289,0.586611,0.1697,-2.23,0.058824,0.058824
1778154693.594475,18,0.9994,0,24.4149,1.3597,44.0352,0.622510,0.1706,-4.53,0.055556,0.055556
1778154693.866164,19,0.9994,0,23.5709,1.2437,44.1371,0.865773,0.1700,-0.69,0.052632,0.052632
1778154694.1247923,20,0.9995,0,22.5836,1.1322,44.1355,1.020973,0.1651,5.95,0.050000,0.050000
1778154694.393846,21,0.9998,0,21.7887,1.0405,44.0626,1.111454,0.1664,14.14,0.047619,0.047619
1778154694.665496,22,1.0000,0,21.1742,0.9653,43.9436,1.186237,0.1780,24.79,0.045455,0.045455
1778154694.9310396,23,1.0000,0,20.9707,0.9144,43.8195,1.192009,0.1643,31.06,0.043478,0.043478
1778154695.2090724,24,1.0000,0,20.8958,0.8732,43.7012,1.198703,0.1859,32.02,0.041667,0.041667
1778154695.4659395,25,1.0000,0,21.2784,0.8536,43.6238,1.308641,0.1695,34.47,0.040000,0.040000
1778154695.7251306,26,1.0000,0,22.0657,0.8511,43.6130,1.449405,0.1747,36.95,0.038462,0.038462
1778154695.9741423,27,1.0000,0,23.0416,0.8557,43.6751,1.415010,0.1569,33.93,0.037037,0.037037
1778154696.2530348,28,1.0000,0,24.0453,0.8610,43.8043,1.190909,0.1670,27.30,0.035714,0.035714
1778154696.5444217,29,0.9999,0,24.6558,0.8523,43.9670,0.889715,0.1891,16.49,0.034483,0.034483
1778154696.7946706,30,0.9998,0,24.9222,0.8328,44.1373,0.567991,0.1826,0.48,0.033333,0.033333
1778154697.0449595,31,0.9997,0,25.0186,0.8091,44.3037,0.351873,0.1662,-11.22,0.032258,0.032258
1778154697.3043256,32,0.9996,0,25.0317,0.7842,44.4613,0.260822,0.1616,-17.52,0.031250,0.031250
1778154697.5908287,33,0.9995,0,25.0159,0.7600,44.6093,0.234452,0.1813,-19.77,0.030303,0.030303
1778154697.8325894,34,0.9994,0,25.0549,0.7388,44.7515,0.268231,0.1523,-17.14,0.029412,0.029412
1778154698.1071162,35,0.9991,0,24.9810,0.7156,44.8823,0.342053,0.1696,-13.40,0.028571,0.028571
1778154698.3950534,36,0.9987,0,24.7672,0.6898,44.9949,0.476784,0.1826,-6.78,0.027778,0.027778
1778154698.6365314,37,0.9987,0,24.4278,0.6620,45.0839,0.743248,0.1698,2.26,0.027027,0.027027
1778154698.8975024,38,0.9988,0,23.7005,0.6255,45.1309,1.112322,0.1653,12.30,0.026316,0.026316
1778154699.1695511,39,0.9981,0,22.7838,0.5860,45.1300,1.543863,0.1686,25.12,0.025641,0.025641
1778154699.434245,40,0.9959,0,22.4567,0.5633,45.1148,1.797171,0.1639,38.53,0.025000,0.025000
1778154699.693297,41,0.9919,0,22.0479,0.5398,45.0835,1.950831,0.1712,47.22,0.024390,0.024390
1778154699.964948,42,0.9873,0,22.2310,0.5314,45.0652,1.995565,0.1672,50.66,0.023810,0.023810
1778154700.2376783,43,0.9837,0,22.5964,0.5276,45.0667,1.933775,0.1748,51.83,0.023256,0.023256
1778154700.489795,44,0.9828,0,22.4998,0.5136,45.0648,1.941007,0.1675,51.38,0.022727,0.022727
1778154700.7569249,45,0.9846,0,22.7228,0.5073,45.0721,1.907049,0.1745,52.87,0.022222,0.022222
1778154701.0310311,46,0.9873,0,22.9285,0.5008,45.0869,1.904321,0.1780,57.72,0.021739,0.021739
1778154701.2836556,47,0.9897,0,23.2972,0.4980,45.1156,1.857631,0.1734,60.91,0.021277,0.021277
1778154701.5585606,48,0.9912,0,23.4755,0.4914,45.1500,1.746571,0.1755,59.57,0.020833,0.020833
