time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1778160987.2744164,1,-180.0000,628.474111,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2767904,1,-175.0000,594.033902,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2773082,1,-170.0000,560.564695,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2786746,1,-165.0000,528.066565,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2800317,1,-160.0000,496.539552,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2824264,1,-155.0000,465.983666,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2847097,1,-150.0000,436.398884,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2961583,1,-145.0000,407.785158,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.2986474,1,-140.0000,380.142419,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3002563,1,-135.0000,353.470581,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3009405,1,-130.0000,327.769545,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3029952,1,-125.0000,303.039207,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3069263,1,-120.0000,279.279462,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3092766,1,-115.0000,256.490208,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3104773,1,-110.0000,234.671352,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3122854,1,-105.0000,213.822817,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3169658,1,-100.0000,193.944539,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.319143,1,-95.0000,175.036474,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3203511,1,-90.0000,157.098601,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3245747,1,-85.0000,140.130921,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3253162,1,-80.0000,124.133454,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3264022,1,-75.0000,109.106244,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3272917,1,-70.0000,95.049354,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3280392,1,-65.0000,81.962861,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3305712,1,-60.0000,69.846858,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3315806,1,-55.0000,58.701443,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3341868,1,-50.0000,48.526720,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.335275,1,-45.0000,39.322791,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3359263,1,-40.0000,31.089749,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3369782,1,-35.0000,23.827678,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3392732,1,-30.0000,17.536644,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3399303,1,-25.0000,12.216687,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3459344,1,-20.0000,7.867827,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3500793,1,-15.0000,4.490048,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3523333,1,-10.0000,2.083305,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3541982,1,-5.0000,0.647515,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.357632,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3585925,1,5.0000,0.688294,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3597064,1,10.0000,2.164522,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3602276,1,15.0000,4.611028,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3624606,1,20.0000,8.027563,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.364028,1,25.0000,12.413854,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3648865,1,30.0000,17.769609,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3655748,1,35.0000,24.094521,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3660884,1,40.0000,31.388278,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3666697,1,45.0000,39.650563,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3680606,1,50.0000,48.881071,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.36926,1,55.0000,59.079504,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3702514,1,60.0000,70.245590,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3715057,1,65.0000,82.379080,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3721685,1,70.0000,95.479758,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3727407,1,75.0000,109.547445,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3732224,1,80.0000,124.582007,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.373698,1,85.0000,140.583351,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3752432,1,90.0000,157.551434,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.376319,1,95.0000,175.486261,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3769372,1,100.0000,194.387885,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3789432,1,105.0000,214.256406,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.379815,1,110.0000,235.091970,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3804538,1,115.0000,256.894764,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.381106,1,120.0000,279.665010,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3823314,1,125.0000,303.402963,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3843548,1,130.0000,328.108904,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3859947,1,135.0000,353.783131,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3885868,1,140.0000,380.425957,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3892453,1,145.0000,408.037697,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3912523,1,150.0000,436.618667,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3928704,1,155.0000,466.169172,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.393403,1,160.0000,496.689504,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3940022,1,165.0000,528.179934,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3945167,1,170.0000,560.640707,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3950396,1,175.0000,594.072038,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.397502,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3983169,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.3989148,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4005783,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.401806,1,-0.1052,0.182348,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4029427,1,-0.1052,0.182348,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4069772,1,-0.1052,0.182348,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4093997,1,-0.1052,0.182348,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4112272,1,-0.1055,0.182348,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4124863,1,-0.1048,0.182348,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778160987.4132042,1,-0.1052,0.182348,1,3.702125E-07,1.471082E-03,0,0.0197,-0.1052
1778160987.5869641,2,-180.0000,628.466099,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5885775,2,-175.0000,594.027473,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5894167,2,-170.0000,560.559873,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.590921,2,-165.0000,528.063337,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5922856,2,-160.0000,496.537871,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5934403,2,-155.0000,465.983456,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5957088,2,-150.0000,436.400052,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5981565,2,-145.0000,407.787599,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.5990262,2,-140.0000,380.146023,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6003451,2,-135.0000,353.475243,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.601313,2,-130.0000,327.775172,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6017947,2,-125.0000,303.045723,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6022766,2,-120.0000,279.286815,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6042547,2,-115.0000,256.498376,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6076856,2,-110.0000,234.680345,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6124823,2,-105.0000,213.832678,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6132045,2,-100.0000,193.955347,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6145203,2,-95.0000,175.048341,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6173866,2,-90.0000,157.111669,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6186857,2,-85.0000,140.145360,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6192167,2,-80.0000,124.149457,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.619681,2,-75.0000,109.124019,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6205318,2,-70.0000,95.069115,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6222649,2,-65.0000,81.984826,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6228206,2,-60.0000,69.871233,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6241434,2,-55.0000,58.728420,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6273546,2,-50.0000,48.556462,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6299765,2,-45.0000,39.355429,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6311114,2,-40.0000,31.125373,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6322386,2,-35.0000,23.866329,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6349864,2,-30.0000,17.578308,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6356678,2,-25.0000,12.261295,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.637687,2,-20.0000,7.915246,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6383557,2,-15.0000,4.540085,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6388183,2,-10.0000,2.135705,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.644593,2,-5.0000,0.701966,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6451144,2,0.0000,0.238695,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6455774,2,5.0000,0.745691,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6460445,2,10.0000,2.222725,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.650046,2,15.0000,4.669543,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6505392,2,20.0000,8.085873,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6510015,2,25.0000,12.471428,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6514504,2,30.0000,17.825913,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6548245,2,35.0000,24.149029,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6555703,2,40.0000,31.440484,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6569104,2,45.0000,39.699992,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6586072,2,50.0000,48.927287,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.660149,2,55.0000,59.122123,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6619833,2,60.0000,70.284284,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6642635,2,65.0000,82.413588,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6647701,2,70.0000,95.509889,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.666911,2,75.0000,109.573082,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6693366,2,80.0000,124.603106,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.670969,2,85.0000,140.599947,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6714597,2,90.0000,157.563634,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6719232,2,95.0000,175.494243,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6723692,2,100.0000,194.391890,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.672814,2,105.0000,214.256734,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6742725,2,110.0000,235.088970,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6761372,2,115.0000,256.888825,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6767209,2,120.0000,279.656554,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6772015,2,125.0000,303.392430,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6776624,2,130.0000,328.096745,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.678142,2,135.0000,353.769796,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6786218,2,140.0000,380.411884,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6791146,2,145.0000,408.023307,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.679587,2,150.0000,436.604349,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6802115,2,155.0000,466.155282,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6821322,2,160.0000,496.676354,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6836069,2,165.0000,528.167792,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6848643,2,170.0000,560.629790,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.685954,2,175.0000,594.062515,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.686702,2,0.0000,0.238695,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6880584,2,0.0000,0.238695,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6889884,2,0.0000,0.238695,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6895456,2,0.0000,0.238695,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6900058,2,-0.1128,0.238448,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6919,2,-0.1128,0.238448,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.692407,2,-0.1128,0.238448,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6929615,2,-0.1128,0.238448,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6934896,2,-0.1132,0.238448,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.6939726,2,-0.1125,0.238448,0,4.178333E-07,2.506439E-03,0,0.0190,0.0
1778160987.694074,2,-0.1128,0.238448,1,4.178333E-07,2.506439E-03,0,0.0190,-0.1128
1778160987.857648,3,-180.0000,628.476679,0,5.139788E-07,4.360583E-03,0,0.0191,0.0
1778160987.8586113,3,-175.0000,594.037385,0,5.139788E-07,4.360583E-03,0,0.0191,0.0
1778160987.8606088,3,-170.0000,560.569150,0,5.139788E-07,4.360583E-03,0,0.0191,0.0
1778160987.8611696,3,-165.0000,528.072015,0,5.139788E-07,4.360583E-03,0,0.0191,0.0
