time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778163371.0595336,1,0.0197,1,0.0000,0.0000,0.0000,0.283326,0.1464,25.75,32.08,-12.57,1.000000,1.000000
1778163371.4296975,2,0.0190,1,0.0000,0.0000,0.0000,0.331645,0.1389,15.26,27.56,-5.40,0.500000,0.500000
1778163371.664596,3,0.0191,1,0.0000,0.0000,0.0000,0.347561,0.1086,17.34,27.32,-6.00,0.333333,0.333333
1778163371.9421155,4,0.0192,1,0.0000,0.0000,0.0000,0.433559,0.1239,16.89,22.65,-4.69,0.250000,0.250000
1778163372.2237415,5,0.0197,1,0.0000,0.0000,0.0000,0.513356,0.1352,13.32,16.54,-2.12,0.200000,0.200000
1778163372.5052726,6,0.0212,1,0.0000,0.0000,0.0000,0.477393,0.1495,10.36,14.39,-0.25,0.166667,0.166667
1778163372.7456272,7,0.0276,1,0.0000,0.0000,0.0000,0.444110,0.1263,8.84,15.92,-0.25,0.142857,0.159104
1778163373.0299902,8,0.0471,1,0.0000,0.0000,0.0000,0.401287,0.1450,11.71,19.12,-2.14,0.125000,0.159104
1778163373.2891748,9,0.0737,1,0.0000,0.0000,0.0000,0.431044,0.1304,16.64,20.22,-3.56,0.111111,0.159104
1778163373.5637524,10,0.1058,0,8.1370,0.0861,0.2216,0.549957,0.1240,18.16,8.46,0.32,0.100000,0.159104
1778163373.8282855,11,0.1376,0,4.9396,0.0450,0.3689,0.568774,0.1246,18.55,5.50,0.71,0.090909,0.159104
1778163374.0877821,12,0.1654,0,-1.2885,-0.0414,0.2850,0.299086,0.1164,15.28,7.41,-0.29,0.083333,0.159104
1778163374.357402,13,0.1892,0,-0.9872,-0.0364,0.2114,0.260258,0.1173,11.23,7.29,0.61,0.076923,0.159104
1778163374.6322603,14,0.2103,0,4.2253,0.0424,0.3866,0.430485,0.1286,8.90,6.42,1.79,0.071429,0.159104
1778163374.9121077,15,0.2299,0,4.9477,0.0528,0.6043,0.342439,0.1344,8.32,10.66,0.60,0.066667,0.159104
1778163375.178796,16,0.2475,0,4.9093,0.0514,0.8232,0.303602,0.1257,10.40,13.01,-0.27,0.062500,0.159104
1778163375.4361858,17,0.2617,0,4.7242,0.0478,1.0314,0.357825,0.1123,13.10,10.71,0.11,0.058824,0.159104
1778163375.7547925,18,0.2698,0,3.0570,0.0221,1.1395,0.407372,0.1125,15.15,4.75,1.07,0.055556,0.159104
1778163376.030691,19,0.2716,0,-0.9943,-0.0362,1.0127,0.237844,0.1263,12.10,0.22,0.50,0.052632,0.159104
1778163376.264048,20,0.2689,0,-6.6303,-0.1115,0.5789,0.014276,0.1061,4.59,-0.40,-0.52,0.050000,0.159104
1778163376.563951,21,0.2640,0,-6.7324,-0.1114,0.1652,0.018724,0.1236,-3.12,-1.45,0.38,0.047619,0.159104
1778163376.8043861,22,0.2586,0,-5.0534,-0.0903,-0.1361,0.023795,0.1125,-10.63,0.34,0.67,0.045455,0.159104
1778163377.0873494,23,0.2537,0,-3.1735,-0.0686,-0.3245,0.014768,0.1147,-16.15,2.79,1.14,0.043478,0.159104
1778163377.3653455,24,0.2502,0,-1.8986,-0.0546,-0.4396,0.006168,0.1436,-18.69,4.99,1.86,0.041667,0.159104
1778163377.6128263,25,0.2479,0,-1.0902,-0.0460,-0.5094,0.001451,0.1143,-20.78,6.00,2.31,0.040000,0.159104
1778163377.8813593,26,0.2449,0,-1.0338,-0.0450,-0.5732,0.001751,0.1165,-21.28,6.13,2.40,0.038462,0.159104
