time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778163943.6254597,1,0.0197,1,0.0000,0.0000,0.0000,0.042411,0.1668,25.75,32.08,-12.57,1.000000,1.000000
1778163943.950789,2,0.0190,1,0.0000,0.0000,0.0000,0.067146,0.1455,15.26,27.56,-5.40,0.500000,0.500000
1778163944.2368088,3,0.0191,1,0.0000,0.0000,0.0000,0.074724,0.1698,17.34,27.32,-6.00,0.333333,0.333333
1778163944.501195,4,0.0192,1,0.0000,0.0000,0.0000,0.122924,0.1692,16.89,22.65,-4.69,0.250000,0.250000
1778163944.7614822,5,0.0197,1,0.0000,0.0000,0.0000,0.157227,0.1457,13.32,16.54,-2.12,0.200000,0.200000
1778163945.0388913,6,0.0212,1,0.0000,0.0000,0.0000,0.125752,0.1718,10.36,14.39,-0.25,0.166667,0.166667
1778163945.3042068,7,0.0276,1,0.0000,0.0000,0.0000,0.093870,0.1452,8.84,15.92,-0.25,0.142857,0.159104
1778163945.574865,8,0.0471,1,0.0000,0.0000,0.0000,0.079599,0.1595,11.71,19.12,-2.14,0.125000,0.159104
1778163945.7958791,9,0.0737,1,0.0000,0.0000,0.0000,0.054867,0.1182,16.64,20.22,-3.56,0.111111,0.159104
1778163946.0708895,10,0.1058,0,-19.1526,-0.2026,-0.5216,0.035735,0.1254,22.21,33.06,-12.24,0.100000,0.159104
1778163946.3333952,11,0.1376,0,-15.8828,-0.1592,-1.0137,0.017442,0.1188,20.86,24.05,-9.21,0.090909,0.159104
1778163946.602388,12,0.1654,0,-12.8117,-0.1147,-1.4357,0.020579,0.1225,16.20,17.83,-5.30,0.083333,0.159104
1778163946.8609703,13,0.1892,0,-9.8744,-0.0703,-1.7579,0.033251,0.1154,11.71,15.51,-2.82,0.076923,0.159104
1778163947.1302867,14,0.2103,0,-6.9641,-0.0255,-1.9568,0.039690,0.1187,9.50,16.84,-2.38,0.071429,0.159104
1778163947.4044063,15,0.2299,0,-4.5407,0.0120,-2.0397,0.019406,0.1264,9.12,19.44,-3.09,0.066667,0.159104
1778163947.6558607,16,0.2475,0,-3.4524,0.0287,-2.0678,0.004073,0.1113,11.29,20.54,-3.96,0.062500,0.159104
1778163947.9271066,17,0.2617,0,-3.7731,0.0233,-2.1164,0.006852,0.1155,13.93,18.14,-4.10,0.058824,0.159104
1778163948.194235,18,0.2698,0,-5.2548,0.0007,-2.2504,0.024561,0.1159,15.60,11.87,-3.33,0.055556,0.159104
1778163948.4689991,19,0.2716,0,-6.5484,-0.0178,-2.4532,0.021487,0.1199,12.19,5.09,-2.13,0.052632,0.159104
1778163948.7307203,20,0.2689,0,-7.1112,-0.0251,-2.6765,0.011381,0.1175,4.59,0.04,-0.68,0.050000,0.159104
1778163948.995911,21,0.2640,0,-6.7324,-0.0200,-2.8660,0.018724,0.1151,-3.12,-1.45,0.38,0.047619,0.159104
1778163949.2699115,22,0.2586,0,-5.0534,-0.0000,-2.9560,0.023795,0.1206,-10.63,0.34,0.67,0.045455,0.159104
1778163949.537588,23,0.2537,0,-3.1735,0.0207,-2.9450,0.014768,0.1239,-16.15,2.79,1.14,0.043478,0.159104
1778163949.797243,24,0.2502,0,-1.8986,0.0338,-2.8709,0.006168,0.1186,-18.69,4.99,1.86,0.041667,0.159104
1778163950.0585623,25,0.2479,0,-1.0902,0.0414,-2.7609,0.001451,0.1153,-20.78,6.00,2.31,0.040000,0.159104
1778163950.3242855,26,0.2449,0,-1.0338,0.0416,-2.6536,0.001751,0.1156,-21.28,6.13,2.40,0.038462,0.159104
1778163950.5942848,27,0.2409,0,-2.2371,0.0305,-2.6083,0.018289,0.1151,-16.42,6.45,2.20,0.037037,0.159104
