time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1778163943.4590247,1,-180.0000,75.708955,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4702637,1,-175.0000,76.801578,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4742374,1,-170.0000,77.765314,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4798658,1,-165.0000,78.629609,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4813612,1,-160.0000,79.416694,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4841938,1,-155.0000,80.143869,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4911883,1,-150.0000,80.825039,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4955297,1,-145.0000,81.471786,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4974697,1,-140.0000,82.094167,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.4994133,1,-135.0000,82.701363,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5000708,1,-130.0000,83.302253,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5019372,1,-125.0000,83.905998,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5048256,1,-120.0000,84.522731,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.506311,1,-115.0000,85.164466,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5108342,1,-110.0000,85.846443,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5144844,1,-105.0000,86.589295,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5162158,1,-100.0000,87.422828,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5172827,1,-95.0000,88.393187,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5184443,1,-90.0000,89.577867,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5190353,1,-85.0000,91.121598,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5201252,1,-80.0000,93.340832,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5206518,1,-75.0000,97.152587,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5211983,1,-70.0000,106.144366,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5234094,1,-65.0000,97.658488,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5267434,1,-60.0000,90.905837,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5280411,1,-55.0000,100.596631,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5291414,1,-50.0000,0.045352,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5302763,1,-45.0000,0.052883,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.533057,1,-40.0000,0.061674,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5342915,1,-35.0000,0.071808,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5349174,1,-30.0000,0.083351,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5354967,1,-25.0000,0.096345,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5374188,1,-20.0000,0.110808,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5379887,1,-15.0000,0.126725,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.538563,1,-10.0000,0.144050,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5439785,1,-5.0000,0.162701,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5449228,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.545447,1,5.0000,0.203480,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5459495,1,10.0000,0.225267,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5472813,1,15.0000,0.247705,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5483959,1,20.0000,0.270544,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5510793,1,25.0000,0.293512,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.552602,1,30.0000,0.316317,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5537317,1,35.0000,0.338651,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5576155,1,40.0000,0.360202,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.558239,1,45.0000,0.380655,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5602112,1,50.0000,0.399702,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5619497,1,55.0000,0.417049,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5629623,1,60.0000,0.432420,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5634937,1,65.0000,0.445568,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5641866,1,70.0000,0.456276,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.56519,1,75.0000,0.464367,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5664663,1,80.0000,0.469704,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5682054,1,85.0000,0.472197,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5692487,1,90.0000,0.471801,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5708785,1,95.0000,0.468522,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5739129,1,100.0000,0.462412,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5756934,1,105.0000,0.453573,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5763264,1,110.0000,0.442149,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5777009,1,115.0000,0.428493,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.579385,1,120.0000,1.596899,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5809557,1,125.0000,5.764030,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5828807,1,130.0000,12.275699,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5841937,1,135.0000,32.597681,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5869663,1,140.0000,47.877865,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5874982,1,145.0000,56.593121,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5883665,1,150.0000,62.165179,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5902193,1,155.0000,66.048994,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5921247,1,160.0000,68.928065,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5928245,1,165.0000,71.162446,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.593424,1,170.0000,72.959508,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5944877,1,175.0000,74.447212,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.595178,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
1778163943.5958166,1,0.0000,0.182562,0,3.702125E-07,1.471082E-03,0,0.0197,0.0
