time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778491863.2532136,1,0.9999,0,-4.3467,-4.3464,-4.3467,0.498034,0.1197,98.39,1.000000,1.000000
1778491863.4950817,2,0.9999,0,-4.3465,-2.1733,-5.4333,0.498025,0.1114,98.39,0.500000,0.500000
1778491863.736121,3,0.9999,0,-4.3461,-1.4487,-6.0368,0.497832,0.1011,98.39,0.333333,0.333333
1778491863.9890485,4,0.9999,0,-4.3451,-1.0863,-6.4287,0.497702,0.1007,98.39,0.250000,0.250000
1778491864.2509375,5,0.9999,0,-4.3440,-0.8689,-6.7069,0.497672,0.1106,98.39,0.200000,0.200000
1778491864.5110817,6,0.9999,0,-4.3435,-0.7240,-6.9163,0.497354,0.1230,98.39,0.166667,0.166667
1778491864.7466931,7,0.9999,0,-4.3427,-0.6204,-7.0286,0.496995,0.1062,98.39,0.142857,0.159104
1778491864.990379,8,0.9999,0,-4.3423,-0.5429,-7.0578,0.496532,0.1119,98.39,0.125000,0.159104
1778491865.2573571,9,0.9999,0,-4.3731,-0.4860,-7.0393,0.497965,0.1281,98.39,0.111111,0.159104
1778491865.5078225,10,0.9999,0,-4.3106,-0.4311,-6.9677,1.833848,0.1214,99.87,0.100000,0.159104
1778491865.7619805,11,0.9999,0,-4.1448,-0.3769,-6.8355,16.753617,0.1264,106.97,0.090909,0.159104
1778491866.0012472,12,1.0000,0,-4.0627,-0.3386,-6.6791,66.471239,0.1092,120.49,0.083333,0.159104
1778491866.2483308,13,1.0000,0,-4.1185,-0.3169,-6.5381,152.823772,0.1202,138.72,0.076923,0.159104
1778491866.4913757,14,1.0000,0,-4.3293,-0.3093,-6.4468,326.697797,0.1056,95.16,0.071429,0.159104
1778491866.740094,15,1.0000,0,-4.8789,-0.3253,-6.4709,445.482704,0.1034,73.13,0.066667,0.159104
1778491867.0038888,16,1.0000,0,-4.8477,-0.3030,-6.4674,448.742007,0.1161,73.70,0.062500,0.159104
1778491867.243794,17,1.0000,0,-4.6767,-0.2751,-6.4139,393.635594,0.1069,66.17,0.058824,0.159104
1778491867.512352,18,1.0000,0,-4.3698,-0.2428,-6.2929,239.721289,0.1217,116.99,0.055556,0.159104
1778491867.751974,19,0.9999,0,-3.7006,-0.1948,-6.0443,121.765260,0.1206,139.37,0.052632,0.159104
