time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778491863.239992,1,0.0322,1,0.0000,0.0000,0.0000,0.000000,0.1074,27.59,0.40,2.36,1.000000,1.000000
1778491863.5040026,2,0.0322,1,0.0000,0.0000,0.0000,0.000000,0.1224,27.59,0.40,2.36,0.500000,0.500000
1778491863.7533717,3,0.0322,1,0.0000,0.0000,0.0000,0.000000,0.1197,27.59,0.40,2.36,0.333333,0.333333
1778491864.0094643,4,0.0323,1,0.0000,0.0000,0.0000,0.000000,0.1212,27.59,0.40,2.36,0.250000,0.250000
1778491864.2580698,5,0.0323,1,0.0000,0.0000,0.0000,0.000001,0.1182,27.59,0.40,2.37,0.200000,0.200000
1778491864.5142477,6,0.0323,1,0.0000,0.0000,0.0000,0.000000,0.1232,27.59,0.40,2.37,0.166667,0.166667
1778491864.7679558,7,0.0323,1,0.0000,0.0000,0.0000,0.000000,0.1293,27.59,0.40,2.37,0.142857,0.159104
1778491865.005854,8,0.0323,1,0.0000,0.0000,0.0000,0.000000,0.1291,27.59,0.40,2.37,0.125000,0.159104
1778491865.2574687,9,0.0323,1,0.0000,0.0000,0.0000,0.000001,0.1269,27.59,0.40,2.37,0.111111,0.159104
1778491865.5007222,10,0.0322,1,0.0000,0.0000,0.0000,0.000204,0.1110,26.85,0.33,2.39,0.100000,0.159104
1778491865.7536042,11,0.0320,1,0.0000,0.0000,0.0000,0.001203,0.1147,23.14,0.31,2.26,0.090909,0.159104
1778491866.0053854,12,0.0318,1,0.0000,0.0000,0.0000,0.002070,0.1174,18.47,0.19,2.12,0.083333,0.159104
1778491866.2525973,13,0.0315,1,0.0000,0.0000,0.0000,0.001560,0.1196,14.80,0.33,1.95,0.076923,0.159104
1778491866.5032208,14,0.0313,1,0.0000,0.0000,0.0000,0.000907,0.1167,11.92,1.28,1.55,0.071429,0.159104
1778491866.7534482,15,0.0311,1,0.0000,0.0000,0.0000,0.016634,0.1139,11.95,5.57,0.31,0.066667,0.159104
1778491867.0077074,16,0.0306,1,0.0000,0.0000,0.0000,0.041994,0.1189,13.96,13.10,-2.31,0.062500,0.159104
1778491867.252695,17,0.0303,1,0.0000,0.0000,0.0000,0.033717,0.1143,16.02,20.35,-5.41,0.058824,0.159104
1778491867.508661,18,0.0302,1,0.0000,0.0000,0.0000,0.017566,0.1190,17.75,23.52,-6.82,0.055556,0.159104
1778491867.7561312,19,0.0305,1,0.0000,0.0000,0.0000,0.064063,0.1271,19.58,18.79,-5.29,0.052632,0.159104
1778491868.0091226,20,0.0311,1,0.0000,0.0000,0.0000,0.079415,0.1265,20.08,9.18,-1.72,0.050000,0.159104
1778491868.2617936,21,0.0317,1,0.0000,0.0000,0.0000,0.035483,0.1280,18.57,-1.09,2.39,0.047619,0.159104
1778491868.5034542,22,0.0322,1,0.0000,0.0000,0.0000,0.000816,0.1183,17.23,-7.90,4.96,0.045455,0.159104
1778491868.7533796,23,0.0324,1,0.0000,0.0000,0.0000,0.000573,0.1274,15.87,-10.06,5.52,0.043478,0.159104
1778491869.0092645,24,0.0325,1,0.0000,0.0000,0.0000,0.000047,0.1277,14.84,-10.47,5.43,0.041667,0.159104
1778491869.2539167,25,0.0325,1,0.0000,0.0000,0.0000,0.000010,0.1166,14.76,-9.87,5.21,0.040000,0.159104
1778491869.528777,26,0.0324,1,0.0000,0.0000,0.0000,0.000009,0.1424,14.83,-8.97,4.93,0.038462,0.159104
1778491869.7607281,27,0.0323,1,0.0000,0.0000,0.0000,0.000011,0.1235,15.17,-7.31,4.43,0.037037,0.159104
1778491870.0049202,28,0.0321,1,0.0000,0.0000,0.0000,0.000013,0.1204,15.66,-4.44,3.50,0.035714,0.159104
1778491870.2531016,29,0.0318,1,0.0000,0.0000,0.0000,0.007348,0.1120,16.22,-0.91,2.32,0.034483,0.159104
1778491870.4949813,30,0.0316,1,0.0000,0.0000,0.0000,0.006075,0.1154,16.85,2.75,1.04,0.033333,0.159104
1778491870.7549522,31,0.0313,1,0.0000,0.0000,0.0000,0.004549,0.1248,17.28,6.44,-0.32,0.032258,0.159104
1778491870.9952755,32,0.0311,1,0.0000,0.0000,0.0000,0.012206,0.1137,17.92,11.32,-2.33,0.031250,0.159104
1778491871.2566013,33,0.0308,1,0.0000,0.0000,0.0000,0.030558,0.1242,19.48,18.23,-5.67,0.030303,0.159104
1778491871.5149624,34,0.0305,1,0.0000,0.0000,0.0000,0.026237,0.1270,21.01,25.03,-9.02,0.029412,0.159104
1778491871.7473197,35,0.0303,1,0.0000,0.0000,0.0000,0.010768,0.1151,21.81,28.63,-10.70,0.028571,0.159104
1778491872.0067363,36,0.0303,1,0.0000,0.0000,0.0000,0.018025,0.1213,21.30,27.52,-10.07,0.027778,0.159104
1778491872.2538512,37,0.0305,1,0.0000,0.0000,0.0000,0.022432,0.1260,19.19,22.53,-7.28,0.027027,0.159104
1778491872.5068204,38,0.0309,1,0.0000,0.0000,0.0000,0.008029,0.1201,17.81,17.45,-4.58,0.026316,0.159104
1778491872.7606552,39,0.0313,1,0.0000,0.0000,0.0000,0.000736,0.1168,17.31,14.36,-3.13,0.025641,0.159104
1778491873.0037427,40,0.0318,1,0.0000,0.0000,0.0000,0.002122,0.1202,17.88,12.40,-2.46,0.025000,0.159104
1778491873.2557015,41,0.0322,1,0.0000,0.0000,0.0000,0.005350,0.1248,19.30,10.57,-1.96,0.024390,0.159104
1778491873.511368,42,0.0324,1,0.0000,0.0000,0.0000,0.006281,0.1297,19.88,7.78,-0.88,0.023810,0.159104
1778491873.7499163,43,0.0325,1,0.0000,0.0000,0.0000,0.002545,0.1169,20.25,5.31,0.13,0.023256,0.159104
1778491874.008443,44,0.0324,1,0.0000,0.0000,0.0000,0.000573,0.1254,20.30,4.28,0.56,0.022727,0.159104
