time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779286685.6807394,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.3048,-9.12,1.000000,1.000000
1779286686.1659606,2,0.9994,0,23.9943,11.9988,30.0391,1.267426,0.2826,-13.06,0.500000,0.500000
1779286686.730147,3,0.9994,0,23.8921,7.9676,33.3047,1.382077,0.3163,-11.62,0.333333,0.333333
1779286687.2660315,4,0.9992,0,24.0217,6.0097,35.4942,1.257034,0.3284,-13.04,0.250000,0.250000
1779286687.7863245,5,0.9992,0,24.4369,4.8916,37.1985,1.216597,0.3123,-10.70,0.200000,0.200000
1779286688.3309991,6,0.9992,0,24.2674,4.0488,38.4195,1.314689,0.3195,-6.33,0.166667,0.166667
1779286688.8218412,7,0.9986,0,24.3440,3.4821,39.1122,1.393423,0.2955,-2.70,0.142857,0.159104
1779286689.400563,8,0.9986,0,24.5042,3.0675,39.3715,1.451719,0.3299,-0.51,0.125000,0.159104
1779286689.9075973,9,0.9985,0,24.5111,2.7280,39.3054,1.445813,0.3083,0.15,0.111111,0.159104
1779286690.4416406,10,0.9986,0,24.0631,2.4108,38.9115,1.665962,0.3172,0.42,0.100000,0.159104
1779286690.9704528,11,0.9994,0,23.3668,2.1285,38.2298,1.999137,0.3128,5.92,0.090909,0.159104
1779286691.6022377,12,0.9997,0,22.2699,1.8598,37.2553,2.262471,0.4011,15.20,0.083333,0.159104
1779286692.0765095,13,0.9999,0,21.5334,1.6601,36.1502,2.427979,0.3425,24.30,0.076923,0.159104
1779286692.5520532,14,1.0000,0,22.0064,1.5753,35.2246,2.736984,0.2915,32.49,0.071429,0.159104
1779286693.0915833,15,0.9999,0,22.9704,1.5346,34.5654,2.544475,0.3018,25.47,0.066667,0.159104
1779286693.6022081,16,0.9999,0,24.0312,1.5050,34.1552,1.885605,0.2969,11.35,0.062500,0.159104
1779286694.1082993,17,0.9997,0,24.8358,1.4638,33.9038,1.128111,0.2747,-1.64,0.058824,0.159104
1779286694.6576233,18,0.9994,0,24.9998,1.3916,33.6583,0.693969,0.2840,-12.31,0.055556,0.159104
1779286695.2039468,19,0.9991,0,24.7227,1.3039,33.3345,0.988185,0.2996,-8.76,0.052632,0.159104
1779286695.734186,20,0.9986,0,23.8836,1.1969,32.8396,2.032151,0.2951,5.86,0.050000,0.159104
1779286696.2635503,21,0.9953,0,23.2378,1.1095,32.2529,2.865148,0.2890,24.83,0.047619,0.159104
1779286696.7993035,22,0.9909,0,22.6906,1.0349,31.6171,3.478696,0.2928,38.49,0.045455,0.159104
