time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779286685.6659238,1,0.0194,1,0.0000,0.0000,0.0000,0.060105,0.2891,29.41,1.92,17.41,1.000000,1.000000
1779286686.1499937,2,0.0194,1,0.0000,0.0000,0.0000,0.107441,0.2557,20.68,2.34,12.80,0.500000,0.500000
1779286686.6862774,3,0.0237,1,0.0000,0.0000,0.0000,0.082827,0.2643,21.85,2.22,11.80,0.333333,0.333333
1779286687.2364213,4,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.2881,18.61,2.29,13.96,0.250000,0.250000
1779286687.7642872,5,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.2787,12.88,2.33,13.28,0.200000,0.200000
1779286688.3001544,6,0.1436,0,-11.8587,-0.2838,-0.5608,0.152016,0.2895,13.84,1.90,13.38,0.166667,0.166667
1779286688.7980337,7,0.1894,0,-7.7395,-0.1647,-0.9369,0.140363,0.2630,13.52,1.47,13.27,0.142857,0.159104
1779286689.3193963,8,0.2283,0,-5.9330,-0.1084,-1.2229,0.090548,0.2436,11.70,1.15,12.10,0.125000,0.159104
1779286689.4966028,9,0.2419,0,-5.8960,-0.1045,-1.5032,0.068790,0.1587,10.17,1.07,11.88,0.111111,0.159104
1779286689.8521929,10,0.2516,0,-5.7367,-0.0979,-1.7666,0.047904,0.2559,8.92,0.96,10.11,0.100000,0.159104
1779286690.015776,11,0.2584,0,-5.4977,-0.0899,-2.0063,0.040865,0.1568,7.38,0.85,7.57,0.090909,0.159104
1779286690.4106507,12,0.2628,0,-5.3056,-0.0838,-2.2245,0.043077,0.2761,5.61,0.77,5.10,0.083333,0.159104
1779286690.9636555,13,0.2628,0,-4.9491,-0.0749,-2.4102,0.059425,0.2958,1.84,0.64,-2.09,0.076923,0.159104
1779286691.45292,14,0.2561,0,-4.0504,-0.0571,-2.5317,0.082588,0.2415,1.12,0.36,-11.79,0.071429,0.159104
