time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779288871.6173258,1,0.0194,1,0.0000,0.0000,0.0000,0.060105,0.3310,29.41,1.92,17.41,1.000000,1.000000
1779288872.1352272,2,0.0194,1,0.0000,0.0000,0.0000,0.107441,0.2946,20.68,2.34,12.80,0.500000,0.500000
1779288872.6616178,3,0.0237,1,0.0000,0.0000,0.0000,0.082827,0.2845,21.85,2.22,11.80,0.333333,0.333333
1779288873.1837444,4,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.2762,18.61,2.29,13.96,0.250000,0.250000
1779288873.7568903,5,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.3189,12.88,2.33,13.28,0.200000,0.200000
1779288874.2834775,6,0.1436,0,-11.8587,-0.2838,-0.5608,0.152016,0.3088,13.84,1.90,13.38,0.166667,0.166667
1779288874.78691,7,0.1894,0,-7.7395,-0.1647,-0.9369,0.140363,0.2696,13.52,1.47,13.27,0.142857,0.159104
1779288875.313901,8,0.2283,0,-5.9330,-0.1084,-1.2229,0.090548,0.2714,11.70,1.15,12.10,0.125000,0.159104
1779288875.8708928,9,0.2516,0,-5.7367,-0.0999,-1.4995,0.047904,0.2985,8.67,1.03,10.11,0.111111,0.159104
1779288876.363961,10,0.2628,0,-5.3056,-0.0859,-1.7410,0.043077,0.2490,5.15,0.89,5.10,0.100000,0.159104
1779288876.8730903,11,0.2628,0,-4.9491,-0.0754,-1.9473,0.059425,0.2242,1.40,0.76,-2.08,0.090909,0.159104
1779288877.06998,12,0.2597,0,-4.6625,-0.0675,-2.1242,0.072242,0.1782,0.42,0.63,-6.95,0.083333,0.159104
1779288877.4495025,13,0.2561,0,-4.0504,-0.0541,-2.2546,0.082588,0.2736,0.85,0.43,-11.79,0.076923,0.159104
1779288878.0155072,14,0.2474,0,-2.7266,-0.0298,-2.3018,0.034673,0.3052,4.48,0.11,-16.15,0.071429,0.159104
1779288878.5075252,15,0.2398,0,-3.6533,-0.0441,-2.3958,0.089557,0.2581,5.24,0.33,-8.98,0.066667,0.159104
1779288878.7134354,16,0.2366,0,-4.8031,-0.0605,-2.5446,0.129098,0.1949,3.70,0.57,-4.29,0.062500,0.159104
1779288879.0357037,17,0.2341,0,-6.2503,-0.0796,-2.7592,0.145661,0.2525,1.79,0.85,1.98,0.058824,0.159104
1779288879.589251,18,0.2301,0,-9.4360,-0.1193,-3.1186,0.088292,0.2697,-2.78,1.45,14.72,0.055556,0.159104
1779288880.1302698,19,0.2283,0,-11.9549,-0.1481,-3.5823,0.016924,0.2863,-7.22,1.88,24.28,0.052632,0.159104
1779288880.6447203,20,0.2251,0,-13.7178,-0.1663,-4.1056,0.023221,0.2681,-12.08,2.12,23.44,0.050000,0.159104
1779288881.174262,21,0.2258,0,-13.7430,-0.1648,-4.6106,0.043978,0.2761,-13.82,2.01,16.97,0.047619,0.159104
1779288881.6865747,22,0.2303,0,-11.0443,-0.1348,-4.9762,0.201752,0.2568,-6.11,1.37,10.83,0.045455,0.159104
1779288882.2206695,23,0.2330,0,-8.4055,-0.1067,-5.2061,0.269658,0.2618,10.39,0.58,9.42,0.043478,0.159104
1779288882.777327,24,0.2377,0,-4.5357,-0.0673,-5.2455,0.165648,0.2886,31.55,-0.27,12.49,0.041667,0.159104
1779288883.2881513,25,0.2374,0,-0.7870,-0.0311,-5.1070,0.022563,0.2734,47.63,-0.83,18.65,0.040000,0.159104
1779288883.7789762,26,0.2305,0,-0.1858,-0.0255,-4.9511,0.011877,0.2312,53.21,-0.79,24.89,0.038462,0.159104
1779288883.959333,27,0.2278,0,-0.5616,-0.0284,-4.8194,0.012788,0.1495,52.66,-0.71,25.06,0.037037,0.159104
1779288884.329319,28,0.2249,0,-0.9801,-0.0316,-4.7124,0.010297,0.2519,50.16,-0.64,23.03,0.035714,0.159104
1779288884.8380103,29,0.2189,0,-2.2263,-0.0407,-4.6652,0.008948,0.2340,39.97,-0.46,16.15,0.034483,0.159104
1779288885.0700986,30,0.2164,0,-3.6147,-0.0505,-4.6777,0.032727,0.2053,32.86,-0.23,12.21,0.033333,0.159104
1779288885.4439929,31,0.2150,0,-5.2228,-0.0613,-4.7555,0.076478,0.3096,25.70,0.04,8.13,0.032258,0.159104
1779288885.940977,32,0.2150,0,-9.2507,-0.0879,-4.9942,0.190956,0.2614,8.10,0.75,-1.61,0.031250,0.159104
1779288886.503827,33,0.2163,0,-13.6333,-0.1161,-5.4036,0.224153,0.2883,-11.18,1.57,-7.81,0.030303,0.159104
1779288887.0405703,34,0.2194,0,-16.3106,-0.1326,-5.9123,0.095876,0.2930,-23.56,2.06,-10.74,0.029412,0.159104
1779288887.5529737,35,0.2201,0,-14.7638,-0.1220,-6.3400,0.201852,0.2858,-21.22,1.70,-12.36,0.028571,0.159104
1779288888.0825448,36,0.2157,0,-11.0491,-0.0990,-6.5973,0.287508,0.2763,-7.18,0.89,-9.83,0.027778,0.159104
1779288888.623825,37,0.2085,0,-6.8086,-0.0746,-6.6764,0.151095,0.2718,13.17,-0.01,-0.79,0.027027,0.159104
1779288889.1637857,38,0.1993,0,-3.1669,-0.0551,-6.6184,0.023356,0.2862,33.32,-0.64,10.25,0.026316,0.159104
1779288889.6770992,39,0.1894,0,-0.9291,-0.0440,-6.4897,0.009305,0.2651,47.53,-0.85,19.83,0.025641,0.159104
1779288890.2173402,40,0.1796,0,-0.6033,-0.0423,-6.3626,0.012529,0.2786,55.53,-0.71,26.55,0.025000,0.159104
1779288890.7724257,41,0.1770,0,-1.5438,-0.0462,-6.2717,0.029673,0.2903,61.20,-0.46,28.24,0.024390,0.159104
1779288891.2995622,42,0.1833,0,-1.8473,-0.0473,-6.1886,0.036885,0.2847,70.45,-0.41,29.33,0.023810,0.159104
1779288891.8383763,43,0.1896,0,-4.6333,-0.0594,-6.1993,0.024048,0.2954,82.91,-0.07,32.13,0.023256,0.159104
1779288892.3623755,44,0.1979,0,-3.5983,-0.0545,-6.1701,0.034294,0.2838,94.62,0.19,33.92,0.022727,0.159104
1779288892.9276147,45,0.2040,0,4.5847,-0.0171,-5.8376,0.013427,0.3059,97.06,-0.04,33.86,0.022222,0.159104
1779288893.434004,46,0.2039,0,-2.7738,-0.0497,-5.7863,0.040358,0.2616,81.88,0.04,32.26,0.021739,0.159104
1779288894.0109506,47,0.2017,0,-8.2795,-0.0731,-5.9370,0.113327,0.3103,54.91,0.35,26.46,0.021277,0.159104
1779288894.5014184,48,0.1969,0,-12.3356,-0.0894,-6.2241,0.164602,0.2551,23.87,0.71,17.11,0.020833,0.159104
1779288894.6920598,49,0.1936,0,-13.9595,-0.0955,-6.5549,0.218935,0.1805,9.04,1.07,12.00,0.020408,0.159104
1779288895.106641,50,0.1901,0,-15.7938,-0.1021,-6.9333,0.227492,0.3246,-3.66,1.51,7.06,0.020000,0.159104
1779288895.6024861,51,0.1848,0,-21.0075,-0.1206,-7.4642,0.108966,0.2679,-19.91,2.32,-1.46,0.019608,0.159104
1779288896.168083,52,0.1835,0,-24.4842,-0.1325,-8.0898,0.033503,0.2876,-27.67,2.66,-4.91,0.019231,0.159104
1779288896.6934583,53,0.1852,0,-24.3565,-0.1315,-8.6969,0.038085,0.2948,-27.41,2.58,-3.24,0.018868,0.159104
1779288897.2026033,54,0.1843,0,-20.8579,-0.1192,-9.1692,0.146307,0.2690,-17.17,1.95,0.36,0.018519,0.159104
1779288897.755692,55,0.1798,0,-16.3267,-0.1040,-9.4749,0.214875,0.2766,0.11,1.03,5.60,0.018182,0.159104
1779288898.2879632,56,0.1764,0,-10.9542,-0.0867,-9.6007,0.146447,0.2845,19.06,0.10,12.79,0.017857,0.159104
1779288898.8454814,57,0.1745,0,-6.0702,-0.0715,-9.5722,0.046743,0.2855,34.79,-0.58,19.63,0.017544,0.159104
1779288899.3754463,58,0.1748,0,-3.1963,-0.0626,-9.4557,0.003361,0.2773,44.63,-0.89,24.05,0.017241,0.159104
1779288899.911214,59,0.1746,0,-1.3308,-0.0569,-9.2853,0.018966,0.2674,48.00,-1.10,18.01,0.016949,0.159104
1779288900.453135,60,0.1738,0,0.7546,-0.0507,-9.0571,0.032732,0.2818,48.00,-1.36,6.08,0.016667,0.159104
1779288901.0166569,61,0.1711,0,2.6807,-0.0452,-8.7816,0.025554,0.2870,47.37,-1.59,-6.86,0.016393,0.159104
