time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779290354.4077137,1,0.9995,0,24.3554,24.3438,24.3554,0.234917,0.4384,-9.12,1.000000,1.000000
1779290354.9620802,2,0.9994,0,24.1260,12.0647,30.2768,0.235185,0.3631,-13.07,0.500000,0.500000
1779290355.5237134,3,0.9994,0,24.0596,8.0235,33.5563,0.249167,0.4024,-11.62,0.333333,0.333333
1779290356.0678203,4,0.9992,0,24.1564,6.0434,35.7420,0.232689,0.4040,-13.04,0.250000,0.250000
1779290356.6422212,5,0.9992,0,24.6250,4.9293,37.4644,0.227479,0.4476,-10.71,0.200000,0.200000
1779290357.168631,6,0.9992,0,24.5382,4.0939,38.7239,0.239333,0.4360,-6.34,0.166667,0.166667
1779290357.658678,7,0.9986,0,24.6255,3.5224,39.4468,0.247388,0.4038,-2.70,0.142857,0.159104
1779290358.250947,8,0.9986,0,24.7656,3.1002,39.7220,0.253451,0.4475,-0.51,0.125000,0.159104
1779290358.7851198,9,0.9985,0,24.7617,2.7558,39.6635,0.252820,0.4546,0.14,0.111111,0.159104
1779290359.2758625,10,0.9986,0,24.2816,2.4327,39.2658,0.286359,0.4071,0.41,0.100000,0.159104
1779290359.774365,11,0.9994,0,23.5400,2.1443,38.5686,0.339566,0.3807,5.91,0.090909,0.159104
1779290360.345332,12,0.9997,0,22.2834,1.8610,37.5433,0.383070,0.4237,15.20,0.083333,0.159104
1779290360.915161,13,0.9999,0,21.4432,1.6532,36.3722,0.416829,0.4616,24.31,0.076923,0.159104
1779290361.4245446,14,1.0000,0,22.4868,1.6097,35.5166,0.468805,0.4380,32.46,0.071429,0.159104
1779290361.9390347,15,0.9999,0,23.4061,1.5636,34.9048,0.424321,0.4194,25.44,0.066667,0.159104
1779290362.4992738,16,0.9999,0,24.2825,1.5207,34.4938,0.323521,0.4431,11.33,0.062500,0.159104
1779290363.1233518,17,0.9997,0,24.9404,1.4700,34.2104,0.220600,0.5388,-1.65,0.058824,0.159104
1779290363.8386104,18,0.9992,0,24.9864,1.3909,33.9138,0.174851,0.4735,-12.16,0.055556,0.159104
1779290364.3496778,19,0.9991,0,24.3282,1.2832,33.4693,0.269824,0.4429,-2.43,0.052632,0.159104
1779290364.9077435,20,0.9973,0,23.5052,1.1781,32.8795,0.406335,0.4708,15.92,0.050000,0.159104
1779290365.4349573,21,0.9930,0,23.1280,1.1046,32.2689,0.503791,0.4689,31.55,0.047619,0.159104
