time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779290354.344943,1,0.0194,1,0.0000,0.0000,0.0000,0.056986,0.3683,29.41,1.92,17.41,1.000000,1.000000
1779290354.964406,2,0.0194,1,0.0000,0.0000,0.0000,0.061183,0.3698,20.68,2.34,12.80,0.500000,0.500000
1779290355.4558687,3,0.0237,1,0.0000,0.0000,0.0000,0.059037,0.3231,21.85,2.22,11.80,0.333333,0.333333
1779290356.078898,4,0.0540,1,0.0000,0.0000,0.0000,0.079790,0.4121,18.61,2.29,13.96,0.250000,0.250000
1779290356.6499643,5,0.0992,1,0.0000,0.0000,0.0000,0.079495,0.4512,12.88,2.33,13.28,0.200000,0.200000
1779290357.169435,6,0.1436,0,-11.8014,-0.2824,-0.5581,0.065400,0.4309,13.84,1.90,13.38,0.166667,0.166667
1779290357.6608722,7,0.1894,0,-7.7501,-0.1652,-0.9351,0.064162,0.3986,13.52,1.47,13.27,0.142857,0.159104
1779290358.2673988,8,0.2283,0,-6.0121,-0.1108,-1.2264,0.059757,0.4630,11.71,1.15,12.10,0.125000,0.159104
1779290358.7875319,9,0.2516,0,-5.7476,-0.1004,-1.5037,0.055919,0.4530,8.67,1.03,10.11,0.111111,0.159104
1779290359.2127926,10,0.2628,0,-5.3274,-0.0867,-1.7466,0.055507,0.3335,5.15,0.89,5.10,0.100000,0.159104
1779290359.804602,11,0.2628,0,-4.9623,-0.0759,-1.9538,0.056951,0.4039,1.40,0.76,-2.08,0.090909,0.159104
1779290360.3055444,12,0.2561,0,-4.1020,-0.0559,-2.0949,0.059003,0.3674,0.69,0.47,-11.78,0.083333,0.159104
1779290360.9018242,13,0.2474,0,-2.7477,-0.0291,-2.1486,0.054778,0.4358,4.33,0.14,-16.15,0.076923,0.159104
1779290361.4359944,14,0.2398,0,-3.7387,-0.0455,-2.2530,0.059647,0.4462,5.10,0.37,-8.98,0.071429,0.159104
1779290361.897097,15,0.2341,0,-6.2210,-0.0836,-2.4813,0.064666,0.3707,1.52,0.91,1.99,0.066667,0.159104
1779290362.5414922,16,0.2301,0,-9.2889,-0.1265,-2.8524,0.059703,0.4735,-3.04,1.51,14.73,0.062500,0.159104
1779290363.1246793,17,0.2283,0,-11.9477,-0.1605,-3.3374,0.053239,0.5370,-7.46,1.94,24.30,0.058824,0.159104
1779290363.8370013,18,0.2245,0,-14.2135,-0.1868,-3.9060,0.053820,0.4634,-14.39,2.24,20.77,0.055556,0.159104
1779290364.3335655,19,0.2281,0,-12.2629,-0.1611,-4.3645,0.062545,0.4089,-11.62,1.82,13.45,0.052632,0.159104
1779290364.9088995,20,0.2316,0,-9.6350,-0.1288,-4.6828,0.074766,0.4707,0.79,1.08,9.74,0.050000,0.159104
1779290365.436353,21,0.2352,0,-6.9724,-0.0975,-4.8624,0.073681,0.4683,20.37,0.23,10.10,0.047619,0.159104
