time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779291218.8098197,1,0.9995,0,24.1022,24.0906,24.1022,4.592178,0.4014,-9.12,1.000000,1.000000
1779291219.1730032,2,0.9994,0,24.0053,12.0043,30.0596,4.591043,0.3564,-13.06,0.500000,0.500000
1779291219.7434087,3,0.9994,0,23.9062,7.9723,33.3262,4.638255,0.3941,-11.62,0.333333,0.333333
1779291220.3226051,4,0.9992,0,24.0333,6.0126,35.5155,4.586390,0.4373,-13.04,0.250000,0.250000
1779291220.8210278,5,0.9992,0,24.4531,4.8949,37.2213,4.569724,0.3845,-10.70,0.200000,0.200000
1779291221.4520838,6,0.9992,0,24.2922,4.0529,38.4462,4.610211,0.4669,-6.33,0.166667,0.166667
1779291221.9266737,7,0.9986,0,24.3717,3.4861,39.1423,4.642178,0.4140,-2.70,0.142857,0.159104
1779291222.4704611,8,0.9986,0,24.5306,3.0708,39.4038,4.665809,0.4395,-0.51,0.125000,0.159104
1779291223.0397253,9,0.9985,0,24.5365,2.7308,39.3390,4.663378,0.4708,0.15,0.111111,0.159104
1779291223.531492,10,0.9986,0,24.0847,2.4130,38.9449,4.755910,0.4281,0.42,0.100000,0.159104
1779291223.9995162,11,0.9994,0,23.3830,2.1300,38.2618,4.896652,0.3680,5.92,0.090909,0.159104
1779291224.574448,12,0.9997,0,22.2713,1.8599,37.2825,5.008274,0.4053,15.20,0.083333,0.159104
1779291225.1231582,13,0.9999,0,21.5264,1.6596,36.1715,5.080438,0.4321,24.31,0.076923,0.159104
1779291225.6598592,14,1.0000,0,22.0460,1.5781,35.2512,5.212620,0.4303,32.49,0.071429,0.159104
1779291226.240309,15,0.9999,0,23.0148,1.5375,34.5974,5.127171,0.4767,25.46,0.066667,0.159104
1779291226.7093859,16,0.9999,0,24.0582,1.5067,34.1878,4.849459,0.4188,11.35,0.062500,0.159104
1779291227.31382,17,0.9997,0,24.8466,1.4644,33.9334,4.534447,0.4979,-1.64,0.058824,0.159104
1779291227.7973943,18,0.9994,0,25.0077,1.3920,33.6848,4.356070,0.4527,-12.31,0.055556,0.159104
1779291228.3789775,19,0.9991,0,24.7292,1.3042,33.3581,4.478055,0.4944,-8.77,0.052632,0.159104
1779291228.8956063,20,0.9986,0,23.8571,1.1955,32.8542,4.913483,0.4936,5.87,0.050000,0.159104
1779291229.4419067,21,0.9953,0,23.2357,1.1094,32.2648,5.257946,0.5019,24.83,0.047619,0.159104
1779291229.9177437,22,0.9909,0,22.7390,1.0371,31.6365,5.513629,0.4521,38.49,0.045455,0.159104
1779291230.4131868,23,0.9883,0,22.4788,0.9813,31.0236,5.680010,0.4242,50.04,0.043478,0.159104
1779291231.0305264,24,0.9867,0,23.0268,0.9635,30.5805,5.647318,0.5064,56.39,0.041667,0.159104
1779291231.516879,25,0.9882,0,23.1932,0.9320,30.2045,5.532640,0.4615,52.50,0.040000,0.159104
1779291232.0701106,26,0.9923,0,23.2841,0.8999,29.8697,5.369720,0.4788,46.25,0.038462,0.159104
1779291232.5700698,27,0.9951,0,23.6892,0.8817,29.6333,5.165013,0.4528,34.30,0.037037,0.159104
1779291233.1459262,28,0.9965,0,23.7821,0.8536,29.4239,4.944140,0.4976,18.13,0.035714,0.159104
1779291233.6719344,29,0.9972,0,24.0445,0.8333,29.2715,4.751894,0.4868,5.61,0.034483,0.159104
1779291234.184405,30,0.9969,0,24.1679,0.8097,29.1433,4.677132,0.4782,-0.40,0.033333,0.159104
1779291234.673504,31,0.9969,0,23.4985,0.7621,28.8892,4.795118,0.4329,0.83,0.032258,0.159104
1779291235.196926,32,0.9971,0,22.8634,0.7186,28.5378,5.036083,0.4221,11.69,0.031250,0.159104
1779291235.7321875,33,0.9967,0,22.5343,0.6869,28.1638,5.307934,0.4137,31.13,0.030303,0.159104
1779291236.2495205,34,0.9955,0,22.4360,0.6640,27.8154,5.533990,0.3864,45.36,0.029412,0.159104
1779291236.8203702,35,0.9936,0,23.0539,0.6626,27.6206,5.494669,0.4331,43.84,0.028571,0.159104
1779291237.3307605,36,0.9920,0,23.7514,0.6636,27.5687,5.195043,0.3999,28.80,0.027778,0.159104
1779291237.901079,37,0.9900,0,24.3430,0.6617,27.6181,4.853434,0.4293,5.71,0.027027,0.159104
1779291238.4503493,38,0.9871,0,24.8249,0.6570,27.7332,4.520374,0.4340,-14.01,0.026316,0.159104
1779291239.0328293,39,0.9838,0,24.8792,0.6418,27.8279,4.420657,0.4810,-22.27,0.025641,0.159104
1779291239.5104713,40,0.9803,0,24.9420,0.6276,27.9075,4.442677,0.4222,-23.58,0.025000,0.159104
1779291240.1168973,41,0.9794,0,24.3121,0.5976,27.8516,4.536405,0.4992,-23.66,0.024390,0.159104
1779291240.7097363,42,0.9834,0,24.1796,0.5805,27.7667,4.500754,0.5463,-23.97,0.023810,0.159104
1779291241.5177984,43,0.9915,0,24.3364,0.5707,27.7063,4.459148,0.5466,-22.45,0.023256,0.159104
1779291242.206479,44,0.9982,0,24.7783,0.5678,27.7189,4.379089,0.4337,-19.39,0.022727,0.159104
1779291242.7358487,45,0.9987,0,24.8539,0.5569,27.7320,4.420827,0.4246,-16.06,0.022222,0.159104
1779291243.3224669,46,0.9981,0,24.7765,0.5431,27.7195,4.502833,0.4727,-11.35,0.021739,0.159104
1779291243.8258908,47,0.9981,0,24.6952,0.5298,27.6850,4.611148,0.4520,-5.90,0.021277,0.159104
1779291244.3240528,48,0.9985,0,24.5496,0.5158,27.6207,4.756507,0.4143,0.48,0.020833,0.159104
1779291244.8262475,49,0.9985,0,24.4745,0.5038,27.5446,4.826223,0.3868,2.89,0.020408,0.159104
1779291245.4414701,50,0.9979,0,24.5170,0.4945,27.4800,4.787630,0.4625,0.39,0.020000,0.159104
1779291245.9521818,51,0.9967,0,24.6972,0.4884,27.4496,4.658373,0.4292,-7.65,0.019608,0.159104
1779291246.4647775,52,0.9954,0,24.8624,0.4822,27.4457,4.478732,0.3976,-16.98,0.019231,0.159104
1779291247.0222085,53,0.9950,0,24.6440,0.4691,27.3970,4.392364,0.4079,-26.30,0.018868,0.159104
1779291247.5958614,54,0.9955,0,23.9394,0.4474,27.2259,4.504496,0.4402,-24.67,0.018519,0.159104
1779291248.1150439,55,0.9961,0,22.8821,0.4202,26.8911,4.655729,0.4147,-15.54,0.018182,0.159104
1779291248.6579738,56,0.9965,0,22.2458,0.4014,26.4924,4.809776,0.4228,-4.24,0.017857,0.159104
1779291249.2017472,57,0.9962,0,22.5986,0.4005,26.2123,4.989400,0.4302,9.08,0.017544,0.159104
1779291249.7639797,58,0.9956,0,23.3118,0.4059,26.0944,4.980221,0.4348,8.38,0.017241,0.159104
1779291250.2821395,59,0.9951,0,24.2087,0.4142,26.1445,4.767621,0.4015,-0.65,0.016949,0.159104
1779291250.834595,60,0.9951,0,24.8452,0.4179,26.2905,4.487778,0.4039,-11.51,0.016667,0.159104
1779291251.3564086,61,0.9960,0,24.9882,0.4134,26.4320,4.365055,0.3894,-19.48,0.016393,0.159104
1779291251.900713,62,0.9973,0,24.8998,0.4053,26.5298,4.331997,0.4052,-21.49,0.016129,0.159104
1779291252.428466,63,0.9984,0,24.9287,0.3993,26.6114,4.316205,0.3847,-20.51,0.015873,0.159104
1779291252.9415572,64,0.9991,0,24.9449,0.3934,26.6773,4.289921,0.3636,-20.01,0.015625,0.159104
1779291253.518757,65,0.9993,0,24.8634,0.3861,26.7136,4.248236,0.3940,-21.43,0.015385,0.159104
1779291254.0431921,66,0.9990,0,24.9301,0.3812,26.7507,4.217676,0.3804,-22.29,0.015152,0.159104
1779291254.6222835,67,0.9989,0,24.9155,0.3753,26.7747,4.210940,0.4055,-23.23,0.014925,0.159104
1779291255.1472776,68,0.9981,0,24.9508,0.3703,26.7966,4.236368,0.4067,-23.25,0.014706,0.159104
1779291255.6679463,69,0.9951,0,25.1087,0.3673,26.8385,4.315324,0.3959,-23.24,0.014493,0.159104
1779291256.1490314,70,0.9917,0,24.8901,0.3590,26.8334,4.369189,0.3258,-23.32,0.014286,0.159104
1779291256.6713927,71,0.9886,0,24.8917,0.3540,26.8263,4.400870,0.3042,-23.34,0.014085,0.159104
1779291257.1351519,72,0.9861,0,24.4906,0.3436,26.7496,4.403380,0.2412,-23.26,0.013889,0.159104
1779291257.302403,73,0.9855,0,24.1773,0.3348,26.6286,4.420659,0.1432,-23.19,0.013699,0.159104
1779291257.7225585,74,0.9850,0,23.5776,0.3223,26.4222,4.363610,0.2889,-23.12,0.013514,0.159104
1779291258.2881083,75,0.9839,0,23.0585,0.3113,26.1582,4.351221,0.3284,-22.82,0.013333,0.159104
1779291258.9637535,76,0.9822,0,22.2265,0.2965,25.7940,4.297773,0.4650,-22.65,0.013158,0.159104
1779291259.4688475,77,0.9809,0,21.7223,0.2863,25.4002,4.346879,0.4460,-22.52,0.012987,0.159104
1779291260.0102134,78,0.9806,0,21.6205,0.2814,25.0480,4.339360,0.4617,-22.72,0.012821,0.159104
1779291260.500613,79,0.9817,0,22.1310,0.2843,24.8323,4.447585,0.4198,-22.91,0.012658,0.159104
1779291261.03694,80,0.9862,0,22.2086,0.2817,24.6582,4.427257,0.4205,-23.18,0.012500,0.159104
1779291261.5885012,81,0.9908,0,22.7281,0.2847,24.5937,4.329541,0.4480,-23.56,0.012346,0.159104
1779291262.08503,82,0.9951,0,23.1311,0.2861,24.6029,4.271828,0.4027,-23.64,0.012195,0.159104
1779291262.5849922,83,0.9988,0,22.7244,0.2778,24.5380,4.204950,0.3744,-23.61,0.012048,0.159104
1779291263.1430905,84,0.9992,0,23.0596,0.2784,24.5371,4.178936,0.3960,-23.60,0.011905,0.159104
1779291263.712659,85,0.9993,0,22.8382,0.2726,24.4962,4.163423,0.4350,-23.43,0.011765,0.159104
1779291264.2113318,86,0.9995,0,22.7360,0.2682,24.4419,4.160984,0.3988,-23.48,0.011628,0.159104
1779291264.7658455,87,0.9995,0,22.8267,0.2662,24.4089,4.113667,0.4180,-23.52,0.011494,0.159104
1779291265.245718,88,0.9995,0,22.6518,0.2612,24.3490,4.079774,0.3741,-23.58,0.011364,0.159104
1779291265.8355114,89,0.9995,0,22.6601,0.2583,24.2977,4.079941,0.4268,-23.67,0.011236,0.159104
1779291266.294962,90,0.9994,0,22.6088,0.2549,24.2435,4.080959,0.3623,-23.60,0.011111,0.159104
1779291266.8769002,91,0.9992,0,22.5957,0.2519,24.1934,4.081066,0.4121,-23.58,0.010989,0.159104
1779291267.3872168,92,0.9991,0,22.6233,0.2495,24.1537,4.080364,0.3883,-23.57,0.010870,0.159104
1779291267.9156566,93,0.9990,0,22.6517,0.2471,24.1228,4.079446,0.3794,-23.57,0.010753,0.159104
1779291268.4442046,94,0.9989,0,22.7110,0.2451,24.1046,4.077974,0.3780,-23.57,0.010638,0.159104
