time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779291218.807023,1,0.0194,1,0.0000,0.0000,0.0000,2.062313,0.3885,29.41,1.92,17.41,1.000000,1.000000
1779291219.1708455,2,0.0194,1,0.0000,0.0000,0.0000,2.081301,0.3360,20.68,2.34,12.80,0.500000,0.500000
1779291219.713766,3,0.0237,1,0.0000,0.0000,0.0000,2.071439,0.3561,21.85,2.22,11.80,0.333333,0.333333
1779291220.324956,4,0.0540,1,0.0000,0.0000,0.0000,2.158847,0.4368,18.61,2.29,13.96,0.250000,0.250000
1779291220.8640592,5,0.0992,1,0.0000,0.0000,0.0000,2.154225,0.4296,12.88,2.33,13.28,0.200000,0.200000
1779291221.4559143,6,0.1436,0,-11.8567,-0.2838,-0.5608,2.099267,0.4713,13.84,1.90,13.38,0.166667,0.166667
1779291221.937898,7,0.1894,0,-7.7422,-0.1647,-0.9370,2.094527,0.4178,13.52,1.47,13.27,0.142857,0.159104
1779291222.4636464,8,0.2283,0,-5.9392,-0.1086,-1.2234,2.074549,0.4189,11.70,1.15,12.10,0.125000,0.159104
1779291223.04618,9,0.2516,0,-5.7386,-0.0999,-1.5000,2.057423,0.4803,8.67,1.03,10.11,0.111111,0.159104
1779291223.533857,10,0.2628,0,-5.3065,-0.0860,-1.7416,2.055492,0.4291,5.15,0.89,5.10,0.100000,0.159104
1779291224.0350018,11,0.2628,0,-4.9492,-0.0754,-1.9479,2.062048,0.4042,1.40,0.76,-2.08,0.090909,0.159104
1779291224.5811725,12,0.2561,0,-4.0535,-0.0546,-2.0861,2.071340,0.4086,0.68,0.48,-11.78,0.083333,0.159104
1779291225.125144,13,0.2474,0,-2.7287,-0.0284,-2.1387,2.052126,0.4280,4.32,0.15,-16.15,0.076923,0.159104
1779291225.6580083,14,0.2398,0,-3.6589,-0.0438,-2.2388,2.074144,0.4176,5.08,0.37,-8.98,0.071429,0.159104
1779291226.2404459,15,0.2341,0,-6.2494,-0.0836,-2.4687,2.096663,0.4636,1.50,0.92,1.99,0.066667,0.159104
1779291226.7088883,16,0.2301,0,-9.4260,-0.1281,-2.8468,2.073693,0.4049,-3.04,1.51,14.73,0.062500,0.159104
