time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779296670.7597651,1,0.0194,1,0.0000,0.0000,0.0000,0.060105,0.2232,29.41,1.92,17.41,1.000000,1.000000
1779296671.0835109,2,0.0192,1,0.0000,0.0000,0.0000,0.102681,0.2055,22.87,2.27,15.12,0.500000,0.500000
1779296671.356144,3,0.0194,1,0.0000,0.0000,0.0000,0.107441,0.2163,20.68,2.34,12.80,0.333333,0.333333
1779296671.6088896,4,0.0201,1,0.0000,0.0000,0.0000,0.095029,0.2018,21.17,2.27,11.60,0.250000,0.250000
1779296671.8860304,5,0.0237,1,0.0000,0.0000,0.0000,0.082827,0.2216,21.85,2.22,11.80,0.200000,0.200000
1779296672.2045307,6,0.0360,1,0.0000,0.0000,0.0000,0.086408,0.2642,21.19,2.22,13.00,0.166667,0.166667
1779296672.603453,7,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.1329,15.18,2.36,13.87,0.142857,0.159104
1779296672.856298,8,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.1265,12.88,2.33,13.28,0.125000,0.159104
1779296673.1376243,9,0.1216,0,-14.7580,-0.1994,-0.4810,0.202940,0.1387,13.13,2.12,12.95,0.111111,0.159104
1779296673.3840952,10,0.1436,0,-11.8587,-0.1549,-0.8922,0.152016,0.1235,14.17,1.86,13.39,0.100000,0.159104
1779296673.6573887,11,0.1664,0,-9.5077,-0.1169,-1.2342,0.149692,0.1262,14.33,1.61,13.37,0.090909,0.159104
1779296673.9388862,12,0.1894,0,-7.7395,-0.0872,-1.5149,0.140363,0.1333,14.09,1.37,13.29,0.083333,0.159104
1779296674.1928647,13,0.2105,0,-6.5233,-0.0661,-1.7465,0.120922,0.1396,13.51,1.15,12.74,0.076923,0.159104
1779296674.459983,14,0.2283,0,-5.9330,-0.0554,-1.9519,0.090548,0.1288,12.41,0.99,12.12,0.071429,0.159104
1779296674.7207296,15,0.2419,0,-5.8960,-0.0539,-2.1555,0.068790,0.1233,10.80,0.92,11.89,0.066667,0.159104
1779296674.9767704,16,0.2516,0,-5.7367,-0.0505,-2.3474,0.047904,0.1236,9.49,0.82,10.12,0.062500,0.159104
1779296675.2650054,17,0.2584,0,-5.4977,-0.0461,-2.5211,0.040865,0.1431,7.87,0.72,7.58,0.058824,0.159104
1779296675.5182097,18,0.2628,0,-5.3056,-0.0427,-2.6785,0.043077,0.1234,6.05,0.65,5.10,0.055556,0.159104
1779296675.7770553,19,0.2642,0,-5.1563,-0.0400,-2.8209,0.048439,0.1239,4.09,0.59,2.20,0.052632,0.159104
1779296676.0363588,20,0.2628,0,-4.9491,-0.0367,-2.9451,0.059425,0.1231,2.36,0.50,-2.10,0.050000,0.159104
1779296676.3122056,21,0.2597,0,-4.6625,-0.0327,-3.0475,0.072242,0.1227,1.31,0.39,-6.97,0.047619,0.159104
1779296676.58111,22,0.2561,0,-4.0504,-0.0252,-3.1125,0.082588,0.1344,1.68,0.22,-11.80,0.045455,0.159104
1779296676.8352122,23,0.2518,0,-3.1256,-0.0148,-3.1273,0.056217,0.1195,3.55,-0.01,-15.82,0.043478,0.159104
1779296677.1258528,24,0.2474,0,-2.7266,-0.0106,-3.1217,0.034673,0.1405,5.28,-0.10,-16.16,0.041667,0.159104
1779296677.368,25,0.2434,0,-2.9723,-0.0129,-3.1282,0.054088,0.1228,6.26,-0.02,-12.89,0.040000,0.159104
1779296677.6378026,26,0.2398,0,-3.6533,-0.0190,-3.1666,0.089557,0.1314,5.99,0.15,-8.98,0.038462,0.159104
1779296677.9241953,27,0.2366,0,-4.8031,-0.0289,-3.2560,0.129098,0.1403,4.39,0.40,-4.29,0.037037,0.159104
