time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779302336.0237322,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.3547,-9.12,1.000000,1.000000
1779302336.5471034,2,0.9994,0,23.9943,11.9988,30.0391,1.267426,0.2866,-13.06,0.500000,0.500000
1779302337.128784,3,0.9994,0,23.8921,7.9676,33.3047,1.382077,0.3264,-11.62,0.333333,0.333333
1779302337.622777,4,0.9992,0,24.0217,6.0097,35.4942,1.257034,0.2992,-13.04,0.250000,0.250000
1779302338.1945744,5,0.9992,0,24.4369,4.8916,37.1985,1.216597,0.3498,-10.70,0.200000,0.200000
1779302338.7577453,6,0.9992,0,24.2674,4.0488,38.4195,1.314689,0.3671,-6.33,0.166667,0.166667
1779302339.2336574,7,0.9986,0,24.3440,3.4821,39.1122,1.393423,0.3147,-2.70,0.142857,0.159104
1779302339.7652802,8,0.9986,0,24.5042,3.0675,39.3715,1.451719,0.3134,-0.51,0.125000,0.159104
1779302340.3176756,9,0.9985,0,24.5111,2.7280,39.3054,1.445813,0.3440,0.15,0.111111,0.159104
1779302340.8201144,10,0.9986,0,24.0631,2.4108,38.9115,1.665962,0.3227,0.42,0.100000,0.159104
1779302341.3655899,11,0.9994,0,23.3668,2.1285,38.2298,1.999137,0.3323,5.92,0.090909,0.159104
1779302341.875874,12,0.9997,0,22.2699,1.8598,37.2553,2.262471,0.3074,15.20,0.083333,0.159104
1779302342.4112277,13,0.9999,0,21.5334,1.6601,36.1502,2.427979,0.3065,24.30,0.076923,0.159104
1779302342.9381351,14,1.0000,0,22.0064,1.5753,35.2246,2.736984,0.3037,32.49,0.071429,0.159104
1779302343.4908051,15,0.9999,0,22.9704,1.5346,34.5654,2.544475,0.3233,25.47,0.066667,0.159104
1779302344.0730662,16,0.9999,0,24.0312,1.5050,34.1552,1.885605,0.3880,11.35,0.062500,0.159104
1779302344.536137,17,0.9997,0,24.8358,1.4638,33.9038,1.128111,0.3227,-1.64,0.058824,0.159104
1779302345.0652385,18,0.9994,0,24.9998,1.3916,33.6583,0.693969,0.3088,-12.31,0.055556,0.159104
1779302345.615576,19,0.9991,0,24.7227,1.3039,33.3345,0.988185,0.3366,-8.76,0.052632,0.159104
1779302346.1129093,20,0.9986,0,23.8836,1.1969,32.8396,2.032151,0.3112,5.86,0.050000,0.159104
1779302346.660997,21,0.9953,0,23.2378,1.1095,32.2529,2.865148,0.3305,24.83,0.047619,0.159104
1779302347.1974447,22,0.9909,0,22.6906,1.0349,31.6171,3.478696,0.3295,38.49,0.045455,0.159104
1779302347.7386384,23,0.9883,0,22.3841,0.9773,30.9889,3.871581,0.3421,50.04,0.043478,0.159104
1779302348.3120353,24,0.9867,0,22.9483,0.9603,30.5362,3.806179,0.3850,56.38,0.041667,0.159104
1779302348.8253894,25,0.9882,0,23.1176,0.9290,30.1527,3.534130,0.3684,52.50,0.040000,0.159104
1779302349.425789,26,0.9923,0,23.2213,0.8975,29.8142,3.141600,0.4421,46.25,0.038462,0.159104
1779302349.8411915,27,0.9951,0,203.6596,7.5149,63.6642,7.756339,0.3263,2.91,0.037037,0.159104
1779302350.3522913,28,0.9965,0,23.7585,0.8451,58.0487,2.120654,0.3047,18.13,0.035714,0.159104
1779302350.8672938,29,0.9972,0,24.0363,0.8256,53.3470,1.655133,0.2775,5.61,0.034483,0.159104
1779302351.4119277,30,0.9969,0,24.1650,0.8024,49.3938,1.473318,0.2914,-0.40,0.033333,0.159104
1779302351.953982,31,0.9969,0,23.5087,0.7555,45.9239,1.754579,0.2952,0.83,0.032258,0.159104
1779302352.505759,32,0.9971,0,22.8621,0.7118,42.8641,2.330579,0.3046,11.69,0.031250,0.159104
1779302353.0527778,33,0.9967,0,22.4916,0.6791,40.2049,2.977119,0.3147,31.13,0.030303,0.159104
1779302353.6105096,34,0.9955,0,22.3549,0.6553,37.9292,3.514741,0.3238,45.36,0.029412,0.159104
1779302354.1541703,35,0.9936,0,22.9919,0.6547,36.1191,3.432022,0.3259,43.84,0.028571,0.159104
1779302354.7341864,36,0.9920,0,23.7467,0.6575,34.7200,2.719114,0.3803,28.80,0.027778,0.159104
