time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779303855.171121,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.3418,-9.12,1.000000,1.000000
1779303855.5413365,2,0.9994,0,23.8120,11.9075,29.9022,1.192938,0.3341,-13.04,0.500000,0.500000
1779303856.0968769,3,0.9994,0,23.9131,7.9743,33.2248,1.349100,0.3540,-12.12,0.333333,0.333333
1779303856.5933282,4,0.9993,0,23.9709,5.9966,35.4115,1.345847,0.3277,-12.05,0.250000,0.250000
1779303857.1072106,5,0.9992,0,24.2736,4.8588,37.0735,1.192497,0.3107,-12.55,0.200000,0.200000
1779303857.6703653,6,0.9993,0,24.4558,4.0799,38.3725,1.280216,0.3407,-8.59,0.166667,0.166667
1779303858.1871448,7,0.9989,0,24.2794,3.4725,39.0534,1.352576,0.3146,-4.67,0.142857,0.159104
1779303858.700942,8,0.9984,0,24.4368,3.0588,39.3043,1.432768,0.3097,-1.29,0.125000,0.159104
1779303859.256516,9,0.9986,0,24.5997,2.7375,39.2707,1.451400,0.3269,0.61,0.111111,0.159104
1779303859.7566738,10,0.9984,0,24.3857,2.4428,38.9609,1.463701,0.2886,-0.59,0.100000,0.159104
1779303860.3035827,11,0.9990,0,23.7760,2.1656,38.3687,1.838610,0.3092,3.06,0.090909,0.159104
1779303860.8371902,12,0.9997,0,22.7953,1.9035,37.4925,2.126922,0.3105,10.13,0.083333,0.159104
1779303861.352388,13,0.9998,0,21.7390,1.6759,36.3959,2.305908,0.2819,18.99,0.076923,0.159104
1779303861.9317281,14,1.0000,0,21.6199,1.5476,35.3465,2.659709,0.3163,30.87,0.071429,0.159104
1779303862.4901605,15,1.0000,0,22.4723,1.5013,34.5607,2.690459,0.3461,29.65,0.066667,0.159104
1779303862.9820173,16,0.9999,0,23.4966,1.4715,34.0379,2.265058,0.3197,18.70,0.062500,0.159104
1779303863.530902,17,0.9998,0,24.5386,1.4462,33.7430,1.481309,0.3454,4.89,0.058824,0.159104
1779303864.0491047,18,0.9996,0,24.9885,1.3909,33.5204,0.836757,0.3262,-8.33,0.055556,0.159104
1779303864.6069758,19,0.9992,0,24.8997,1.3131,33.2542,0.739728,0.3530,-12.15,0.052632,0.159104
1779303865.1013525,20,0.9991,0,24.3794,1.2215,32.8708,1.436133,0.3278,-2.43,0.050000,0.159104
1779303865.6432347,21,0.9973,0,23.6118,1.1270,32.3499,2.435492,0.3375,15.92,0.047619,0.159104
1779303866.171286,22,0.9930,0,22.9675,1.0471,31.7491,3.172965,0.3206,31.55,0.045455,0.159104
1779303866.704842,23,0.9894,0,22.4782,0.9810,31.1164,3.738234,0.3429,44.96,0.043478,0.159104
1779303867.2118888,24,0.9873,0,22.5800,0.9448,30.5719,3.914519,0.3181,54.19,0.041667,0.159104
1779303867.7473898,25,0.9870,0,22.9905,0.9237,30.1600,3.716223,0.3134,55.49,0.040000,0.159104
1779303868.2356708,26,0.9901,0,23.1469,0.8945,29.8088,3.356317,0.2756,49.82,0.038462,0.159104
1779303868.8514078,27,0.9941,0,23.5977,0.8782,29.5657,2.938682,0.3622,41.21,0.037037,0.159104
1779303869.3415015,28,0.9959,0,23.6881,0.8502,29.3499,2.392540,0.3178,26.30,0.035714,0.159104
1779303869.8874595,29,0.9969,0,23.8819,0.8276,29.1789,1.866521,0.3413,10.71,0.034483,0.159104
1779303870.3850675,30,0.9971,0,24.1299,0.8083,29.0580,1.524378,0.3040,1.68,0.033333,0.159104
1779303870.9630337,31,0.9968,0,23.6787,0.7678,28.8510,1.578959,0.3556,-0.62,0.032258,0.159104
1779303871.4853337,32,0.9971,0,23.1926,0.7288,28.5665,2.011923,0.3425,4.53,0.031250,0.159104
1779303872.0234191,33,0.9970,0,22.6373,0.6900,28.2065,2.656559,0.3469,21.23,0.030303,0.159104
1779303872.5534127,34,0.9962,0,22.2795,0.6593,27.8218,3.290455,0.3255,39.78,0.029412,0.159104
1779303873.0696132,35,0.9945,0,22.6767,0.6518,27.5564,3.545082,0.3123,46.33,0.028571,0.159104
1779303873.628129,36,0.9927,0,23.3643,0.6528,27.4439,3.140379,0.3358,37.95,0.027778,0.159104
1779303874.167452,37,0.9912,0,24.0790,0.6545,27.4645,2.296909,0.3375,17.48,0.027027,0.159104
1779303874.6911137,38,0.9885,0,24.6791,0.6530,27.5767,1.419425,0.3296,-5.13,0.026316,0.159104
1779303875.2040937,39,0.9855,0,24.8414,0.6406,27.6880,0.924115,0.3139,-19.53,0.025641,0.159104
1779303875.7505982,40,0.9820,0,24.8987,0.6263,27.7807,0.850366,0.3323,-23.27,0.025000,0.159104
1779303876.2752802,41,0.9792,0,24.7332,0.6074,27.8187,0.992876,0.3164,-23.58,0.024390,0.159104
1779303876.7637107,42,0.9811,0,24.1852,0.5804,27.7413,1.107159,0.2806,-23.70,0.023810,0.159104
1779303877.306831,43,0.9860,0,24.2703,0.5691,27.6766,0.976818,0.2825,-24.74,0.023256,0.159104
1779303877.8568716,44,0.9915,0,24.3545,0.5581,27.6226,0.939322,0.2957,-22.45,0.022727,0.159104
1779303878.3982837,45,0.9965,0,24.4330,0.5475,27.5776,0.882098,0.2902,-20.59,0.022222,0.159104
1779303878.9731524,46,0.9987,0,24.8868,0.5455,27.6088,0.763697,0.3288,-17.98,0.021739,0.159104
1779303879.5423048,47,0.9984,0,24.7734,0.5315,27.6055,0.956378,0.3460,-13.30,0.021277,0.159104
