time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779303855.1593075,1,0.0194,1,0.0000,0.0000,0.0000,0.060105,0.3248,29.41,1.92,17.41,1.000000,1.000000
1779303855.5298798,2,0.0192,1,0.0000,0.0000,0.0000,0.102681,0.3118,22.87,2.27,15.12,0.500000,0.500000
1779303855.9922552,3,0.0201,1,0.0000,0.0000,0.0000,0.095029,0.2486,21.17,2.27,11.60,0.333333,0.333333
1779303856.1907036,4,0.0237,1,0.0000,0.0000,0.0000,0.082827,0.1904,21.85,2.22,11.80,0.250000,0.250000
1779303856.5913913,5,0.0360,1,0.0000,0.0000,0.0000,0.086408,0.3166,21.19,2.22,13.00,0.200000,0.200000
1779303857.0708053,6,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.2562,15.18,2.36,13.87,0.166667,0.166667
1779303857.6538749,7,0.1216,0,-14.7580,-0.2563,-0.5368,0.202940,0.3134,13.19,2.12,12.95,0.142857,0.159104
1779303858.1518629,8,0.1664,0,-9.5077,-0.1417,-0.9124,0.149692,0.2690,14.01,1.66,13.36,0.125000,0.159104
1779303858.6508882,9,0.2105,0,-6.5233,-0.0686,-1.1666,0.120922,0.2519,12.94,1.27,12.73,0.111111,0.159104
1779303859.2547414,10,0.2419,0,-5.8960,-0.0518,-1.3984,0.068790,0.3167,10.07,1.09,11.88,0.100000,0.159104
1779303859.7494102,11,0.2584,0,-5.4977,-0.0412,-1.6065,0.040865,0.2716,6.99,0.95,7.57,0.090909,0.159104
1779303860.2484329,12,0.2642,0,-5.1563,-0.0328,-1.7872,0.048439,0.2509,3.09,0.86,2.20,0.083333,0.159104
1779303860.4087744,13,0.2628,0,-4.9491,-0.0280,-1.9462,0.059425,0.1475,1.40,0.76,-2.08,0.076923,0.159104
1779303860.8214676,14,0.2597,0,-4.6625,-0.0221,-2.0796,0.072242,0.2834,0.37,0.64,-6.95,0.071429,0.159104
1779303861.3209465,15,0.2518,0,-3.1256,0.0041,-2.1176,0.056217,0.2405,2.58,0.24,-15.81,0.066667,0.159104
1779303861.4720562,16,0.2474,0,-2.7266,0.0102,-2.1319,0.034673,0.1252,4.32,0.15,-16.15,0.062500,0.159104
1779303861.903473,17,0.2434,0,-2.9723,0.0065,-2.1581,0.054088,0.2882,5.32,0.22,-12.89,0.058824,0.159104
1779303862.4420376,18,0.2366,0,-4.8031,-0.0176,-2.2747,0.129098,0.2884,3.44,0.63,-4.29,0.055556,0.159104
1779303862.957866,19,0.2321,0,-7.7906,-0.0539,-2.5303,0.133740,0.2886,-0.79,1.24,8.38,0.052632,0.159104
1779303863.505127,20,0.2290,0,-10.9211,-0.0891,-2.9219,0.034932,0.3084,-5.51,1.81,20.57,0.050000,0.159104
1779303864.0205863,21,0.2269,0,-12.8494,-0.1090,-3.3854,0.018781,0.2961,-9.99,2.11,24.95,0.047619,0.159104
1779303864.5816433,22,0.2245,0,-14.2019,-0.1217,-3.8891,0.023727,0.3111,-14.40,2.25,20.78,0.045455,0.159104
1779303865.0536838,23,0.2281,0,-12.4763,-0.1034,-4.3004,0.118083,0.2701,-11.69,1.84,13.45,0.043478,0.159104
1779303865.572355,24,0.2316,0,-9.7735,-0.0763,-4.5755,0.253255,0.2578,0.69,1.10,9.74,0.041667,0.159104
1779303865.7591307,25,0.2330,0,-8.4055,-0.0628,-4.7781,0.269658,0.1761,9.97,0.67,9.42,0.040000,0.159104
1779303866.124463,26,0.2352,0,-6.6352,-0.0463,-4.8921,0.239394,0.2743,20.40,0.23,10.10,0.038462,0.159104
1779303866.6474576,27,0.2388,0,-2.2974,-0.0075,-4.8007,0.073985,0.2724,40.81,-0.58,15.43,0.037037,0.159104
1779303867.191817,28,0.2340,0,-0.1469,0.0106,-4.6172,0.011065,0.2883,51.08,-0.78,22.20,0.035714,0.159104
1779303867.7258842,29,0.2278,0,-0.5616,0.0072,-4.4633,0.012788,0.2818,52.31,-0.66,25.00,0.034483,0.159104
1779303868.22013,30,0.2218,0,-1.4981,0.0002,-4.3585,0.007586,0.2533,45.51,-0.51,19.93,0.033333,0.159104
1779303868.823841,31,0.2164,0,-3.6147,-0.0145,-4.3469,0.032727,0.3234,32.54,-0.17,12.18,0.032258,0.159104
1779303869.2990382,32,0.2148,0,-7.1104,-0.0379,-4.4780,0.131368,0.2745,17.15,0.43,3.24,0.031250,0.159104
1779303869.8396692,33,0.2154,0,-11.4810,-0.0662,-4.7819,0.230183,0.2848,-2.10,1.23,-5.49,0.030303,0.159104
1779303870.3436728,34,0.2179,0,-15.3593,-0.0906,-5.2361,0.164488,0.2623,-19.24,1.97,-9.46,0.029412,0.159104
1779303870.9210207,35,0.2203,0,-16.0020,-0.0941,-5.7042,0.115910,0.3021,-24.53,2.06,-11.68,0.028571,0.159104
1779303871.4653642,36,0.2185,0,-13.0547,-0.0756,-6.0327,0.275310,0.3087,-15.90,1.41,-11.86,0.027778,0.159104
1779303872.0044155,37,0.2123,0,-8.9475,-0.0516,-6.1810,0.237922,0.3182,2.23,0.52,-5.83,0.027027,0.159104
1779303872.5371904,38,0.2042,0,-4.8331,-0.0293,-6.1656,0.071178,0.2966,23.22,-0.30,4.55,0.026316,0.159104
1779303873.05233,39,0.1942,0,-1.8375,-0.0142,-6.0456,0.008104,0.2835,40.79,-0.70,15.32,0.025641,0.159104
1779303873.5870047,40,0.1843,0,-0.5113,-0.0080,-5.8911,0.008428,0.2819,51.70,-0.75,23.52,0.025000,0.159104
