time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779353072.525545,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.2810,-9.12,1.000000,1.000000
1779353072.9800866,2,0.9995,0,23.8548,11.9282,29.9336,1.233733,0.2056,-11.79,0.500000,0.500000
1779353073.2614987,3,0.9994,0,23.8120,7.9402,33.1893,1.192938,0.2233,-13.04,0.333333,0.333333
1779353073.3801637,4,0.9994,0,23.9943,6.0019,35.3943,1.267426,0.0731,-13.06,0.250000,0.250000
1779353073.800299,5,0.9994,0,23.9131,4.7860,36.9288,1.349100,0.2256,-12.12,0.200000,0.200000
1779353073.936312,6,0.9994,0,23.8921,3.9853,38.0789,1.382077,0.1103,-11.62,0.166667,0.166667
1779353074.330361,7,0.9993,0,23.9709,3.4277,38.7185,1.345847,0.2386,-12.05,0.142857,0.159104
1779353074.5417976,8,0.9992,0,24.0217,3.0059,38.9101,1.257034,0.1801,-13.04,0.125000,0.159104
1779353074.9138236,9,0.9992,0,24.2736,2.7001,38.8542,1.192497,0.2829,-12.55,0.111111,0.159104
1779353075.4913669,10,0.9993,0,24.4558,2.4485,38.6242,1.280216,0.3388,-8.59,0.100000,0.159104
1779353075.956145,11,0.9989,0,24.2794,2.2102,38.2034,1.352576,0.2767,-4.67,0.090909,0.159104
1779353076.4497917,12,0.9984,0,24.4368,2.0394,37.7319,1.432768,0.2374,-1.29,0.083333,0.159104
1779353076.7993565,13,0.9986,0,24.5042,1.8879,37.2183,1.451719,0.3237,-0.51,0.076923,0.159104
1779353077.2656615,14,0.9985,0,24.5111,1.7537,36.6748,1.445813,0.2636,0.15,0.071429,0.159104
1779353077.7789223,15,0.9986,0,24.0631,1.6072,36.0228,1.665962,0.2461,0.42,0.066667,0.159104
1779353078.0148478,16,0.9990,0,23.7760,1.4889,35.3285,1.838610,0.2107,3.06,0.062500,0.159104
1779353078.2474751,17,0.9994,0,23.3668,1.3773,34.5848,1.999137,0.1835,5.92,0.058824,0.159104
1779353078.4984958,18,0.9997,0,22.7953,1.2691,33.7769,2.126922,0.1725,10.13,0.055556,0.159104
1779353078.7852595,19,0.9997,0,22.2699,1.1747,32.9345,2.262471,0.1906,15.20,0.052632,0.159104
1779353079.0200677,20,0.9998,0,21.7390,1.0894,32.0698,2.305908,0.1517,18.99,0.050000,0.159104
1779353079.301547,21,0.9999,0,21.5334,1.0277,31.2579,2.427979,0.1834,24.30,0.047619,0.159104
1779353079.6036296,22,1.0000,0,21.6199,0.9850,30.5528,2.659709,0.2187,30.87,0.045455,0.159104
1779353079.9249887,23,1.0000,0,22.0064,0.9589,29.9994,2.736984,0.2714,32.49,0.043478,0.159104
1779353080.4178393,24,0.9999,0,22.9704,0.9592,29.6877,2.544475,0.2365,25.47,0.041667,0.159104
1779353080.6464565,25,0.9999,0,23.4966,0.9418,29.4947,2.265058,0.1940,18.70,0.040000,0.159104
1779353080.8981931,26,0.9999,0,24.0312,0.9262,29.4044,1.885605,0.1802,11.35,0.038462,0.159104
1779353081.1777287,27,0.9998,0,24.5386,0.9107,29.3962,1.481309,0.1907,4.89,0.037037,0.159104
1779353081.453484,28,0.9997,0,24.8358,0.8888,29.4182,1.128111,0.1933,-1.64,0.035714,0.159104
1779353081.7934358,29,0.9996,0,24.9885,0.8634,29.4398,0.836757,0.2678,-8.33,0.034483,0.159104
1779353082.237782,30,0.9992,0,24.8997,0.8317,29.4175,0.739728,0.1889,-12.15,0.033333,0.159104
1779353082.483028,31,0.9991,0,24.7227,0.7992,29.3434,0.988185,0.1803,-8.76,0.032258,0.159104
1779353082.7265072,32,0.9991,0,24.3794,0.7635,29.1964,1.436133,0.1569,-2.43,0.031250,0.159104
1779353083.003483,33,0.9986,0,23.8836,0.7254,28.9625,2.032151,0.1639,5.86,0.030303,0.159104
1779353083.2571316,34,0.9973,0,23.6118,0.6961,28.6991,2.435492,0.1550,15.92,0.029412,0.159104
1779353083.6147895,35,0.9953,0,23.2378,0.6657,28.3946,2.865148,0.2470,24.83,0.028571,0.159104
1779353083.875463,36,0.9930,0,22.9675,0.6399,28.0759,3.172965,0.2370,31.55,0.027778,0.159104
1779353084.0878642,37,0.9909,0,22.6906,0.6153,27.7452,3.478696,0.1883,38.49,0.027027,0.159104
1779353084.366458,38,0.9894,0,22.4782,0.5938,27.4164,3.738234,0.1948,44.96,0.026316,0.159104
1779353084.6596606,39,0.9883,0,22.3841,0.5764,27.1109,3.871581,0.2271,50.04,0.025641,0.159104
1779353084.8528328,40,0.9873,0,22.5800,0.5670,26.8771,3.914519,0.1659,54.19,0.025000,0.159104
1779353085.122047,41,0.9867,0,22.9484,0.5622,26.7343,3.806179,0.1770,56.38,0.024390,0.159104
1779353085.4101188,42,0.9870,0,22.9905,0.5500,26.6100,3.716223,0.1935,55.49,0.023810,0.159104
1779353085.6764665,43,0.9882,0,23.1176,0.5402,26.5162,3.534130,0.1871,52.50,0.023256,0.159104
1779353085.968751,44,0.9901,0,23.1469,0.5287,26.4309,3.356317,0.2137,49.82,0.022727,0.159104
1779353086.1690824,45,0.9923,0,23.2213,0.5187,26.3610,3.141600,0.1674,46.25,0.022222,0.159104
1779353086.4503872,46,0.9941,0,23.5977,0.5157,26.3580,2.938682,0.1820,41.21,0.021739,0.159104
1779353086.7093363,47,0.9951,0,23.6477,0.5058,26.3546,2.654570,0.1674,34.30,0.021277,0.159104
1779353086.977932,48,0.9959,0,23.6881,0.4961,26.3496,2.392540,0.1611,26.30,0.020833,0.159104
1779353087.2859545,49,0.9965,0,23.7585,0.4875,26.3490,2.120654,0.2013,18.13,0.020408,0.159104
1779353087.5104537,50,0.9969,0,23.8819,0.4802,26.3618,1.866521,0.1580,10.71,0.020000,0.159104
1779353087.7878132,51,0.9972,0,24.0363,0.4739,26.3915,1.655133,0.1798,5.61,0.019608,0.159104
1779353088.0635848,52,0.9971,0,24.1299,0.4666,26.4253,1.524378,0.1863,1.68,0.019231,0.159104
1779353088.3446054,53,0.9969,0,24.1650,0.4584,26.4525,1.473318,0.1935,-0.40,0.018868,0.159104
1779353088.602955,54,0.9968,0,23.6787,0.4410,26.3837,1.578959,0.1800,-0.62,0.018519,0.159104
1779353088.8982046,55,0.9969,0,23.5087,0.4299,26.2894,1.754579,0.1936,0.83,0.018182,0.159104
1779353089.1815994,56,0.9971,0,23.1926,0.4166,26.1487,2.011923,0.2136,4.53,0.017857,0.159104
1779353089.4148843,57,0.9971,0,22.8621,0.4036,25.9668,2.330579,0.1768,11.69,0.017544,0.159104
1779353089.6785429,58,0.9970,0,22.6373,0.3928,25.7692,2.656559,0.1844,21.23,0.017241,0.159104
1779353089.9815173,59,0.9967,0,22.4916,0.3837,25.5723,2.977119,0.2038,31.13,0.016949,0.159104
1779353090.3081386,60,0.9962,0,22.2795,0.3738,25.3649,3.290455,0.2669,39.78,0.016667,0.159104
1779353090.8162448,61,0.9945,0,22.6767,0.3742,25.2545,3.545082,0.2297,46.33,0.016393,0.159104
1779353091.0332935,62,0.9936,0,22.9919,0.3732,25.2110,3.432022,0.1991,43.84,0.016129,0.159104
1779353091.2893665,63,0.9927,0,23.3643,0.3732,25.2336,3.140379,0.1724,37.95,0.015873,0.159104
1779353091.5756233,64,0.9920,0,23.7467,0.3734,25.3134,2.719114,0.1928,28.80,0.015625,0.159104
1779353091.8678076,65,0.9912,0,24.0790,0.3727,25.4326,2.296909,0.2259,17.48,0.015385,0.159104
1779353092.1139627,66,0.9900,0,24.3578,0.3713,25.5762,1.895366,0.2078,5.72,0.015152,0.159104
1779353092.4050772,67,0.9885,0,24.6791,0.3706,25.7474,1.419425,0.2204,-5.13,0.014925,0.159104
1779353092.635121,68,0.9871,0,24.8126,0.3671,25.9100,1.096578,0.1927,-14.01,0.014706,0.159104
1779353092.8852723,69,0.9855,0,24.8414,0.3623,26.0480,0.924115,0.1778,-19.53,0.014493,0.159104
1779353093.1878808,70,0.9838,0,24.8721,0.3576,26.1656,0.853084,0.2207,-22.27,0.014286,0.159104
