time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779353072.539137,1,0.0194,1,0.0000,0.0000,0.0000,0.293772,0.2922,29.41,1.92,17.41,1.000000,1.000000
1779353073.0064015,2,0.0193,1,0.0000,0.0000,0.0000,0.349910,0.2295,26.31,2.09,16.74,0.500000,0.500000
1779353073.31098,3,0.0192,1,0.0000,0.0000,0.0000,0.424957,0.2677,22.87,2.27,15.12,0.333333,0.333333
1779353073.8857448,4,0.0201,1,0.0000,0.0000,0.0000,0.425695,0.3065,21.17,2.27,11.60,0.250000,0.250000
1779353074.3333037,5,0.0360,1,0.0000,0.0000,0.0000,0.349715,0.2364,21.19,2.22,13.00,0.200000,0.200000
1779353074.5456913,6,0.0540,1,0.0000,0.0000,0.0000,0.334331,0.1839,18.61,2.29,13.96,0.166667,0.166667
1779353074.9311843,7,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.3002,15.18,2.36,13.87,0.142857,0.159104
1779353075.50132,8,0.1216,0,-14.7580,-0.2243,-0.5054,0.202940,0.3439,13.15,2.12,12.95,0.125000,0.159104
1779353075.9478636,9,0.1664,0,-9.5077,-0.1230,-0.8636,0.149692,0.2466,13.96,1.67,13.36,0.111111,0.159104
1779353076.4681098,10,0.2105,0,-6.5233,-0.0576,-1.1088,0.120922,0.2542,12.89,1.28,12.73,0.100000,0.159104
1779353076.7964802,11,0.2283,0,-5.9330,-0.0442,-1.3266,0.090548,0.3139,11.80,1.13,12.10,0.090909,0.159104
1779353077.291857,12,0.2516,0,-5.7367,-0.0391,-1.5407,0.047904,0.2934,8.71,1.02,10.11,0.083333,0.159104
1779353077.7756102,13,0.2628,0,-5.3056,-0.0296,-1.7266,0.043077,0.2354,5.13,0.90,5.10,0.076923,0.159104
1779353078.0316992,14,0.2642,0,-5.1563,-0.0262,-1.8959,0.048439,0.2268,3.20,0.83,2.20,0.071429,0.159104
1779353078.263388,15,0.2628,0,-4.9491,-0.0222,-2.0448,0.059425,0.1953,1.49,0.74,-2.08,0.066667,0.159104
1779353078.4990733,16,0.2597,0,-4.6625,-0.0171,-2.1694,0.072242,0.1699,0.46,0.62,-6.95,0.062500,0.159104
1779353078.782494,17,0.2561,0,-4.0504,-0.0077,-2.2534,0.082588,0.1807,0.85,0.43,-11.79,0.058824,0.159104
1779353079.0258183,18,0.2518,0,-3.1256,0.0054,-2.2832,0.056217,0.1588,2.74,0.20,-15.81,0.055556,0.159104
1779353079.2966533,19,0.2474,0,-2.7266,0.0105,-2.2905,0.034673,0.1731,4.47,0.11,-16.15,0.052632,0.159104
1779353079.6111596,20,0.2434,0,-2.9723,0.0074,-2.3098,0.054088,0.2269,5.47,0.18,-12.89,0.050000,0.159104
1779353079.9264393,21,0.2398,0,-3.6533,-0.0005,-2.3616,0.089557,0.2710,5.20,0.34,-8.98,0.047619,0.159104
1779353080.416693,22,0.2341,0,-6.2503,-0.0281,-2.5334,0.145661,0.2299,1.57,0.90,1.99,0.045455,0.159104
1779353080.643272,23,0.2321,0,-7.7906,-0.0434,-2.7693,0.133740,0.1850,-0.56,1.18,8.37,0.043478,0.159104
1779353080.8947651,24,0.2301,0,-9.4360,-0.0587,-3.0700,0.088292,0.1719,-2.83,1.46,14.73,0.041667,0.159104
1779353081.1803772,25,0.2290,0,-10.9211,-0.0718,-3.4252,0.034932,0.1874,-5.02,1.70,20.55,0.040000,0.159104
1779353081.4439828,26,0.2283,0,-11.9549,-0.0802,-3.8124,0.016924,0.1814,-7.00,1.83,24.27,0.038462,0.159104
1779353081.8107321,27,0.2269,0,-12.8494,-0.0871,-4.2226,0.018781,0.2815,-9.18,1.93,24.91,0.037037,0.159104
1779353082.2319677,28,0.2245,0,-14.2019,-0.0972,-4.6728,0.023727,0.1762,-13.64,2.08,20.72,0.035714,0.159104
1779353082.4789686,29,0.2258,0,-13.7430,-0.0929,-5.0881,0.043978,0.1723,-13.36,1.91,16.94,0.034483,0.159104
1779353082.7458262,30,0.2281,0,-12.4763,-0.0826,-5.4358,0.118083,0.1731,-10.58,1.59,13.38,0.033333,0.159104
1779353083.0050955,31,0.2303,0,-11.0443,-0.0713,-5.7100,0.201752,0.1646,-5.39,1.21,10.80,0.032258,0.159104
1779353083.2830129,32,0.2316,0,-9.7728,-0.0616,-5.9190,0.253255,0.1777,2.00,0.82,9.73,0.031250,0.159104
1779353083.622846,33,0.2330,0,-4.7602,-0.0258,-5.9009,0.380696,0.2537,11.07,0.44,9.44,0.030303,0.159104
1779353083.877428,34,0.2352,0,-0.7376,0.0022,-5.7055,0.439847,0.2358,21.19,0.07,10.15,0.029412,0.159104
1779353084.0832772,35,0.2377,0,0.2051,0.0086,-5.4737,0.279900,0.1843,31.77,-0.31,12.51,0.028571,0.159104
1779353084.354147,36,0.2388,0,0.6084,0.0113,-5.2317,0.117834,0.1798,41.23,-0.65,15.48,0.027778,0.159104
1779353084.6726756,37,0.2374,0,0.9032,0.0131,-4.9875,0.037649,0.2391,47.52,-0.81,18.63,0.027027,0.159104
1779353084.882034,38,0.2340,0,1.0539,0.0139,-4.7491,0.023211,0.1945,51.21,-0.80,22.22,0.026316,0.159104
1779353085.1322634,39,0.2305,0,1.0670,0.0139,-4.5224,0.023887,0.1854,52.79,-0.72,24.82,0.025641,0.159104
1779353085.4163592,40,0.2278,0,1.0047,0.0135,-4.3091,0.028201,0.2022,52.16,-0.63,24.97,0.025000,0.159104
1779353085.6745925,41,0.2249,0,0.9151,0.0129,-4.1097,0.031071,0.1732,49.57,-0.54,22.93,0.024390,0.159104
1779353085.9675689,42,0.2218,0,0.2320,0.0092,-3.9476,0.029727,0.2102,45.11,-0.44,19.87,0.023810,0.159104
1779353086.1819978,43,0.2189,0,-2.2582,-0.0035,-3.8921,0.013327,0.1771,39.22,-0.32,16.06,0.023256,0.159104
1779353086.433538,44,0.2164,0,-3.6529,-0.0103,-3.8939,0.036708,0.1593,32.09,-0.08,12.13,0.022727,0.159104
1779353086.7162662,45,0.2150,0,-5.2687,-0.0180,-3.9583,0.079897,0.1728,24.92,0.19,8.07,0.022222,0.159104
1779353086.9911819,46,0.2148,0,-7.1104,-0.0265,-4.0916,0.131368,0.1784,16.77,0.50,3.22,0.021739,0.159104
1779353087.2831962,47,0.2150,0,-9.2507,-0.0362,-4.3031,0.190956,0.1954,7.43,0.88,-1.61,0.021277,0.159104
1779353087.5276845,48,0.2154,0,-11.4810,-0.0460,-4.5935,0.230183,0.1730,-2.29,1.27,-5.48,0.020833,0.159104
1779353087.7903492,49,0.2163,0,-13.6333,-0.0553,-4.9581,0.224153,0.1800,-11.62,1.66,-7.79,0.020408,0.159104
1779353088.043652,50,0.2179,0,-15.3593,-0.0626,-5.3792,0.164488,0.1605,-19.10,1.95,-9.47,0.020000,0.159104
1779353088.3604038,51,0.2194,0,-16.3106,-0.0664,-5.8248,0.095876,0.2072,-23.65,2.08,-10.73,0.019608,0.159104
1779353088.5974283,52,0.2203,0,-16.0020,-0.0648,-6.2441,0.115910,0.1686,-24.00,1.96,-11.74,0.019231,0.159104
1779353088.9106588,53,0.2201,0,-14.7638,-0.0594,-6.5997,0.201852,0.2034,-20.97,1.65,-12.38,0.018868,0.159104
1779353089.193569,54,0.2185,0,-13.0547,-0.0523,-6.8746,0.275310,0.2261,-15.07,1.25,-11.93,0.018519,0.159104
1779353089.4211369,55,0.2157,0,-11.0491,-0.0442,-7.0605,0.287508,0.1794,-6.73,0.80,-9.85,0.018182,0.159104
1779353089.6804307,56,0.2123,0,-8.9476,-0.0361,-7.1591,0.237922,0.1825,3.19,0.34,-5.85,0.017857,0.159104
1779353090.0091288,57,0.2085,0,-6.8103,-0.0281,-7.1747,0.151102,0.2316,13.66,-0.10,-0.78,0.017544,0.159104
