time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779360064.9309125,1,0.9998,0,-16.6099,-16.6071,-16.6099,0.139740,0.2032,100.14,1.000000,1.000000
1779360065.1779008,2,0.9998,0,-16.6108,-8.3054,-20.7637,0.139896,0.1771,100.14,0.500000,0.500000
1779360065.451617,3,0.9998,0,-16.6116,-5.5377,-23.0720,0.140069,0.1901,100.14,0.333333,0.333333
1779360065.71812,4,0.9998,0,-16.6121,-4.1536,-24.5727,0.140235,0.1783,100.14,0.250000,0.250000
1779360066.018522,5,0.9998,0,-16.6129,-3.3232,-25.6396,0.140488,0.2106,100.14,0.200000,0.200000
1779360066.2653742,6,0.9998,0,-16.6257,-2.7715,-26.4473,0.141082,0.1866,100.14,0.166667,0.166667
1779360066.5271978,7,0.9998,0,-16.7102,-2.3877,-26.9062,0.141417,0.1754,100.12,0.142857,0.159104
1779360066.8001852,8,0.9999,0,-16.7043,-2.0886,-27.0396,0.145533,0.1869,100.05,0.125000,0.159104
1779360067.0587544,9,0.9999,0,-16.8129,-1.8686,-26.9841,0.174188,0.1782,99.88,0.111111,0.159104
1779360067.3323586,10,0.9999,0,-16.9631,-1.6968,-26.8167,0.242666,0.1891,99.59,0.100000,0.159104
1779360067.6031334,11,0.9999,0,-16.9907,-1.5451,-26.5528,0.303574,0.1883,99.18,0.090909,0.159104
1779360067.8783848,12,0.9999,0,-17.0063,-1.4176,-26.2261,0.366185,0.2003,98.67,0.083333,0.159104
1779360068.140033,13,0.9999,0,-17.0012,-1.3082,-25.8585,0.421337,0.2088,98.08,0.076923,0.159104
1779360068.4325716,14,0.9999,0,-17.0600,-1.2189,-25.4837,0.462996,0.2287,97.45,0.071429,0.159104
1779360068.6660056,15,1.0000,0,-17.0357,-1.1361,-25.0950,0.501179,0.1975,96.79,0.066667,0.159104
1779360068.9636903,16,1.0000,0,-17.0776,-1.0677,-24.7173,0.515914,0.2220,96.14,0.062500,0.159104
1779360069.1810827,17,1.0000,0,-17.0096,-1.0009,-24.3326,0.504571,0.1812,95.56,0.058824,0.159104
1779360069.4600444,18,1.0000,0,-16.8835,-0.9383,-23.9365,0.441408,0.1942,95.08,0.055556,0.159104
1779360069.738126,19,1.0000,0,-16.9024,-0.8899,-23.5657,0.376451,0.2023,94.70,0.052632,0.159104
1779360069.962973,20,1.0000,0,-16.9990,-0.8502,-23.2359,0.335781,0.1672,94.42,0.050000,0.159104
1779360070.2342827,21,1.0000,0,-17.5324,-0.8351,-23.0307,0.520901,0.1709,94.27,0.047619,0.159104
1779360070.4973862,22,1.0000,0,-17.6687,-0.8034,-22.8532,0.469867,0.1693,94.19,0.045455,0.159104
1779360070.8302271,23,1.0000,0,-17.7803,-0.7733,-22.6963,0.416960,0.2315,94.19,0.043478,0.159104
1779360071.0488613,24,1.0000,0,-17.8821,-0.7453,-22.5571,0.370370,0.1827,94.30,0.041667,0.159104
1779360071.325469,25,1.0000,0,-18.0149,-0.7208,-22.4406,0.343865,0.1982,94.54,0.040000,0.159104
1779360071.6295388,26,1.0000,0,-18.3195,-0.7048,-22.3775,0.332028,0.2251,94.94,0.038462,0.159104
1779360071.8515935,27,1.0000,0,-18.6547,-0.6911,-22.3664,0.352248,0.1862,95.48,0.037037,0.159104
1779360072.14565,28,1.0000,0,-18.6270,-0.6654,-22.3310,0.422830,0.2115,96.15,0.035714,0.159104
1779360072.4201329,29,1.0000,0,-18.3010,-0.6313,-22.2207,0.452923,0.2316,96.85,0.034483,0.159104
1779360072.7351706,30,0.9999,0,-17.8936,-0.5966,-22.0341,0.982925,0.2672,97.50,0.033333,0.159104
1779360073.271854,31,0.9995,0,-16.2353,-0.5239,-21.5525,3.504243,0.2761,98.40,0.032258,0.159104
1779360073.779488,32,0.9991,0,-15.5725,-0.4869,-21.0114,4.886587,0.2478,98.53,0.031250,0.159104
1779360073.8886037,33,0.9989,0,-14.9583,-0.4536,-20.4309,5.366041,0.0974,98.22,0.030303,0.159104
1779360074.263347,34,0.9987,0,-14.6923,-0.4324,-19.8827,5.925984,0.2040,97.64,0.029412,0.159104
1779360074.5359938,35,0.9986,0,-14.5021,-0.4147,-19.3767,6.265090,0.2173,96.90,0.028571,0.159104
1779360074.8046665,36,0.9985,0,-14.9534,-0.4157,-19.0236,6.644590,0.2222,96.11,0.027778,0.159104
1779360075.0331967,37,0.9985,0,-16.2107,-0.4384,-18.9454,5.942409,0.1859,95.38,0.027027,0.159104
1779360075.3364108,38,0.9986,0,-16.6951,-0.4396,-18.9577,5.608148,0.2214,94.76,0.026316,0.159104
