time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779360064.932529,1,0.0433,1,0.0000,0.0000,0.0000,0.000001,0.1939,31.67,10.87,-4.67,1.000000,1.000000
1779360065.16903,2,0.0433,1,0.0000,0.0000,0.0000,0.000001,0.1616,31.67,10.87,-4.67,0.500000,0.500000
1779360065.4528432,3,0.0432,1,0.0000,0.0000,0.0000,0.000000,0.1903,31.67,10.87,-4.67,0.333333,0.333333
1779360065.74945,4,0.0432,1,0.0000,0.0000,0.0000,0.000000,0.2041,31.67,10.88,-4.67,0.250000,0.250000
1779360066.0166698,5,0.0432,1,0.0000,0.0000,0.0000,0.000009,0.2001,31.67,10.88,-4.67,0.200000,0.200000
1779360066.2215507,6,0.0432,1,0.0000,0.0000,0.0000,0.010130,0.1383,31.68,10.96,-4.71,0.166667,0.166667
1779360066.5272887,7,0.0432,1,0.0000,0.0000,0.0000,0.471461,0.1714,31.78,11.63,-5.13,0.142857,0.159104
1779360066.7839983,8,0.0432,1,0.0000,0.0000,0.0000,3.775255,0.1681,32.23,13.59,-6.49,0.125000,0.159104
1779360067.0260623,9,0.0432,1,0.0000,0.0000,0.0000,13.678221,0.1417,33.56,17.21,-9.44,0.111111,0.159104
1779360067.300622,10,0.0431,1,0.0000,0.0000,0.0000,30.562269,0.1516,36.43,22.19,-14.54,0.100000,0.159104
1779360067.594278,11,0.0430,1,0.0000,0.0000,0.0000,51.250322,0.1742,41.45,27.98,-22.30,0.090909,0.159104
1779360067.8723612,12,0.0428,1,0.0000,0.0000,0.0000,70.144090,0.1958,48.75,34.02,-32.73,0.083333,0.159104
1779360068.1173143,13,0.0426,1,53.8705,0.0000,53.8705,80.719715,0.1829,36.04,0.35,-0.81,0.076923,0.159104
1779360068.3829725,14,0.0424,1,53.8705,0.0000,53.8705,77.462074,0.1742,36.99,9.88,-7.91,0.071429,0.159104
1779360068.6478844,15,0.0421,1,53.8705,0.0000,53.8705,63.065985,0.1724,38.74,19.38,-15.29,0.066667,0.159104
1779360068.9345572,16,0.0418,1,53.8705,0.0000,53.8705,45.725580,0.1943,41.48,28.04,-22.56,0.062500,0.159104
1779360069.1636453,17,0.0416,1,53.8705,0.0000,53.8705,32.101913,0.1616,45.14,35.28,-29.58,0.058824,0.159104
