time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779368022.692335,1,0.0433,1,0.0000,0.0000,0.0000,0.000001,0.1745,31.40,11.70,1.69,1.000000,1.000000
1779368022.95253,2,0.0433,1,0.0000,0.0000,0.0000,0.000001,0.1696,31.40,11.70,1.69,0.500000,0.500000
1779368023.24486,3,0.0432,1,0.0000,0.0000,0.0000,0.000001,0.2090,31.40,11.70,1.69,0.333333,0.333333
1779368023.5292423,4,0.0432,1,0.0000,0.0000,0.0000,0.000001,0.2085,31.40,11.70,1.69,0.250000,0.250000
1779368023.8398693,5,0.0432,1,0.0000,0.0000,0.0000,0.000002,0.2558,31.40,11.70,1.69,0.200000,0.200000
1779368024.050075,6,0.0432,1,0.0000,0.0000,0.0000,0.000026,0.1982,31.41,11.79,1.70,0.166667,0.166667
1779368024.3231428,7,0.0432,1,0.0000,0.0000,0.0000,0.000087,0.1863,31.43,12.58,1.71,0.142857,0.159104
1779368024.5996041,8,0.0432,1,0.0000,0.0000,0.0000,0.000168,0.1981,31.51,14.92,1.71,0.125000,0.159104
1779368024.862244,9,0.0432,1,0.0000,0.0000,0.0000,0.000824,0.1970,31.69,19.37,1.72,0.111111,0.159104
1779368025.1476839,10,0.0431,1,0.0000,0.0000,0.0000,0.003524,0.2102,32.06,25.84,1.72,0.100000,0.159104
1779368025.3982232,11,0.0430,1,0.0000,0.0000,0.0000,0.009967,0.1887,33.06,34.06,1.73,0.090909,0.159104
1779368025.6805992,12,0.0428,1,0.0000,0.0000,0.0000,0.020684,0.2123,38.17,43.43,1.73,0.083333,0.159104
1779368025.9208946,13,0.0426,1,0.0000,0.0000,0.0000,0.034845,0.1665,13.94,52.18,1.73,0.076923,0.159104
1779368026.1804917,14,0.0424,1,0.0000,0.0000,0.0000,0.051482,0.1608,-9.50,60.01,1.73,0.071429,0.159104
1779368026.4727235,15,0.0421,1,0.0000,0.0000,0.0000,0.067360,0.1868,-32.70,66.38,1.72,0.066667,0.159104
1779368026.7204287,16,0.0418,1,0.0000,0.0000,0.0000,0.077075,0.1804,-55.82,70.47,1.72,0.062500,0.159104
1779368026.9847293,17,0.0416,1,0.0000,0.0000,0.0000,0.054417,0.1610,-78.96,71.77,1.71,0.058824,0.159104
1779368027.2662125,18,0.0413,1,0.0000,0.0000,0.0000,0.027867,0.1794,-102.26,70.51,1.71,0.055556,0.159104
1779368027.506744,19,0.0411,1,0.0000,0.0000,0.0000,0.015182,0.1520,-126.15,67.07,1.71,0.052632,0.159104
1779368027.7937946,20,0.0409,1,0.0000,0.0000,0.0000,0.008976,0.1764,-154.13,62.11,1.70,0.050000,0.159104
1779368028.0625567,21,0.0407,1,0.0000,0.0000,0.0000,0.005242,0.1923,-152.77,57.60,1.71,0.047619,0.159104
1779368028.294784,22,0.0406,1,0.0000,0.0000,0.0000,0.002743,0.1592,-152.22,54.07,1.70,0.045455,0.159104
1779368028.583838,23,0.0406,1,0.0000,0.0000,0.0000,0.001212,0.1813,-151.98,51.94,1.71,0.043478,0.159104
1779368028.8413148,24,0.0406,1,0.0000,0.0000,0.0000,0.002734,0.1664,-152.03,51.71,1.74,0.041667,0.159104
1779368029.102593,25,0.0407,1,0.0000,0.0000,0.0000,0.012963,0.1636,-152.79,53.83,1.79,0.040000,0.159104
1779368029.341876,26,0.0409,1,0.0000,0.0000,0.0000,0.041274,0.1473,-130.18,57.65,1.87,0.038462,0.159104
1779368029.6205966,27,0.0411,1,0.0000,0.0000,0.0000,0.104800,0.1584,-106.61,59.69,1.95,0.037037,0.159104
1779368029.9400048,28,0.0415,1,0.0000,0.0000,0.0000,0.232570,0.2155,-83.51,58.77,2.03,0.035714,0.159104
1779368030.1803234,29,0.0419,1,0.0000,0.0000,0.0000,0.129789,0.1901,-60.55,54.73,2.08,0.034483,0.159104
1779368030.462332,30,0.0423,1,0.0000,0.0000,0.0000,0.093819,0.1961,-37.69,47.29,2.10,0.033333,0.159104
1779368030.7213311,31,0.0425,1,0.0000,0.0000,0.0000,0.066612,0.2036,-14.86,36.19,2.07,0.032258,0.159104
1779368030.9917562,32,0.0427,1,0.0000,0.0000,0.0000,0.055471,0.2086,8.00,21.48,1.99,0.031250,0.159104
1779368031.2060215,33,0.0428,1,0.0000,0.0000,0.0000,0.062850,0.1515,31.20,2.97,1.87,0.030303,0.159104
1779368031.4903476,34,0.0427,1,0.0000,0.0000,0.0000,0.085852,0.1669,21.42,-18.25,1.72,0.029412,0.159104
1779368031.7612898,35,0.0425,1,0.0000,0.0000,0.0000,0.121146,0.1814,-1.32,-35.68,1.56,0.028571,0.159104
1779368032.0689526,36,0.0421,1,0.0000,0.0000,0.0000,0.157080,0.2229,-23.90,-47.77,1.40,0.027778,0.159104
1779368032.343714,37,0.0417,1,0.0000,0.0000,0.0000,0.178645,0.2295,-46.42,-55.07,1.28,0.027027,0.159104
1779368032.5737956,38,0.0413,1,0.0000,0.0000,0.0000,0.178653,0.1977,-68.88,-58.14,1.21,0.026316,0.159104
1779368032.8512604,39,0.0409,1,0.0000,0.0000,0.0000,0.160149,0.2114,-91.27,-57.51,1.17,0.025641,0.159104
1779368033.151989,40,0.0405,1,0.0000,0.0000,0.0000,0.129072,0.2464,-113.57,-54.18,1.16,0.025000,0.159104
1779368033.6517932,41,0.0401,1,0.0000,0.0000,0.0000,0.060575,0.2149,-148.01,-42.09,1.21,0.024390,0.159104
1779368033.9768674,42,0.0400,1,0.0000,0.0000,0.0000,0.037808,0.2834,-148.44,-37.99,1.22,0.023810,0.159104
1779368034.4365602,43,0.0402,1,0.0000,0.0000,0.0000,0.047788,0.2008,-148.22,-41.25,1.17,0.023256,0.159104
1779368034.7069151,44,0.0404,1,0.0000,0.0000,0.0000,0.072772,0.2035,-131.47,-47.00,1.11,0.022727,0.159104
1779368034.966071,45,0.0407,1,0.0000,0.0000,0.0000,0.096820,0.2086,-109.21,-51.02,1.05,0.022222,0.159104
1779368035.2195566,46,0.0411,1,0.0000,0.0000,0.0000,0.113799,0.2012,-86.80,-52.76,1.00,0.021739,0.159104
1779368035.4807816,47,0.0416,1,0.0000,0.0000,0.0000,0.116660,0.1862,-64.32,-51.71,0.96,0.021277,0.159104
1779368035.7722378,48,0.0421,1,0.0000,0.0000,0.0000,0.102684,0.2103,-41.78,-47.49,0.95,0.020833,0.159104
1779368035.9861817,49,0.0425,1,0.0000,0.0000,0.0000,0.074289,0.1695,-19.22,-40.18,0.98,0.020408,0.159104
1779368036.2404475,50,0.0428,1,0.0000,0.0000,0.0000,0.042039,0.1632,3.36,-28.99,1.05,0.020000,0.159104
1779368036.525002,51,0.0431,1,0.0000,0.0000,0.0000,0.020909,0.1783,25.76,-13.14,1.15,0.019608,0.159104
