time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779369235.3206744,1,0.0194,1,0.0000,0.0000,0.0000,0.064024,0.2041,18.45,29.40,1.92,1.000000,1.000000
1779369235.5526762,2,0.0194,1,0.0000,0.0000,0.0000,0.066849,0.1761,18.13,28.73,1.96,0.500000,0.500000
1779369235.830874,3,0.0193,1,0.0000,0.0000,0.0000,0.085813,0.1884,17.73,26.29,2.09,0.333333,0.333333
1779369236.0766313,4,0.0192,1,0.0000,0.0000,0.0000,0.116814,0.1726,16.02,22.85,2.27,0.250000,0.250000
1779369236.3257422,5,0.0194,1,0.0000,0.0000,0.0000,0.126062,0.1569,13.62,20.66,2.34,0.200000,0.200000
1779369236.5987961,6,0.0201,1,0.0000,0.0000,0.0000,0.110776,0.1580,12.41,21.15,2.27,0.166667,0.166667
1779369236.8796074,7,0.0237,1,0.0000,0.0000,0.0000,0.096421,0.1822,12.63,21.84,2.22,0.142857,0.159104
1779369237.1589644,8,0.0360,1,0.0000,0.0000,0.0000,0.131074,0.1897,13.80,21.17,2.22,0.125000,0.159104
1779369237.404896,9,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.1775,14.69,18.60,2.29,0.111111,0.159104
1779369237.6780703,10,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.1827,14.48,15.17,2.36,0.100000,0.159104
1779369237.9412467,11,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.1759,13.78,12.87,2.33,0.090909,0.159104
1779369238.1953275,12,0.1216,0,-14.7580,-0.1495,-0.4321,0.202940,0.1744,13.44,13.07,2.13,0.083333,0.159104
1779369238.4642613,13,0.1436,0,-11.8587,-0.1158,-0.8064,0.152016,0.1779,13.85,14.08,1.87,0.076923,0.159104
1779369238.7375014,14,0.1664,0,-9.5077,-0.0865,-1.1210,0.149692,0.1729,13.75,14.21,1.63,0.071429,0.159104
1779369239.0051205,15,0.1894,0,-7.7395,-0.0631,-1.3817,0.140363,0.1682,13.56,13.96,1.39,0.066667,0.159104
1779369239.2666597,16,0.2105,0,-6.5233,-0.0463,-1.5986,0.120922,0.1808,12.94,13.36,1.18,0.062500,0.159104
1779369239.5732918,17,0.2283,0,-5.9330,-0.0377,-1.7924,0.090548,0.2173,12.25,12.26,1.03,0.058824,0.159104
1779369239.7919133,18,0.2419,0,-5.8960,-0.0367,-1.9856,0.068790,0.1673,11.95,10.64,0.96,0.055556,0.159104
1779369240.0722983,19,0.2516,0,-5.7367,-0.0341,-2.1685,0.047904,0.1832,10.13,9.31,0.86,0.052632,0.159104
1779369240.3530102,20,0.2584,0,-5.4977,-0.0306,-2.3347,0.040865,0.1956,7.55,7.69,0.77,0.050000,0.159104
1779369240.5937886,21,0.2628,0,-5.3056,-0.0278,-2.4856,0.043077,0.1578,5.05,5.87,0.70,0.047619,0.159104
1779369240.8587832,22,0.2642,0,-5.1563,-0.0257,-2.6224,0.048439,0.1651,2.14,3.90,0.64,0.045455,0.159104
1779369241.1043508,23,0.2628,0,-4.9491,-0.0230,-2.7418,0.059425,0.1460,-2.16,2.16,0.56,0.043478,0.159104
1779369241.3818638,24,0.2597,0,-4.6625,-0.0197,-2.8400,0.072242,0.1642,-7.05,1.11,0.45,0.041667,0.159104
1779369241.6563945,25,0.2561,0,-4.0504,-0.0132,-2.9020,0.082588,0.1626,-11.90,1.47,0.27,0.040000,0.159104
1779369241.9043343,26,0.2518,0,-3.1256,-0.0041,-2.9148,0.056217,0.1467,-15.90,3.35,0.04,0.038462,0.159104
1779369242.198602,27,0.2474,0,-2.7266,-0.0004,-2.9078,0.034673,0.1656,-16.20,5.07,-0.04,0.037037,0.159104
1779369242.441612,28,0.2434,0,-2.9723,-0.0025,-2.9128,0.054088,0.1556,-12.91,6.05,0.03,0.035714,0.159104
1779369242.732443,29,0.2398,0,-3.6533,-0.0081,-2.9488,0.089557,0.1594,-9.01,5.77,0.20,0.034483,0.159104
1779369242.9682136,30,0.2366,0,-4.8031,-0.0171,-3.0351,0.129098,0.1455,-4.35,4.18,0.46,0.033333,0.159104
1779369243.2791378,31,0.2341,0,-6.2503,-0.0279,-3.1818,0.145661,0.1932,1.89,2.20,0.75,0.032258,0.159104
1779369243.502842,32,0.2321,0,-7.7906,-0.0389,-3.3895,0.133740,0.1445,8.24,0.05,1.04,0.031250,0.159104
1779369243.7765865,33,0.2301,0,-9.4360,-0.0501,-3.6591,0.088292,0.1555,14.56,-2.25,1.33,0.030303,0.159104
1779369244.0831697,34,0.2290,0,-10.9211,-0.0598,-3.9813,0.034932,0.2014,20.35,-4.48,1.57,0.029412,0.159104
1779369244.299618,35,0.2283,0,-11.9549,-0.0661,-4.3347,0.016924,0.1557,24.02,-6.48,1.71,0.028571,0.159104
1779369244.5586302,36,0.2269,0,-12.8494,-0.0714,-4.7109,0.018781,0.1374,24.57,-8.69,1.82,0.027778,0.159104
1779369244.8360627,37,0.2251,0,-13.7178,-0.0762,-5.1069,0.023221,0.1562,22.97,-11.10,1.90,0.027027,0.159104
1779369245.1070404,38,0.2245,0,-14.2019,-0.0786,-5.5076,0.023727,0.1680,20.19,-12.81,1.90,0.026316,0.159104
1779369245.361701,39,0.2258,0,-13.7430,-0.0755,-5.8762,0.043978,0.1550,16.44,-12.58,1.74,0.025641,0.159104
1779369245.6439195,40,0.2281,0,-12.4763,-0.0679,-6.1811,0.118083,0.1679,12.93,-9.84,1.43,0.025000,0.159104
1779369245.8969042,41,0.2303,0,-11.0443,-0.0594,-6.4165,0.201752,0.1649,10.31,-4.70,1.06,0.024390,0.159104
1779369246.2136524,42,0.2316,0,-9.7735,-0.0521,-6.5904,0.253255,0.2185,9.11,2.65,0.67,0.023810,0.159104
1779369246.4122443,43,0.2330,0,-8.4054,-0.0444,-6.7004,0.269658,0.1481,8.59,11.84,0.29,0.023256,0.159104
1779369246.7185898,44,0.2352,0,-6.6352,-0.0347,-6.7314,0.239394,0.1853,9.05,22.18,-0.12,0.022727,0.159104
1779369246.9394312,45,0.2377,0,-4.5357,-0.0234,-6.6709,0.165648,0.1503,11.27,32.93,-0.52,0.022222,0.159104
1779369247.2145987,46,0.2388,0,-2.2973,-0.0117,-6.5159,0.073985,0.1491,14.18,42.47,-0.87,0.021739,0.159104
1779369247.5505922,47,0.2374,0,-0.7870,-0.0040,-6.3034,0.022563,0.2293,17.33,48.78,-1.02,0.021277,0.159104
1779369247.7309206,48,0.2340,0,-0.1469,-0.0009,-6.0750,0.011065,0.1389,20.92,52.49,-1.01,0.020833,0.159104
1779369248.0331805,49,0.2305,0,-0.1858,-0.0010,-5.8600,0.011877,0.1700,23.59,54.08,-0.93,0.020408,0.159104
1779369248.3070002,50,0.2278,0,-0.5616,-0.0027,-5.6706,0.012788,0.1795,23.87,53.48,-0.84,0.020000,0.159104
1779369248.5624723,51,0.2249,0,-0.9801,-0.0046,-5.5072,0.010297,0.1707,22.03,50.92,-0.76,0.019608,0.159104
1779369248.810974,52,0.2218,0,-1.4981,-0.0068,-5.3723,0.007586,0.1520,19.24,46.49,-0.68,0.019231,0.159104
1779369249.058671,53,0.2189,0,-2.2263,-0.0097,-5.2721,0.008948,0.1537,15.65,40.56,-0.56,0.018868,0.159104
1779369249.3383012,54,0.2164,0,-3.6147,-0.0153,-5.2298,0.032727,0.1522,11.87,33.40,-0.33,0.018519,0.159104
1779369249.6034787,55,0.2150,0,-5.2228,-0.0215,-5.2503,0.076478,0.1651,7.80,26.18,-0.06,0.018182,0.159104
1779369249.8474762,56,0.2148,0,-7.1104,-0.0287,-5.3416,0.131368,0.1411,2.84,17.99,0.27,0.017857,0.159104
1779369250.170397,57,0.2150,0,-9.2507,-0.0366,-5.5107,0.190956,0.1855,-2.18,8.61,0.65,0.017544,0.159104
