time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779373996.758063,1,0.0194,1,0.0000,0.0000,0.0000,0.064024,0.1697,17.40,30.01,1.92,1.000000,1.000000
1779373997.0173745,2,0.0194,1,0.0000,0.0000,0.0000,0.066849,0.1623,17.08,29.35,1.96,0.500000,0.500000
1779373997.3122597,3,0.0193,1,0.0000,0.0000,0.0000,0.085813,0.1920,16.73,26.94,2.09,0.333333,0.333333
1779373997.5607288,4,0.0192,1,0.0000,0.0000,0.0000,0.116814,0.1911,15.11,23.48,2.27,0.250000,0.250000
1779373997.799346,5,0.0194,1,0.0000,0.0000,0.0000,0.126062,0.1584,12.79,21.20,2.34,0.200000,0.200000
1779373998.0873928,6,0.0201,1,0.0000,0.0000,0.0000,0.110776,0.1820,11.59,21.63,2.27,0.166667,0.166667
1779373998.37407,7,0.0237,1,0.0000,0.0000,0.0000,0.096421,0.1957,11.79,22.31,2.22,0.142857,0.159104
1779373998.6478498,8,0.0360,1,0.0000,0.0000,0.0000,0.131074,0.2037,12.99,21.69,2.22,0.125000,0.159104
1779373998.8977673,9,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.1943,13.95,19.17,2.29,0.111111,0.159104
1779373999.157775,10,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.1774,13.86,15.76,2.36,0.100000,0.159104
1779373999.4031515,11,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.1586,13.27,13.42,2.33,0.090909,0.159104
1779373999.715218,12,0.1216,0,-14.7580,-0.1495,-0.4321,0.202940,0.2008,12.94,13.57,2.13,0.083333,0.159104
1779373999.987253,13,0.1436,0,-11.8587,-0.1158,-0.8064,0.152016,0.1997,13.38,14.56,1.87,0.076923,0.159104
1779374000.2845876,14,0.1664,0,-9.5077,-0.0865,-1.1210,0.149692,0.2241,13.36,14.66,1.63,0.071429,0.159104
1779374000.4950318,15,0.1894,0,-7.7395,-0.0631,-1.3817,0.140363,0.1605,13.28,14.35,1.39,0.066667,0.159104
1779374000.768089,16,0.2105,0,-6.5233,-0.0463,-1.5986,0.120922,0.1623,12.74,13.67,1.18,0.062500,0.159104
1779374001.074253,17,0.2283,0,-5.9330,-0.0377,-1.7924,0.090548,0.2053,12.12,12.50,1.03,0.058824,0.159104
1779374001.305857,18,0.2419,0,-5.8960,-0.0367,-1.9856,0.068790,0.1750,11.89,10.85,0.96,0.055556,0.159104
1779374001.5885146,19,0.2516,0,-5.7367,-0.0341,-2.1685,0.047904,0.1919,10.12,9.46,0.86,0.052632,0.159104
1779374001.872837,20,0.2584,0,-5.4977,-0.0306,-2.3347,0.040865,0.1982,7.58,7.78,0.77,0.050000,0.159104
1779374002.1277134,21,0.2628,0,-5.3056,-0.0278,-2.4856,0.043077,0.1879,5.10,5.93,0.70,0.047619,0.159104
1779374002.3884132,22,0.2642,0,-5.1563,-0.0257,-2.6224,0.048439,0.1885,2.20,3.97,0.64,0.045455,0.159104
1779374002.6140127,23,0.2628,0,-4.9491,-0.0230,-2.7418,0.059425,0.1551,-2.09,2.25,0.56,0.043478,0.159104
1779374002.9070652,24,0.2597,0,-4.6625,-0.0197,-2.8400,0.072242,0.1759,-6.97,1.22,0.45,0.041667,0.159104
1779374003.1495519,25,0.2561,0,-4.0504,-0.0132,-2.9020,0.082588,0.1533,-11.80,1.59,0.27,0.040000,0.159104
