time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779632058.4146645,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.2322,-9.12,1.000000,1.000000
1779632058.620335,2,0.9995,0,23.8881,11.9442,29.9580,1.281554,0.2002,-10.33,0.500000,0.500000
1779632058.93593,3,0.9995,0,23.8548,7.9538,33.2287,1.233733,0.2372,-11.79,0.333333,0.333333
1779632059.1707535,4,0.9994,0,23.8120,5.9559,35.3437,1.192938,0.2050,-13.04,0.250000,0.250000
1779632059.405841,5,0.9994,0,23.9943,4.8019,36.9173,1.267426,0.1775,-13.06,0.200000,0.200000
1779632059.6925092,6,0.9994,0,23.9131,3.9885,38.0754,1.349100,0.2016,-12.12,0.166667,0.166667
1779632059.9309802,7,0.9994,0,23.8921,3.4161,38.6930,1.382077,0.1834,-11.62,0.142857,0.159104
1779632060.229548,8,0.9993,0,23.9709,2.9992,38.8747,1.345847,0.1976,-12.05,0.125000,0.159104
1779632060.4875073,9,0.9992,0,24.0217,2.6719,38.7605,1.257034,0.1964,-13.04,0.111111,0.159104
1779632060.7268825,10,0.9992,0,24.2736,2.4301,38.5013,1.192497,0.1697,-12.55,0.100000,0.159104
1779632060.989932,11,0.9992,0,24.4369,2.2242,38.1358,1.216597,0.1737,-10.70,0.090909,0.159104
1779632061.3059459,12,0.9993,0,24.4558,2.0405,37.6769,1.280216,0.2221,-8.59,0.083333,0.159104
1779632061.5345259,13,0.9992,0,24.2674,1.8692,37.1171,1.314689,0.1811,-6.33,0.076923,0.159104
1779632061.7976704,14,0.9989,0,24.2794,1.7367,36.5376,1.352576,0.1770,-4.67,0.071429,0.159104
1779632062.1209154,15,0.9986,0,24.3440,1.6254,35.9675,1.393423,0.2284,-2.70,0.066667,0.159104
1779632062.3275352,16,0.9984,0,24.4368,1.5297,35.4225,1.432768,0.1773,-1.29,0.062500,0.159104
1779632062.627548,17,0.9986,0,24.5042,1.4438,34.9023,1.451719,0.2149,-0.51,0.058824,0.159104
1779632062.8969142,18,0.9986,0,24.5997,1.3690,34.4170,1.451400,0.2269,0.61,0.055556,0.159104
1779632063.135298,19,0.9985,0,24.5111,1.2924,33.9305,1.445813,0.2030,0.15,0.052632,0.159104
1779632063.4213562,20,0.9984,0,24.3857,1.2217,33.4419,1.463701,0.2164,-0.59,0.050000,0.159104
1779632063.6718075,21,0.9986,0,24.0631,1.1482,32.9176,1.665962,0.2084,0.42,0.047619,0.159104
1779632063.9301014,22,0.9990,0,23.7760,1.0831,32.3755,1.838610,0.1939,3.06,0.045455,0.159104
1779632064.1873875,23,0.9994,0,23.3668,1.0182,31.7993,1.999137,0.1887,5.92,0.043478,0.159104
1779632064.4499958,24,0.9997,0,22.7953,0.9520,31.1678,2.126922,0.1924,10.13,0.041667,0.159104
1779632064.7379758,25,0.9997,0,22.2699,0.8929,30.5035,2.262471,0.2086,15.20,0.040000,0.159104
1779632064.9848955,26,0.9998,0,21.7390,0.8382,29.8142,2.305908,0.1877,18.99,0.038462,0.159104
1779632065.2473392,27,0.9999,0,21.5334,0.7995,29.1692,2.427979,0.1823,24.30,0.037037,0.159104
1779632065.5259626,28,1.0000,0,21.6199,0.7741,28.6190,2.659709,0.1911,30.87,0.035714,0.159104
1779632065.7843523,29,1.0000,0,22.0064,0.7607,28.2066,2.736984,0.1861,32.49,0.034483,0.159104
1779632066.0540454,30,1.0000,0,22.4723,0.7509,27.9257,2.690459,0.1949,29.65,0.033333,0.159104
1779632066.3178227,31,0.9999,0,22.9704,0.7427,27.7619,2.544475,0.1899,25.47,0.032258,0.159104
1779632066.5915563,32,0.9999,0,23.4966,0.7359,27.7022,2.265058,0.2065,18.70,0.031250,0.159104
1779632066.826077,33,0.9999,0,24.0312,0.7298,27.7319,1.885605,0.1870,11.35,0.030303,0.159104
1779632067.1006775,34,0.9998,0,24.5386,0.7233,27.8322,1.481309,0.1869,4.89,0.029412,0.159104
1779632067.3630466,35,0.9997,0,24.8358,0.7111,27.9536,1.128111,0.1838,-1.64,0.028571,0.159104
1779632067.6144357,36,0.9996,0,24.9885,0.6956,28.0670,0.836757,0.1861,-8.33,0.027778,0.159104
1779632067.8896062,37,0.9994,0,24.9998,0.6771,28.1488,0.693969,0.1966,-12.31,0.027027,0.159104
1779632068.1789837,38,0.9992,0,24.8997,0.6567,28.1846,0.739728,0.2120,-12.15,0.026316,0.159104
1779632068.4493299,39,0.9991,0,24.7227,0.6353,28.1686,0.988185,0.2192,-8.76,0.025641,0.159104
1779632068.7004817,40,0.9991,0,24.3794,0.6109,28.0801,1.436133,0.2052,-2.43,0.025000,0.159104
1779632068.9902885,41,0.9986,0,23.8836,0.5839,27.9045,2.032151,0.2399,5.86,0.024390,0.159104
1779632069.2371912,42,0.9973,0,23.6118,0.5636,27.6976,2.435492,0.2273,15.92,0.023810,0.159104
1779632069.4706478,43,0.9953,0,23.2378,0.5419,27.4474,2.865148,0.2000,24.83,0.023256,0.159104
1779632069.7124805,44,0.9930,0,22.9675,0.5236,27.1805,3.172965,0.1642,31.55,0.022727,0.159104
1779632070.0108397,45,0.9909,0,22.6906,0.5060,26.8988,3.478696,0.2092,38.49,0.022222,0.159104
1779632070.2624924,46,0.9894,0,22.4782,0.4905,26.6163,3.738234,0.1920,44.96,0.021739,0.159104
1779632070.5279644,47,0.9883,0,22.3841,0.4782,26.3538,3.871581,0.1890,50.04,0.021277,0.159104
1779632070.7869165,48,0.9873,0,22.5800,0.4724,26.1592,3.914519,0.1855,54.19,0.020833,0.159104
1779632071.0753312,49,0.9867,0,22.9484,0.4703,26.0517,3.806179,0.2088,56.38,0.020408,0.159104
1779632071.3358707,50,0.9870,0,22.9905,0.4619,25.9603,3.716223,0.2048,55.49,0.020000,0.159104
1779632071.5927992,51,0.9882,0,23.1176,0.4554,25.8971,3.534130,0.1973,52.50,0.019608,0.159104
1779632071.8371933,52,0.9901,0,23.1469,0.4473,25.8407,3.356317,0.1758,49.82,0.019231,0.159104
1779632072.1246078,53,0.9923,0,23.2213,0.4403,25.7979,3.141600,0.2021,46.25,0.018868,0.159104
1779632072.3557622,54,0.9941,0,23.5977,0.4391,25.8196,2.938682,0.1735,41.21,0.018519,0.159104
1779632072.629503,55,0.9951,0,23.6477,0.4321,25.8394,2.654570,0.1718,34.30,0.018182,0.159104
1779632072.8940394,56,0.9959,0,23.6881,0.4251,25.8562,2.392540,0.1797,26.30,0.017857,0.159104
1779632073.2007756,57,0.9965,0,23.7585,0.4189,25.8762,2.120654,0.2105,18.13,0.017544,0.159104
1779632073.4373133,58,0.9969,0,23.8819,0.4138,25.9080,1.866521,0.1773,10.71,0.017241,0.159104
1779632073.7202775,59,0.9972,0,24.0363,0.4094,25.9556,1.655133,0.1908,5.61,0.016949,0.159104
1779632074.0289273,60,0.9971,0,24.1299,0.4042,26.0060,1.524378,0.2307,1.68,0.016667,0.159104
1779632074.2899048,61,0.9969,0,24.1650,0.3982,26.0490,1.473318,0.2202,-0.40,0.016393,0.159104
1779632074.5492046,62,0.9968,0,23.6787,0.3839,25.9961,1.578959,0.2264,-0.62,0.016129,0.159104
1779632074.8352768,63,0.9969,0,23.5087,0.3752,25.9173,1.754579,0.2362,0.83,0.015873,0.159104
1779632075.0356395,64,0.9971,0,23.1926,0.3644,25.7917,2.011923,0.1720,4.53,0.015625,0.159104
1779632075.312965,65,0.9971,0,22.8621,0.3537,25.6245,2.330579,0.1949,11.69,0.015385,0.159104
1779632075.602418,66,0.9970,0,22.6373,0.3450,25.4410,2.656559,0.2157,21.23,0.015152,0.159104
1779632075.8755884,67,0.9967,0,22.4916,0.3377,25.2574,2.977119,0.2127,31.13,0.014925,0.159104
1779632076.1302288,68,0.9962,0,22.2795,0.3297,25.0628,3.290455,0.2048,39.78,0.014706,0.159104
1779632076.4357376,69,0.9955,0,22.3549,0.3260,24.9083,3.514741,0.2410,45.36,0.014493,0.159104
1779632076.6949308,70,0.9945,0,22.6767,0.3259,24.8295,3.545082,0.2298,46.33,0.014286,0.159104
1779632076.9811966,71,0.9936,0,22.9919,0.3258,24.8133,3.432022,0.2505,43.84,0.014085,0.159104
1779632077.2876127,72,0.9927,0,23.3643,0.3264,24.8593,3.140379,0.2824,37.95,0.013889,0.159104
1779632077.702676,73,0.9912,0,24.0790,0.3317,25.0156,2.296909,0.1782,17.48,0.013699,0.159104
1779632078.0091407,74,0.9900,0,24.3578,0.3310,25.1908,1.895366,0.2106,5.72,0.013514,0.159104
1779632078.2380836,75,0.9885,0,24.6791,0.3309,25.3892,1.419425,0.1758,-5.13,0.013333,0.159104
1779632078.5075788,76,0.9871,0,24.8126,0.3283,25.5754,1.096578,0.1903,-14.01,0.013158,0.159104
1779632078.7741783,77,0.9855,0,24.8414,0.3245,25.7339,0.924115,0.1902,-19.53,0.012987,0.159104
1779632079.044898,78,0.9838,0,24.8721,0.3208,25.8695,0.853084,0.1821,-22.27,0.012821,0.159104
1779632079.3197308,79,0.9820,0,24.8987,0.3171,25.9854,0.850366,0.1875,-23.27,0.012658,0.159104
1779632079.587442,80,0.9803,0,24.9333,0.3136,26.0860,0.907134,0.1948,-23.58,0.012500,0.159104
1779632079.8783038,81,0.9792,0,24.7332,0.3074,26.1348,0.992876,0.2254,-23.58,0.012346,0.159104
1779632080.1486802,82,0.9794,0,24.3164,0.2988,26.1036,1.130689,0.2307,-23.66,0.012195,0.159104
1779632080.3979344,83,0.9811,0,24.1852,0.2937,26.0520,1.107159,0.2119,-23.70,0.012048,0.159104
1779632080.6639578,84,0.9834,0,24.1864,0.2903,26.0050,1.042852,0.2147,-23.97,0.011905,0.159104
1779632080.936312,85,0.9860,0,24.2703,0.2879,25.9755,0.976818,0.2159,-24.74,0.011765,0.159104
1779632081.195495,86,0.9887,0,24.2916,0.2848,25.9506,0.938541,0.2105,-24.15,0.011628,0.159104
1779632081.4863365,87,0.9915,0,24.3545,0.2823,25.9366,0.939322,0.2328,-22.45,0.011494,0.159104
1779632081.7248049,88,0.9942,0,24.3302,0.2788,25.9172,0.916148,0.2032,-21.55,0.011364,0.159104
1779632081.9904714,89,0.9965,0,24.4330,0.2768,25.9148,0.882098,0.2055,-20.59,0.011236,0.159104
1779632082.2680972,90,0.9982,0,24.7799,0.2776,25.9681,0.747378,0.2189,-19.39,0.011111,0.159104
1779632082.541195,91,0.9987,0,24.8868,0.2757,26.0282,0.763697,0.2130,-17.98,0.010989,0.159104
1779632082.7758894,92,0.9987,0,24.8495,0.2723,26.0700,0.850116,0.1814,-16.06,0.010870,0.159104
1779632083.105966,93,0.9984,0,24.7734,0.2686,26.0900,0.956378,0.2436,-13.30,0.010753,0.159104
1779632083.340016,94,0.9981,0,24.7711,0.2657,26.1041,1.050657,0.2224,-11.35,0.010638,0.159104
1779632083.5982134,95,0.9980,0,24.6579,0.2618,26.0946,1.172434,0.2015,-9.42,0.010526,0.159104
1779632083.863941,96,0.9981,0,24.6819,0.2593,26.0884,1.312338,0.2064,-5.90,0.010417,0.159104
1779632084.1628606,97,0.9983,0,24.6171,0.2559,26.0700,1.488701,0.2438,-2.38,0.010309,0.159104
1779632084.4332798,98,0.9985,0,24.5303,0.2525,26.0377,1.664555,0.2362,0.48,0.010204,0.159104
1779632084.6626267,99,0.9986,0,24.4459,0.2491,25.9943,1.777510,0.2015,2.03,0.010101,0.159104
1779632084.9077058,100,0.9985,0,24.4496,0.2466,25.9563,1.834790,0.1755,2.90,0.010000,0.159104
1779632085.2076325,101,0.9982,0,24.4857,0.2445,25.9284,1.826727,0.2069,2.48,0.009901,0.159104
1779632085.4830866,102,0.9979,0,24.4895,0.2422,25.9037,1.742101,0.2166,0.39,0.009804,0.159104
1779632085.7511878,103,0.9974,0,24.6425,0.2413,25.9066,1.595871,0.2151,-3.22,0.009709,0.159104
1779632085.999586,104,0.9967,0,24.6798,0.2394,25.9134,1.430124,0.1984,-7.65,0.009615,0.159104
1779632086.3404257,105,0.9960,0,24.8439,0.2386,25.9448,1.207000,0.2487,-12.16,0.009524,0.159104
1779632086.526769,106,0.9954,0,24.8517,0.2365,25.9707,0.993458,0.1778,-16.98,0.009434,0.159104
1779632086.8502405,107,0.9951,0,24.8196,0.2340,25.9854,0.838056,0.2389,-21.98,0.009346,0.159104
1779632087.136193,108,0.9950,0,24.6321,0.2301,25.9648,0.769819,0.2493,-26.30,0.009259,0.159104
1779632087.3543212,109,0.9952,0,24.3156,0.2251,25.8931,0.844809,0.1939,-27.19,0.009174,0.159104
1779632087.6182468,110,0.9955,0,23.9349,0.2196,25.7678,1.038890,0.1952,-24.67,0.009091,0.159104
1779632087.9101691,111,0.9958,0,23.4142,0.2130,25.5741,1.241066,0.2060,-20.31,0.009009,0.159104
1779632088.174211,112,0.9961,0,22.8952,0.2065,25.3233,1.401891,0.2053,-15.54,0.008929,0.159104
1779632088.4403272,113,0.9964,0,22.4107,0.2004,25.0302,1.544273,0.2068,-10.89,0.008850,0.159104
1779632088.6956048,114,0.9965,0,22.2589,0.1973,24.7568,1.770636,0.1769,-4.24,0.008772,0.159104
1779632088.9788418,115,0.9964,0,22.3854,0.1967,24.5464,2.040710,0.1980,4.19,0.008696,0.159104
1779632089.2734935,116,0.9962,0,22.5787,0.1967,24.4000,2.212482,0.2142,9.08,0.008621,0.159104
1779632089.5183222,117,0.9959,0,22.8813,0.1976,24.3256,2.274170,0.1906,10.46,0.008547,0.159104
1779632089.7857592,118,0.9956,0,23.2833,0.1993,24.3282,2.195116,0.1839,8.38,0.008475,0.159104
1779632090.0768216,119,0.9953,0,23.7554,0.2016,24.4072,1.979171,0.2067,4.21,0.008403,0.159104
1779632090.35376,120,0.9951,0,24.1866,0.2035,24.5435,1.689565,0.2003,-0.65,0.008333,0.159104
1779632090.5962646,121,0.9950,0,24.6216,0.2054,24.7287,1.341419,0.1722,-5.56,0.008264,0.159104
1779632090.9306257,122,0.9951,0,24.8327,0.2054,24.9181,1.016105,0.2295,-11.51,0.008197,0.159104
1779632091.1817164,123,0.9955,0,24.9062,0.2043,25.0882,0.831060,0.2199,-17.14,0.008130,0.159104
1779632091.4387393,124,0.9960,0,24.9836,0.2033,25.2427,0.715564,0.2103,-19.48,0.008065,0.159104
1779632091.678447,125,0.9967,0,24.9590,0.2015,25.3673,0.652210,0.1801,-21.25,0.008000,0.159104
1779632091.9568965,126,0.9973,0,24.8996,0.1994,25.4608,0.633363,0.1866,-21.49,0.007937,0.159104
1779632092.2333195,127,0.9979,0,24.9308,0.1981,25.5433,0.623861,0.2071,-21.11,0.007874,0.159104
1779632092.5127473,128,0.9984,0,24.9291,0.1966,25.6111,0.594165,0.2089,-20.51,0.007812,0.159104
1779632092.7655516,129,0.9988,0,24.9211,0.1950,25.6655,0.560201,0.1972,-20.14,0.007752,0.159104
1779632092.9921532,130,0.9991,0,24.9463,0.1937,25.7140,0.529312,0.1660,-20.01,0.007692,0.159104
1779632093.294262,131,0.9993,0,24.9105,0.1919,25.7477,0.464966,0.1797,-20.72,0.007634,0.159104
1779632093.5838268,132,0.9993,0,24.8633,0.1901,25.7669,0.426516,0.2056,-21.43,0.007576,0.159104
1779632093.8718963,133,0.9992,0,24.8960,0.1889,25.7874,0.386941,0.2374,-21.68,0.007519,0.159104
1779632094.1040993,134,0.9990,0,24.9286,0.1878,25.8088,0.351435,0.1996,-22.29,0.007463,0.159104
1779632094.4029849,135,0.9989,0,24.8661,0.1859,25.8153,0.339915,0.2253,-22.81,0.007407,0.159104
1779632094.6293252,136,0.9989,0,24.9146,0.1849,25.8277,0.334785,0.1970,-23.23,0.007353,0.159104
1779632094.9335427,137,0.9987,0,24.9621,0.1839,25.8448,0.346348,0.2220,-23.26,0.007299,0.159104
1779632095.1792908,138,0.9981,0,24.9512,0.1825,25.8565,0.397225,0.2117,-23.25,0.007246,0.159104
1779632095.4362996,139,0.9967,0,24.8777,0.1807,25.8532,0.470627,0.2018,-23.24,0.007194,0.159104
1779632095.710244,140,0.9951,0,25.1084,0.1810,25.8877,0.590633,0.2237,-23.24,0.007143,0.159104
1779632096.003925,141,0.9934,0,24.9738,0.1788,25.8938,0.670804,0.2410,-23.28,0.007092,0.159104
1779632096.2488647,142,0.9917,0,24.8899,0.1770,25.8844,0.723660,0.2168,-23.32,0.007042,0.159104
1779632096.481781,143,0.9901,0,24.8847,0.1757,25.8749,0.761381,0.1780,-23.33,0.006993,0.159104
1779632096.7624345,144,0.9886,0,24.8890,0.1745,25.8669,0.802069,0.1970,-23.34,0.006944,0.159104
1779632097.0724328,145,0.9872,0,24.7008,0.1720,25.8288,0.844753,0.2450,-23.32,0.006897,0.159104
1779632097.2937076,146,0.9861,0,24.4810,0.1694,25.7602,0.807920,0.1975,-23.26,0.006849,0.159104
1779632097.5526156,147,0.9855,0,24.1651,0.1661,25.6502,0.849391,0.1908,-23.20,0.006803,0.159104
1779632097.829491,148,0.9850,0,23.5701,0.1611,25.4600,0.710045,0.2024,-23.12,0.006757,0.159104
1779632098.0978115,149,0.9846,0,23.3383,0.1585,25.2613,0.697380,0.2012,-22.96,0.006711,0.159104
1779632098.3712614,150,0.9839,0,23.0544,0.1556,25.0471,0.678807,0.2079,-22.82,0.006667,0.159104
1779632098.644957,151,0.9831,0,22.6653,0.1520,24.8028,0.636165,0.2264,-22.73,0.006623,0.159104
1779632098.9673185,152,0.9822,0,22.2314,0.1483,24.5260,0.548372,0.2668,-22.65,0.006579,0.159104
1779632099.443844,153,0.9809,0,21.7346,0.1441,24.2120,0.669761,0.2246,-22.51,0.006536,0.159104
1779632099.7104638,154,0.9808,0,21.7003,0.1430,23.9407,0.676779,0.2287,-22.55,0.006494,0.159104
1779632100.0133607,155,0.9806,0,21.6323,0.1416,23.7001,0.650977,0.2611,-22.71,0.006452,0.159104
1779632100.4935942,156,0.9817,0,22.1177,0.1438,23.5743,0.906612,0.2176,-22.92,0.006410,0.159104
1779632100.761725,157,0.9837,0,22.0978,0.1428,23.4637,0.904423,0.2143,-23.05,0.006369,0.159104
1779632101.0394638,158,0.9862,0,22.1942,0.1425,23.3846,0.856097,0.2372,-23.18,0.006329,0.159104
1779632101.294674,159,0.9887,0,22.4959,0.1435,23.3657,0.758106,0.2284,-23.34,0.006289,0.159104
1779632101.5293405,160,0.9908,0,22.7133,0.1439,23.3841,0.618518,0.1921,-23.56,0.006250,0.159104
1779632101.821095,161,0.9929,0,22.9185,0.1443,23.4321,0.536789,0.2144,-23.64,0.006211,0.159104
1779632102.1208713,162,0.9951,0,23.1205,0.1447,23.5045,0.477147,0.2575,-23.64,0.006173,0.159104
1779632102.368281,163,0.9974,0,22.8875,0.1424,23.5264,0.274549,0.2421,-23.63,0.006135,0.159104
1779632102.6233637,164,0.9988,0,22.7315,0.1405,23.5183,0.316782,0.2286,-23.61,0.006098,0.159104
1779632102.8509462,165,0.9992,0,23.0953,0.1419,23.5704,0.283153,0.1942,-23.60,0.006061,0.159104
1779632103.1567776,166,0.9992,0,23.0615,0.1408,23.6079,0.252630,0.2360,-23.60,0.006024,0.159104
1779632103.4076703,167,0.9992,0,22.9349,0.1392,23.6180,0.219178,0.2263,-23.54,0.005988,0.159104
1779632103.626508,168,0.9993,0,22.8403,0.1378,23.6103,0.214294,0.1735,-23.43,0.005952,0.159104
1779632103.9117782,169,0.9994,0,22.7829,0.1367,23.5937,0.211520,0.1979,-23.47,0.005917,0.159104
1779632104.2057724,170,0.9995,0,22.7367,0.1356,23.5715,0.208216,0.2227,-23.48,0.005882,0.159104
1779632104.43066,171,0.9996,0,22.6438,0.1343,23.5369,0.183644,0.1892,-23.50,0.005848,0.159104
1779632104.6852198,172,0.9995,0,22.8238,0.1345,23.5366,0.091564,0.1728,-23.52,0.005814,0.159104
1779632104.941798,173,0.9995,0,22.5863,0.1324,23.4968,0.015230,0.1730,-23.57,0.005780,0.159104
1779632105.1998658,174,0.9995,0,22.6521,0.1320,23.4735,0.007612,0.1705,-23.58,0.005760,0.159104
1779632105.501318,175,0.9995,0,22.6629,0.1313,23.4550,0.008179,0.1990,-23.61,0.005760,0.159104
1779632105.7567127,176,0.9995,0,22.6601,0.1305,23.4384,0.008019,0.1953,-23.67,0.005760,0.159104
1779632106.0314388,177,0.9994,0,22.6343,0.1296,23.4196,0.009225,0.1971,-23.62,0.005760,0.159104
1779632106.3116798,178,0.9994,0,22.6088,0.1288,23.3989,0.010576,0.2113,-23.60,0.005760,0.159104
1779632106.5526557,179,0.9993,0,22.5901,0.1279,23.3779,0.011491,0.1830,-23.58,0.005760,0.159104
1779632106.8486822,180,0.9992,0,22.5959,0.1272,23.3606,0.010846,0.1994,-23.58,0.005760,0.159104
1779632107.114502,181,0.9991,0,22.6121,0.1266,23.3480,0.010054,0.1992,-23.57,0.005760,0.159104
1779632107.4291656,182,0.9991,0,22.6238,0.1259,23.3388,0.009093,0.2564,-23.57,0.005760,0.159104
1779632107.627128,183,0.9990,0,22.6226,0.1252,23.3303,0.007783,0.1944,-23.57,0.005760,0.159104
1779632107.9293683,184,0.9990,0,22.6518,0.1246,23.3272,0.006798,0.2323,-23.57,0.005760,0.159104
1779632108.227607,185,0.9989,0,22.6857,0.1241,23.3296,0.004978,0.2571,-23.57,0.005760,0.159104
1779632108.4308517,186,0.9989,0,22.7109,0.1235,23.3352,0.003118,0.1882,-23.57,0.005760,0.159104
1779632108.7146258,187,0.9989,0,22.7382,0.1230,23.3438,0.001513,0.2160,-23.57,0.005760,0.159104
1779632108.9782205,188,0.9989,0,22.7544,0.1224,23.3530,0.001364,0.2091,-23.57,0.005760,0.159104
1779632109.2605925,189,0.9989,0,22.7540,0.1217,23.3601,0.001617,0.2251,-23.57,0.005760,0.159104
1779632109.5252438,190,0.9989,0,22.7489,0.1209,23.3647,0.001852,0.2167,-23.57,0.005760,0.159104
