time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779635131.5081844,1,0.0194,1,0.0000,0.0000,0.0000,0.496065,0.2740,18.45,29.40,1.92,1.000000,1.000000
1779635131.857928,2,0.0193,1,0.0000,0.0000,0.0000,62.552341,0.2343,17.73,26.29,2.09,0.500000,0.500000
1779635132.1141682,3,0.0192,1,0.0000,0.0000,0.0000,39.651413,0.2401,16.02,22.85,2.27,0.333333,0.333333
1779635132.3443635,4,0.0194,1,0.0000,0.0000,0.0000,39.694482,0.1972,13.62,20.66,2.34,0.250000,0.250000
1779635132.6110127,5,0.0201,1,0.0000,0.0000,0.0000,39.658819,0.2105,12.41,21.15,2.27,0.200000,0.200000
1779635132.894499,6,0.0237,1,0.0000,0.0000,0.0000,39.628035,0.2229,12.63,21.84,2.22,0.166667,0.166667
1779635133.1782067,7,0.0360,1,0.0000,0.0000,0.0000,39.628294,0.2470,13.80,21.17,2.22,0.142857,0.159104
1779635133.4086204,8,0.0540,1,0.0000,0.0000,0.0000,14.648242,0.2060,14.69,18.60,2.29,0.125000,0.159104
1779635133.6978948,9,0.0763,1,0.0000,0.0000,0.0000,0.460725,0.2389,14.48,15.17,2.36,0.111111,0.159104
1779635133.9943063,10,0.0992,1,0.0000,0.0000,0.0000,0.364309,0.2536,13.78,12.87,2.33,0.100000,0.159104
1779635134.5260687,11,0.1436,0,-10.1934,-0.1331,-0.3629,0.158554,0.2521,13.85,13.64,1.93,0.090909,0.159104
1779635134.7507923,12,0.1664,0,-9.5077,-0.1217,-0.7236,0.149692,0.2155,13.74,13.82,1.69,0.083333,0.159104
1779635134.9839516,13,0.1894,0,-7.7395,-0.0942,-1.0264,0.140363,0.1963,13.56,13.61,1.45,0.076923,0.159104
1779635135.2562892,14,0.2105,0,-6.5233,-0.0745,-1.2824,0.120922,0.2026,12.93,13.05,1.24,0.071429,0.159104
1779635135.5287616,15,0.2283,0,-5.9330,-0.0644,-1.5134,0.090548,0.2032,12.25,11.98,1.09,0.066667,0.159104
1779635135.7846057,16,0.2419,0,-5.8960,-0.0628,-1.7425,0.068790,0.1904,11.95,10.40,1.01,0.062500,0.159104
1779635136.0730948,17,0.2516,0,-5.7367,-0.0595,-1.9595,0.047904,0.2316,10.13,9.11,0.91,0.058824,0.159104
1779635136.310393,18,0.2584,0,-5.4977,-0.0552,-2.1580,0.040865,0.1911,7.55,7.52,0.81,0.055556,0.159104
1779635136.5657709,19,0.2628,0,-5.3056,-0.0518,-2.3393,0.043077,0.1883,5.05,5.73,0.74,0.052632,0.159104
1779635136.802867,20,0.2642,0,-5.1563,-0.0492,-2.5048,0.048439,0.1660,2.14,3.79,0.67,0.050000,0.159104
1779635137.0913363,21,0.2628,0,-4.9491,-0.0460,-2.6510,0.059425,0.1858,-2.16,2.08,0.58,0.047619,0.159104
1779635137.3482635,22,0.2597,0,-4.6625,-0.0420,-2.7745,0.072242,0.1856,-7.04,1.04,0.46,0.045455,0.159104
1779635137.637536,23,0.2561,0,-4.0504,-0.0348,-2.8598,0.082588,0.2052,-11.90,1.43,0.28,0.043478,0.159104
1779635137.9309816,24,0.2518,0,-3.1256,-0.0247,-2.8941,0.056217,0.2284,-15.90,3.33,0.05,0.041667,0.159104
1779635138.193252,25,0.2474,0,-2.7266,-0.0205,-2.9072,0.034673,0.2256,-16.20,5.07,-0.04,0.040000,0.159104
1779635138.4384274,26,0.2434,0,-2.9723,-0.0226,-2.9315,0.054088,0.2016,-12.91,6.07,0.03,0.038462,0.159104
1779635138.7498822,27,0.2398,0,-3.6533,-0.0284,-2.9864,0.089557,0.2522,-9.01,5.81,0.19,0.037037,0.159104
1779635138.940162,28,0.2366,0,-4.8031,-0.0379,-3.0912,0.129098,0.1805,-4.35,4.23,0.44,0.035714,0.159104
1779635139.2128708,29,0.2341,0,-6.2503,-0.0493,-3.2563,0.145661,0.1865,1.89,2.27,0.73,0.034483,0.159104
1779635139.4770868,30,0.2321,0,-7.7906,-0.0608,-3.4824,0.133740,0.1831,8.24,0.14,1.02,0.033333,0.159104
1779635139.7729027,31,0.2301,0,-9.4360,-0.0726,-3.7703,0.088292,0.2219,14.56,-2.14,1.30,0.032258,0.159104
1779635140.054641,32,0.2290,0,-10.9211,-0.0827,-4.1105,0.034932,0.2393,20.35,-4.35,1.54,0.031250,0.159104
1779635140.350433,33,0.2283,0,-11.9549,-0.0893,-4.4815,0.016924,0.2679,24.02,-6.34,1.68,0.030303,0.159104
1779635140.852407,34,0.2251,0,-13.7178,-0.1004,-4.9090,0.023221,0.2293,22.97,-11.29,1.94,0.029412,0.159104
1779635141.087528,35,0.2245,0,-14.2019,-0.1028,-5.3401,0.023727,0.1971,20.19,-12.98,1.94,0.028571,0.159104
1779635141.3375757,36,0.2258,0,-13.7430,-0.0993,-5.7377,0.043978,0.1976,16.44,-12.71,1.77,0.027778,0.159104
1779635141.6014192,37,0.2281,0,-12.4763,-0.0909,-6.0698,0.118083,0.1887,12.93,-9.95,1.46,0.027027,0.159104
1779635141.9142463,38,0.2303,0,-6.9381,-0.0568,-6.1563,12.296506,0.2460,10.31,-4.95,1.11,0.026316,0.159104
1779635142.2125378,39,0.2316,0,-6.9381,-0.0564,-6.2394,62.294931,0.2796,9.11,2.31,0.75,0.025641,0.159104
1779635142.667252,40,0.2352,0,-6.6350,-0.0543,-6.3065,162.239394,0.2056,9.08,21.77,-0.04,0.025000,0.159104
1779635142.9644449,41,0.2377,0,-4.5362,-0.0418,-6.2798,209.165648,0.2442,11.30,32.55,-0.45,0.024390,0.159104
1779635143.2126255,42,0.2388,0,-2.2975,-0.0289,-6.1563,253.073985,0.2257,14.21,42.12,-0.81,0.023810,0.159104
1779635143.4534397,43,0.2374,0,-0.7869,-0.0204,-5.9731,299.022563,0.1996,17.36,48.46,-0.97,0.023256,0.159104
1779635143.758632,44,0.2340,0,-0.1469,-0.0169,-5.7724,349.011065,0.2352,20.95,52.19,-0.96,0.022727,0.159104
1779635143.9916835,45,0.2305,0,-0.1857,-0.0170,-5.5838,399.011877,0.2106,23.61,53.81,-0.88,0.022222,0.159104
1779635144.2447402,46,0.2278,0,-0.5616,-0.0187,-5.4199,400.012788,0.2059,23.89,53.24,-0.80,0.021739,0.159104
1779635144.5595503,47,0.2249,0,-0.9801,-0.0207,-5.2809,390.010297,0.2457,22.05,50.70,-0.73,0.021277,0.159104
1779635145.0373976,48,0.2189,0,-2.2263,-0.0262,-5.1999,295.008948,0.1946,15.66,40.49,-0.55,0.020833,0.159104
1779635145.2708755,49,0.2164,0,-3.6149,-0.0323,-5.1765,254.032727,0.1708,11.87,33.34,-0.32,0.020408,0.159104
1779635145.5632312,50,0.2150,0,-5.2228,-0.0390,-5.2157,214.076478,0.1993,7.80,26.15,-0.05,0.020000,0.159104
1779635145.8057227,51,0.2148,0,-7.1102,-0.0468,-5.3257,175.131368,0.1773,2.84,17.98,0.27,0.019608,0.159104
1779635146.0803833,52,0.2150,0,-9.2375,-0.0554,-5.5131,169.190957,0.1848,-2.18,8.62,0.65,0.019231,0.159104
1779635146.3505406,53,0.2154,0,-11.3758,-0.0639,-5.7757,168.230229,0.1950,-6.28,-1.11,1.05,0.018868,0.159104
1779635146.5965943,54,0.2163,0,-13.6324,-0.0727,-6.1163,163.224153,0.1662,-8.78,-10.46,1.44,0.018519,0.159104
1779635146.8808897,55,0.2179,0,-15.3592,-0.0792,-6.5133,100.164488,0.1808,-10.57,-17.97,1.74,0.018182,0.159104
1779635147.181909,56,0.2194,0,-16.4775,-0.0833,-6.9414,57.096013,0.2156,-11.84,-22.53,1.87,0.017857,0.159104
1779635147.460752,57,0.2203,0,-16.1516,-0.0817,-7.3431,72.116021,0.2317,-12.81,-22.90,1.75,0.017544,0.159104
1779635147.6717813,58,0.2201,0,-14.7637,-0.0761,-7.6764,118.201852,0.1725,-13.39,-19.89,1.45,0.017241,0.159104
1779635147.9757686,59,0.2185,0,-13.0542,-0.0695,-7.9304,140.275310,0.1996,-12.87,-14.03,1.05,0.016949,0.159104
1779635148.2619715,60,0.2157,0,-11.0484,-0.0621,-8.0974,171.287508,0.2169,-10.68,-5.70,0.60,0.016667,0.159104
1779635148.5452173,61,0.2123,0,-8.2530,-0.0521,-8.1530,175.239879,0.2375,-6.56,4.17,0.15,0.016393,0.159104
1779635148.8418045,62,0.2085,0,-7.2608,-0.0486,-8.1704,175.151904,0.2655,-1.40,14.64,-0.29,0.016129,0.159104
1779635149.381994,63,0.1993,0,-3.1670,-0.0355,-8.0461,208.023356,0.2580,9.55,34.71,-0.87,0.015873,0.159104
1779635149.8841665,64,0.1894,0,-0.9291,-0.0288,-7.8596,300.009305,0.2422,18.69,48.87,-1.03,0.015625,0.159104
1779635150.1188757,65,0.1843,0,-0.5113,-0.0275,-7.6709,350.008428,0.2035,22.37,53.44,-0.97,0.015385,0.159104
1779635150.3503616,66,0.1796,0,-0.6033,-0.0277,-7.4958,400.012529,0.1713,25.42,56.63,-0.84,0.015152,0.159104
1779635150.6943219,67,0.1767,0,-1.1522,-0.0291,-7.3457,400.025021,0.2466,26.96,59.12,-0.67,0.014925,0.159104
1779635150.9299119,68,0.1770,0,-1.5438,-0.0300,-7.2115,400.029673,0.2192,27.47,62.12,-0.55,0.014706,0.159104
1779635151.2165668,69,0.1800,0,-1.5554,-0.0300,-7.0786,400.032672,0.2349,20.14,65.82,-0.51,0.014493,0.159104
1779635151.4086566,70,0.1833,0,-1.8472,-0.0307,-6.9558,400.036885,0.1684,-0.99,68.53,-0.46,0.014286,0.159104
1779635151.6812315,71,0.1863,0,-2.9475,-0.0335,-6.8695,400.032744,0.1697,-22.04,70.10,-0.31,0.014085,0.159104
1779635151.9802294,72,0.1896,0,-4.6336,-0.0378,-6.8387,400.024048,0.2100,-42.77,71.10,-0.09,0.013889,0.159104
1779635152.2469301,73,0.1936,0,-4.7937,-0.0381,-6.8126,400.029984,0.2098,-64.06,72.08,0.11,0.013699,0.159104
1779635152.5462348,74,0.1979,0,-3.6017,-0.0348,-6.7453,400.034294,0.2457,-86.24,73.63,0.20,0.013514,0.159104
1779635152.7683885,75,0.2019,0,0.3753,-0.0240,-6.5398,400.025316,0.1928,-96.48,76.21,0.11,0.013333,0.159104
1779635153.045172,76,0.2040,0,4.7309,-0.0123,-6.1859,400.013436,0.2040,-96.28,75.93,-0.03,0.013158,0.159104
1779635153.296331,77,0.2040,0,1.0346,-0.0220,-5.9728,377.019563,0.1881,-90.07,70.84,-0.06,0.012987,0.159104
1779635153.6124024,78,0.2039,0,-2.7737,-0.0319,-5.9000,334.040358,0.2474,-69.12,63.26,0.04,0.012821,0.159104
1779635153.9208024,79,0.2033,0,-5.7623,-0.0396,-5.9338,290.078590,0.2889,-49.01,54.73,0.19,0.012658,0.159104
1779635154.4378932,80,0.1995,0,-5.9464,-0.0399,-5.9728,190.183826,0.2656,-11.26,35.25,0.50,0.012500,0.159104
1779635154.8995743,81,0.1936,0,-13.4401,-0.0577,-6.2588,120.219749,0.1900,11.09,8.76,1.12,0.012346,0.159104
1779635155.167704,82,0.1901,0,-15.7937,-0.0631,-6.6083,87.227492,0.1863,6.30,-3.97,1.57,0.012195,0.159104
1779635155.4748046,83,0.1872,0,-18.3922,-0.0688,-7.0260,19.171441,0.2283,1.54,-13.40,2.00,0.012048,0.159104
1779635155.7685807,84,0.1848,0,-21.0075,-0.0744,-7.5094,0.108966,0.2521,-2.56,-19.84,2.31,0.011905,0.159104
