time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779645142.7984376,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.3584,-9.12,1.000000,1.000000
1779645143.256506,2,0.9994,0,23.9943,11.9988,30.0391,1.267426,0.3300,-13.06,0.500000,0.500000
1779645143.7915862,3,0.9994,0,23.8921,7.9676,33.3047,1.382077,0.3162,-11.62,0.333333,0.333333
1779645144.3171031,4,0.9992,0,24.0217,6.0097,35.4942,1.257034,0.3146,-13.04,0.250000,0.250000
1779645144.8281987,5,0.9992,0,24.4369,4.8916,37.1985,1.216597,0.2909,-10.70,0.200000,0.200000
1779645145.4238975,6,0.9992,0,24.2674,4.0488,38.4195,1.314689,0.3493,-6.33,0.166667,0.166667
1779645145.908034,7,0.9986,0,24.3440,3.4821,39.1122,1.393423,0.3111,-2.70,0.142857,0.159104
1779645146.432661,8,0.9986,0,24.5042,3.0675,39.3715,1.451719,0.2954,-0.51,0.125000,0.159104
1779645146.9568853,9,0.9985,0,24.5111,2.7280,39.3054,1.445813,0.2876,0.15,0.111111,0.159104
1779645147.5107112,10,0.9986,0,24.0631,2.4108,38.9115,1.665962,0.3166,0.42,0.100000,0.159104
1779645148.024421,11,0.9994,0,23.3668,2.1285,38.2298,1.999137,0.2810,5.92,0.090909,0.159104
1779645148.563789,12,0.9997,0,22.2699,1.8598,37.2553,2.262471,0.2919,15.20,0.083333,0.159104
1779645149.119634,13,0.9999,0,21.5334,1.6601,36.1502,2.427979,0.3128,24.30,0.076923,0.159104
1779645149.6511068,14,1.0000,0,22.0064,1.5753,35.2246,2.736984,0.3047,32.49,0.071429,0.159104
1779645150.1792448,15,0.9999,0,22.9704,1.5346,34.5654,2.544475,0.3079,25.47,0.066667,0.159104
1779645150.7025466,16,0.9999,0,24.0312,1.5050,34.1552,1.885605,0.2948,11.35,0.062500,0.159104
1779645151.2549734,17,0.9997,0,24.8358,1.4638,33.9038,1.128111,0.3179,-1.64,0.058824,0.159104
1779645151.8214703,18,0.9994,0,24.9998,1.3916,33.6583,0.693969,0.3484,-12.31,0.055556,0.159104
1779645152.3379757,19,0.9991,0,24.7227,1.3039,33.3345,0.988185,0.3286,-8.76,0.052632,0.159104
1779645152.8503335,20,0.9986,0,23.8836,1.1969,32.8396,2.032151,0.3111,5.86,0.050000,0.159104
1779645153.4151406,21,0.9953,0,23.2378,1.1095,32.2529,2.865148,0.3469,24.83,0.047619,0.159104
1779645153.8823297,22,0.9909,0,22.6906,1.0349,31.6171,3.478696,0.2920,38.49,0.045455,0.159104
1779645154.4685228,23,0.9883,0,22.3841,0.9773,30.9889,3.871581,0.3363,50.04,0.043478,0.159104
1779645154.9743013,24,0.9867,0,22.9483,0.9603,30.5362,3.806179,0.3099,56.38,0.041667,0.159104
1779645155.4919932,25,0.9882,0,23.1176,0.9290,30.1527,3.534130,0.2949,52.50,0.040000,0.159104
1779645156.0261972,26,0.9923,0,23.2213,0.8975,29.8142,3.141600,0.2966,46.25,0.038462,0.159104
1779645156.5696037,27,0.9951,0,23.6477,0.8802,29.5787,2.654570,0.3113,34.30,0.037037,0.159104
1779645157.0994248,28,0.9965,0,23.7585,0.8528,29.3735,2.120654,0.3033,18.13,0.035714,0.159104
1779645157.6486237,29,0.9972,0,24.0363,0.8330,29.2276,1.655133,0.3222,5.61,0.034483,0.159104
1779645158.155103,30,0.9969,0,24.1650,0.8096,29.1058,1.473318,0.2947,-0.40,0.033333,0.159104
1779645158.7057407,31,0.9969,0,23.5087,0.7625,28.8596,1.754579,0.2981,0.83,0.032258,0.159104
1779645159.243171,32,0.9971,0,22.8621,0.7186,28.5127,2.330579,0.2947,11.69,0.031250,0.159104
1779645159.7643309,33,0.9967,0,22.4916,0.6857,28.1348,2.977119,0.2847,31.13,0.030303,0.159104
1779645160.306296,34,0.9955,0,22.3549,0.6616,27.7762,3.514741,0.2798,45.36,0.029412,0.159104
1779645160.93694,35,0.9936,0,22.9919,0.6609,27.5762,3.432022,0.3680,43.84,0.028571,0.159104
1779645161.4000194,36,0.9920,0,23.7467,0.6635,27.5306,2.719114,0.3037,28.80,0.027778,0.159104
1779645161.9646537,37,0.9900,0,24.3578,0.6621,27.5886,1.895366,0.3292,5.72,0.027027,0.159104
1779645162.5554907,38,0.9871,0,24.8126,0.6567,27.7062,1.096578,0.3733,-14.01,0.026316,0.159104
1779645163.0324893,39,0.9838,0,24.8721,0.6416,27.8038,0.853084,0.3184,-22.27,0.025641,0.159104
1779645163.547076,40,0.9803,0,24.9333,0.6274,27.8856,0.907134,0.3051,-23.58,0.025000,0.159104
1779645164.1668222,41,0.9794,0,24.3164,0.5977,27.8339,1.130689,0.3951,-23.66,0.024390,0.159104
1779645164.6266143,42,0.9834,0,24.1864,0.5806,27.7530,1.042852,0.3181,-23.97,0.023810,0.159104
1779645165.2311735,43,0.9887,0,24.2916,0.5697,27.6886,0.938541,0.3888,-24.15,0.023256,0.159104
1779645165.6689055,44,0.9942,0,24.3302,0.5577,27.6268,0.916148,0.2938,-21.55,0.022727,0.159104
1779645166.2514355,45,0.9982,0,24.7799,0.5553,27.6418,0.747378,0.3347,-19.39,0.022222,0.159104
1779645166.7618747,46,0.9987,0,24.8495,0.5448,27.6564,0.850116,0.3038,-16.06,0.021739,0.159104
1779645167.3569324,47,0.9981,0,24.7711,0.5315,27.6453,1.050657,0.3578,-11.35,0.021277,0.159104
1779645167.8525262,48,0.9981,0,24.6819,0.5186,27.6110,1.312338,0.3126,-5.90,0.020833,0.159104
1779645168.391881,49,0.9985,0,24.5303,0.5050,27.5463,1.664555,0.3222,0.48,0.020408,0.159104
1779645168.948346,50,0.9985,0,24.4496,0.4933,27.4692,1.834790,0.3381,2.90,0.020000,0.159104
1779645169.5332792,51,0.9979,0,24.4895,0.4844,27.4037,1.742101,0.3815,0.39,0.019608,0.159104
1779645170.0927556,52,0.9967,0,24.6798,0.4788,27.3745,1.430124,0.3996,-7.65,0.019231,0.159104
1779645170.5308,53,0.9954,0,24.8517,0.4730,27.3731,0.993458,0.3060,-16.98,0.018868,0.159104
1779645171.1037672,54,0.9950,0,24.6321,0.4602,27.3265,0.769819,0.3267,-26.30,0.018519,0.159104
1779645171.6632562,55,0.9955,0,23.9349,0.4393,27.1591,1.038890,0.3442,-24.67,0.018182,0.159104
1779645172.1539767,56,0.9961,0,22.8952,0.4130,26.8308,1.401891,0.2985,-15.54,0.017857,0.159104
1779645172.7591248,57,0.9965,0,22.2589,0.3946,26.4381,1.770636,0.3467,-4.24,0.017544,0.159104
1779645173.2551925,58,0.9962,0,22.5787,0.3933,26.1574,2.212482,0.3161,9.08,0.017241,0.159104
1779645173.819941,59,0.9956,0,23.2833,0.3986,26.0376,2.195116,0.3240,8.38,0.016949,0.159104
1779645174.3400278,60,0.9951,0,24.1866,0.4070,26.0871,1.689565,0.3125,-0.65,0.016667,0.159104
1779645174.872865,61,0.9951,0,24.8327,0.4109,26.2343,1.016105,0.3082,-11.51,0.016393,0.159104
1779645175.394477,62,0.9960,0,24.9836,0.4067,26.3783,0.715564,0.2914,-19.48,0.016129,0.159104
