time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779645142.7961812,1,0.0194,1,0.0000,0.0000,0.0000,0.063692,0.3523,18.45,29.40,1.92,1.000000,1.000000
1779645143.2520967,2,0.0194,1,0.0000,0.0000,0.0000,0.123921,0.3224,13.62,20.66,2.34,0.500000,0.500000
1779645143.7712152,3,0.0237,1,0.0000,0.0000,0.0000,0.095093,0.2879,12.63,21.84,2.22,0.333333,0.333333
1779645144.2994645,4,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.2876,14.69,18.60,2.29,0.250000,0.250000
1779645144.8109848,5,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.2640,13.78,12.87,2.33,0.200000,0.200000
1779645145.3151593,6,0.1436,0,-11.8587,-0.2838,-0.5608,0.152016,0.2373,13.85,13.83,1.90,0.166667,0.166667
1779645145.5025852,7,0.1664,0,-9.5077,-0.2212,-1.0131,0.149692,0.1725,13.74,14.10,1.65,0.142857,0.159104
1779645145.8951795,8,0.1894,0,-7.7395,-0.1741,-1.3846,0.140363,0.2946,13.56,13.96,1.39,0.125000,0.159104
1779645146.4076076,9,0.2283,0,-5.9330,-0.1238,-1.6692,0.090548,0.2655,12.25,12.14,1.05,0.111111,0.159104
1779645146.945432,10,0.2516,0,-5.7367,-0.1158,-1.9431,0.047904,0.2722,10.13,9.10,0.92,0.100000,0.159104
1779645147.4476306,11,0.2628,0,-5.3056,-0.1027,-2.1822,0.043077,0.2441,5.05,5.57,0.78,0.090909,0.159104
1779645147.6163418,12,0.2642,0,-5.1563,-0.0971,-2.4003,0.048439,0.1414,2.14,3.69,0.70,0.083333,0.159104
1779645148.0146644,13,0.2628,0,-4.9491,-0.0910,-2.5940,0.059425,0.2671,-2.16,2.02,0.59,0.076923,0.159104
1779645148.5637286,14,0.2561,0,-4.0504,-0.0729,-2.7233,0.082588,0.2858,-11.90,1.30,0.31,0.071429,0.159104
1779645149.0631816,15,0.2474,0,-2.7266,-0.0499,-2.7713,0.034673,0.2514,-16.19,4.94,-0.01,0.066667,0.159104
1779645149.2247882,16,0.2434,0,-2.9723,-0.0528,-2.8299,0.054088,0.1515,-12.91,5.97,0.05,0.062500,0.159104
1779645149.6283529,17,0.2398,0,-3.6533,-0.0617,-2.9206,0.089557,0.2769,-9.01,5.75,0.21,0.058824,0.159104
1779645150.1504235,18,0.2341,0,-6.2503,-0.0947,-3.1358,0.145661,0.2738,1.89,2.15,0.76,0.055556,0.159104
1779645150.676159,19,0.2301,0,-9.4360,-0.1321,-3.4937,0.088292,0.2609,14.56,-2.41,1.36,0.052632,0.159104
1779645151.2136812,20,0.2283,0,-11.9549,-0.1593,-3.9546,0.016924,0.2697,24.01,-6.85,1.80,0.050000,0.159104
1779645151.7289724,21,0.2251,0,-13.7178,-0.1765,-4.4744,0.023221,0.2509,22.96,-11.71,2.04,0.047619,0.159104
1779645151.914575,22,0.2245,0,-14.2019,-0.1797,-4.9952,0.023727,0.1664,20.18,-13.31,2.01,0.045455,0.159104
1779645152.2629013,23,0.2258,0,-13.7430,-0.1734,-5.4766,0.043978,0.2497,16.44,-12.97,1.83,0.043478,0.159104
1779645152.4341674,24,0.2281,0,-12.4763,-0.1597,-5.8845,0.118083,0.1546,12.93,-10.13,1.50,0.041667,0.159104
1779645152.8134954,25,0.2303,0,-11.0443,-0.1451,-6.2133,0.201752,0.2696,10.31,-4.90,1.10,0.040000,0.159104
1779645153.3178167,26,0.2330,0,-8.4055,-0.1201,-6.4102,0.269658,0.2446,8.60,11.56,0.34,0.038462,0.159104
1779645153.5067368,27,0.2352,0,-6.6352,-0.1036,-6.5184,0.239394,0.1768,9.07,21.98,-0.08,0.037037,0.159104
1779645153.85993,28,0.2377,0,-4.5357,-0.0849,-6.5251,0.165648,0.2651,11.28,32.79,-0.49,0.035714,0.159104
