time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779702343.8593931,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.2037,-9.12,1.000000,1.000000
1779702344.348481,2,0.9995,0,23.8548,11.9282,29.9336,1.233733,0.2442,-11.79,0.500000,0.500000
1779702344.5791037,3,0.9994,0,23.8120,7.9402,33.1893,1.192938,0.1953,-13.04,0.333333,0.333333
1779702344.8444004,4,0.9994,0,23.9943,6.0019,35.3943,1.267426,0.1931,-13.06,0.250000,0.250000
1779702345.1166,5,0.9994,0,23.9131,4.7860,36.9288,1.349100,0.2040,-12.12,0.200000,0.200000
1779702345.376454,6,0.9994,0,23.8921,3.9853,38.0789,1.382077,0.1892,-11.62,0.166667,0.166667
1779702345.6709805,7,0.9993,0,23.9709,3.4277,38.7185,1.345847,0.2148,-12.05,0.142857,0.159104
1779702345.8933656,8,0.9992,0,24.0217,3.0059,38.9101,1.257034,0.1701,-13.04,0.125000,0.159104
1779702346.1506011,9,0.9992,0,24.2736,2.7001,38.8542,1.192497,0.1644,-12.55,0.111111,0.159104
1779702346.4426072,10,0.9992,0,24.4369,2.4466,38.6198,1.216597,0.1960,-10.70,0.100000,0.159104
1779702346.7055147,11,0.9993,0,24.4558,2.2261,38.2400,1.280216,0.2018,-8.59,0.090909,0.159104
1779702346.9784732,12,0.9992,0,24.2674,2.0251,37.7218,1.314689,0.2072,-6.33,0.083333,0.159104
1779702347.2215414,13,0.9989,0,24.2794,1.8704,37.1586,1.352576,0.1746,-4.67,0.076923,0.159104
1779702347.47293,14,0.9986,0,24.3440,1.7416,36.5876,1.393423,0.1637,-2.70,0.071429,0.159104
1779702347.7702699,15,0.9984,0,24.4368,1.6318,36.0299,1.432768,0.1989,-1.29,0.066667,0.159104
1779702348.0122688,16,0.9986,0,24.5042,1.5342,35.4893,1.451719,0.1791,-0.51,0.062500,0.159104
1779702348.3063447,17,0.9986,0,24.5997,1.4497,34.9785,1.451400,0.2046,0.61,0.058824,0.159104
1779702348.5964851,18,0.9985,0,24.5111,1.3644,34.4633,1.445813,0.2263,0.15,0.055556,0.159104
1779702348.8326836,19,0.9984,0,24.3857,1.2861,33.9442,1.463701,0.2003,-0.59,0.052632,0.159104
1779702349.1148355,20,0.9986,0,24.0631,1.2058,33.3885,1.665962,0.2209,0.42,0.050000,0.159104
1779702349.3543916,21,0.9990,0,23.7760,1.1347,32.8150,1.838610,0.2103,3.06,0.047619,0.159104
1779702349.6197832,22,0.9994,0,23.3668,1.0646,32.2080,1.999137,0.2066,5.92,0.045455,0.159104
1779702349.8962727,23,0.9997,0,22.7953,0.9935,31.5464,2.126922,0.2205,10.13,0.043478,0.159104
1779702350.145252,24,0.9997,0,22.2699,0.9302,30.8532,2.262471,0.2004,15.20,0.041667,0.159104
1779702350.4247618,25,0.9998,0,21.7390,0.8718,30.1365,2.305908,0.2090,18.99,0.040000,0.159104
1779702350.6799183,26,0.9999,0,21.5334,0.8304,29.4662,2.427979,0.1946,24.30,0.038462,0.159104
1779702350.9377642,27,1.0000,0,21.6199,0.8028,28.8929,2.659709,0.1882,30.87,0.037037,0.159104
1779702351.2244196,28,1.0000,0,22.0064,0.7879,28.4599,2.736984,0.2194,32.49,0.035714,0.159104
1779702351.461505,29,1.0000,0,22.4723,0.7768,28.1605,2.690459,0.1910,29.65,0.034483,0.159104
1779702351.7120366,30,0.9999,0,22.9704,0.7675,27.9802,2.544475,0.1769,25.47,0.033333,0.159104
1779702351.9797654,31,0.9999,0,23.4966,0.7598,27.9058,2.265058,0.1751,18.70,0.032258,0.159104
1779702352.2968016,32,0.9999,0,24.0312,0.7527,27.9224,1.885605,0.2345,11.35,0.031250,0.159104
1779702352.5450373,33,0.9998,0,24.5386,0.7453,28.0109,1.481309,0.2091,4.89,0.030303,0.159104
1779702352.786807,34,0.9997,0,24.8358,0.7321,28.1215,1.128111,0.1968,-1.64,0.029412,0.159104
1779702353.0535777,35,0.9996,0,24.9885,0.7156,28.2250,0.836757,0.1956,-8.33,0.028571,0.159104
1779702353.36676,36,0.9994,0,24.9998,0.6960,28.2975,0.693969,0.2392,-12.31,0.027778,0.159104
1779702353.5701196,37,0.9992,0,24.8997,0.6745,28.3246,0.739728,0.1741,-12.15,0.027027,0.159104
1779702353.8450038,38,0.9991,0,24.7227,0.6521,28.3005,0.988185,0.1919,-8.76,0.026316,0.159104
1779702354.1091983,39,0.9991,0,24.3794,0.6266,28.2042,1.436133,0.1875,-2.43,0.025641,0.159104
1779702354.41548,40,0.9986,0,23.8836,0.5986,28.0213,2.032151,0.2275,5.86,0.025000,0.159104
1779702354.6594353,41,0.9973,0,23.6118,0.5774,27.8074,2.435492,0.2149,15.92,0.024390,0.159104
1779702354.943548,42,0.9953,0,23.2378,0.5549,27.5508,2.865148,0.2313,24.83,0.023810,0.159104
1779702355.1645553,43,0.9930,0,22.9675,0.5358,27.2778,3.172965,0.2020,31.55,0.023256,0.159104
1779702355.4582548,44,0.9909,0,22.6906,0.5175,26.9906,3.478696,0.2203,38.49,0.022727,0.159104
1779702355.6827374,45,0.9894,0,22.4782,0.5015,26.7028,3.738234,0.1851,44.96,0.022222,0.159104
1779702355.9251456,46,0.9883,0,22.3841,0.4887,26.4356,3.871581,0.1681,50.04,0.021739,0.159104
1779702356.238837,47,0.9873,0,22.5800,0.4825,26.2367,3.914519,0.2120,54.19,0.021277,0.159104
1779702356.4787006,48,0.9867,0,22.9484,0.4802,26.1253,3.806179,0.1793,56.38,0.020833,0.159104
1779702356.7405934,49,0.9870,0,22.9905,0.4714,26.0303,3.716223,0.1809,55.49,0.020408,0.159104
1779702357.0149603,50,0.9882,0,23.1176,0.4646,25.9639,3.534130,0.1967,52.50,0.020000,0.159104
1779702357.2801018,51,0.9901,0,23.1469,0.4561,25.9044,3.356317,0.1846,49.82,0.019608,0.159104
1779702357.55419,52,0.9923,0,23.2213,0.4488,25.8587,3.141600,0.1994,46.25,0.019231,0.159104
1779702357.803827,53,0.9941,0,23.5977,0.4475,25.8778,2.938682,0.1858,41.21,0.018868,0.159104
1779702358.0697727,54,0.9951,0,23.6477,0.4401,25.8952,2.654570,0.1824,34.30,0.018519,0.159104
1779702358.323836,55,0.9959,0,23.6881,0.4329,25.9098,2.392540,0.1757,26.30,0.018182,0.159104
1779702358.6118803,56,0.9965,0,23.7585,0.4265,25.9276,2.120654,0.1903,18.13,0.017857,0.159104
1779702358.8503585,57,0.9969,0,23.8819,0.4212,25.9574,1.866521,0.1673,10.71,0.017544,0.159104
1779702359.143922,58,0.9972,0,24.0363,0.4166,26.0031,1.655133,0.1908,5.61,0.017241,0.159104
1779702359.416685,59,0.9971,0,24.1299,0.4111,26.0518,1.524378,0.1846,1.68,0.016949,0.159104
1779702359.6806307,60,0.9969,0,24.1650,0.4049,26.0932,1.473318,0.1714,-0.40,0.016667,0.159104
1779702359.9727077,61,0.9968,0,23.6787,0.3903,26.0387,1.578959,0.2068,-0.62,0.016393,0.159104
1779702360.210525,62,0.9969,0,23.5087,0.3813,25.9582,1.754579,0.1814,0.83,0.016129,0.159104
1779702360.5028152,63,0.9971,0,23.1926,0.3703,25.8310,2.011923,0.2047,4.53,0.015873,0.159104
1779702360.7478714,64,0.9971,0,22.8621,0.3593,25.6623,2.330579,0.1828,11.69,0.015625,0.159104
1779702361.0126102,65,0.9970,0,22.6373,0.3504,25.4773,2.656559,0.1842,21.23,0.015385,0.159104
1779702361.2965603,66,0.9967,0,22.4916,0.3429,25.2923,2.977119,0.1835,31.13,0.015152,0.159104
1779702361.5896494,67,0.9962,0,22.2795,0.3346,25.0964,3.290455,0.2087,39.78,0.014925,0.159104
1779702361.8376625,68,0.9955,0,22.3549,0.3308,24.9406,3.514741,0.1853,45.36,0.014706,0.159104
1779702362.1200495,69,0.9945,0,22.6767,0.3307,24.8608,3.545082,0.1985,46.33,0.014493,0.159104
1779702362.39739,70,0.9936,0,22.9919,0.3305,24.8436,3.432022,0.2177,43.84,0.014286,0.159104
1779702362.6297908,71,0.9927,0,23.3643,0.3311,24.8887,3.140379,0.1791,37.95,0.014085,0.159104
1779702362.9124196,72,0.9920,0,23.7467,0.3318,24.9879,2.719114,0.1906,28.80,0.013889,0.159104
1779702363.2306602,73,0.9912,0,24.0790,0.3318,25.1240,2.296909,0.2515,17.48,0.013699,0.159104
1779702363.4510484,74,0.9900,0,24.3578,0.3311,25.2822,1.895366,0.1942,5.72,0.013514,0.159104
1779702363.6994312,75,0.9885,0,24.6791,0.3309,25.4663,1.419425,0.1840,-5.13,0.013333,0.159104
1779702363.9698384,76,0.9871,0,24.8126,0.3284,25.6404,1.096578,0.1923,-14.01,0.013158,0.159104
1779702364.2837913,77,0.9855,0,24.8414,0.3246,25.7888,0.924115,0.2310,-19.53,0.012987,0.159104
