time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779702343.8509736,1,0.0194,1,0.0000,0.0000,0.0000,400.000000,0.1879,18.45,29.40,1.92,1.000000,1.000000
1779702344.3305745,2,0.0193,1,0.0000,0.0000,0.0000,462.000000,0.2212,17.73,26.29,2.09,0.500000,0.500000
1779702344.5639083,3,0.0192,1,0.0000,0.0000,0.0000,439.000000,0.1770,16.02,22.85,2.27,0.333333,0.333333
1779702344.8346214,4,0.0194,1,0.0000,0.0000,0.0000,439.000000,0.1778,13.62,20.66,2.34,0.250000,0.250000
1779702345.1166449,5,0.0201,1,0.0000,0.0000,0.0000,439.000000,0.2015,12.41,21.15,2.27,0.200000,0.200000
1779702345.3740404,6,0.0237,1,0.0000,0.0000,0.0000,439.000000,0.1800,12.63,21.84,2.22,0.166667,0.166667
1779702345.6728768,7,0.0360,1,0.0000,0.0000,0.0000,439.000000,0.2181,13.80,21.17,2.22,0.142857,0.159104
1779702345.8885553,8,0.0540,1,0.0000,0.0000,0.0000,414.000000,0.1696,14.69,18.60,2.29,0.125000,0.159104
1779702346.1613843,9,0.0763,1,0.0000,0.0000,0.0000,400.000000,0.1731,14.48,15.17,2.36,0.111111,0.159104
1779702346.4484646,10,0.0992,1,0.0000,0.0000,0.0000,400.000000,0.2038,13.78,12.87,2.33,0.100000,0.159104
1779702346.6998785,11,0.1216,0,0.0000,0.0000,0.0000,400.000000,0.1915,13.43,12.64,2.17,0.090909,0.159104
1779702346.9693282,12,0.1436,0,0.0000,0.0000,0.0000,400.000000,0.1956,13.84,13.28,1.97,0.083333,0.159104
1779702347.2112682,13,0.1664,0,0.0000,0.0000,0.0000,400.000000,0.1598,13.73,13.11,1.80,0.076923,0.159104
1779702347.4687057,14,0.1894,0,0.0000,0.0000,0.0000,400.000000,0.1554,13.55,12.60,1.63,0.071429,0.159104
1779702347.7650113,15,0.2105,0,0.0000,0.0000,0.0000,400.000000,0.1868,12.93,11.80,1.50,0.066667,0.159104
1779702348.0111852,16,0.2283,0,0.0000,0.0000,0.0000,400.000000,0.1765,12.25,10.51,1.42,0.062500,0.159104
1779702348.3201697,17,0.2419,0,0.0000,0.0000,0.0000,400.000000,0.2165,11.95,8.71,1.42,0.058824,0.159104
1779702348.5974224,18,0.2516,0,0.0000,0.0000,0.0000,400.000000,0.2270,10.14,7.21,1.39,0.055556,0.159104
1779702348.8232658,19,0.2584,0,0.0000,0.0000,0.0000,400.000000,0.1874,7.56,5.44,1.36,0.052632,0.159104
1779702349.1104262,20,0.2628,0,0.0000,0.0000,0.0000,400.000000,0.2099,5.06,3.47,1.34,0.050000,0.159104
1779702349.3449905,21,0.2642,0,0.0000,0.0000,0.0000,400.000000,0.1955,2.16,1.37,1.32,0.047619,0.159104
1779702349.618589,22,0.2628,0,0.0000,0.0000,0.0000,400.000000,0.1940,-2.14,-0.48,1.27,0.045455,0.159104
1779702349.9111857,23,0.2597,0,0.0000,0.0000,0.0000,400.000000,0.2309,-7.02,-1.64,1.17,0.043478,0.159104
1779702350.146282,24,0.2561,0,0.0000,0.0000,0.0000,400.000000,0.1976,-11.86,-1.33,1.00,0.041667,0.159104
1779702350.4105475,25,0.2518,0,0.0000,0.0000,0.0000,400.000000,0.1960,-15.85,0.53,0.77,0.040000,0.159104
1779702350.6810725,26,0.2474,0,0.0000,0.0000,0.0000,400.000000,0.1948,-16.15,2.25,0.67,0.038462,0.159104
1779702350.9275954,27,0.2434,0,0.0000,0.0000,0.0000,400.000000,0.1744,-12.87,3.23,0.74,0.037037,0.159104
1779702351.2211628,28,0.2398,0,0.0000,0.0000,0.0000,400.000000,0.2071,-8.97,2.91,0.90,0.035714,0.159104
1779702351.4530706,29,0.2366,0,0.0000,0.0000,0.0000,400.000000,0.1742,-4.32,1.23,1.17,0.034483,0.159104
1779702351.7140074,30,0.2341,0,0.0000,0.0000,0.0000,400.000000,0.1773,1.90,-0.90,1.49,0.033333,0.159104
1779702351.9957013,31,0.2321,0,0.0000,0.0000,0.0000,400.000000,0.1867,8.23,-3.25,1.82,0.032258,0.159104
1779702352.2944672,32,0.2301,0,0.0000,0.0000,0.0000,400.000000,0.2251,14.53,-5.81,2.15,0.031250,0.159104
1779702352.537568,33,0.2290,0,0.0000,0.0000,0.0000,400.000000,0.1957,20.30,-8.35,2.46,0.030303,0.159104
1779702352.7703173,34,0.2283,0,0.0000,0.0000,0.0000,400.000000,0.1783,23.94,-10.71,2.67,0.029412,0.159104
1779702353.0524693,35,0.2269,0,0.0000,0.0000,0.0000,400.000000,0.1935,24.47,-13.28,2.84,0.028571,0.159104
1779702353.3606107,36,0.2251,0,0.0000,0.0000,0.0000,439.000000,0.2282,22.85,-16.07,2.98,0.027778,0.159104
1779702353.5790536,37,0.2245,0,0.0000,0.0000,0.0000,474.000000,0.1824,20.06,-18.18,3.05,0.027027,0.159104
1779702353.8396935,38,0.2258,0,0.0000,0.0000,0.0000,474.000000,0.1809,16.32,-18.30,2.97,0.026316,0.159104
1779702354.1091554,39,0.2281,0,0.0000,0.0000,0.0000,474.000000,0.1827,12.83,-15.86,2.75,0.025641,0.159104
1779702354.3917487,40,0.2303,0,0.0000,0.0000,0.0000,474.000000,0.2012,10.25,-10.94,2.43,0.025000,0.159104
