time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1779702343.6748838,1,-180.0000,673.467401,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6773317,1,-175.0000,625.200861,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6804867,1,-170.0000,549.949551,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6823905,1,-165.0000,401.713473,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6849902,1,-160.0000,401.492625,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6874828,1,-155.0000,401.287009,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.689711,1,-150.0000,401.096623,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6931722,1,-145.0000,400.921468,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6941934,1,-140.0000,400.761544,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6952055,1,-135.0000,400.616850,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.6991625,1,-130.0000,400.487388,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7001393,1,-125.0000,482.373156,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7032104,1,-120.0000,529.274156,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7068563,1,-115.0000,577.190386,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7099133,1,-110.0000,652.121847,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.713607,1,-105.0000,800.068539,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.715363,1,-100.0000,826.030462,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7182007,1,-95.0000,848.007615,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.71993,1,-90.0000,865.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.720835,1,-85.0000,888.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7218602,1,-80.0000,908.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7231045,1,-75.0000,940.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.725048,1,-70.0000,878.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.726926,1,-65.0000,854.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.73057,1,-60.0000,882.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7334971,1,-55.0000,912.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7353148,1,-50.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.739297,1,-45.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7422242,1,-40.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7440057,1,-35.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.745729,1,-30.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7478898,1,-25.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7504828,1,-20.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7521937,1,-15.0000,718.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7530704,1,-10.0000,671.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.755174,1,-5.0000,623.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.757183,1,0.0000,548.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7601247,1,5.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7610078,1,10.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.764731,1,15.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7661474,1,20.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7683704,1,25.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7695396,1,30.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7715287,1,35.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7726412,1,40.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7760048,1,45.0000,473.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7787418,1,50.0000,529.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7817214,1,55.0000,577.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7832365,1,60.0000,652.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7849596,1,65.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7858799,1,70.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.787668,1,75.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.788741,1,80.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7905326,1,85.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7925887,1,90.0000,800.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.794304,1,95.0000,800.007615,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7953115,1,100.0000,800.030462,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7964294,1,105.0000,800.068539,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.7993767,1,110.0000,800.121847,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8012362,1,115.0000,800.190386,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8029754,1,120.0000,800.274156,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.806415,1,125.0000,800.373156,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8091426,1,130.0000,800.487388,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8111815,1,135.0000,800.616850,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.812609,1,140.0000,800.761544,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8148,1,145.0000,800.921468,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8170106,1,150.0000,801.096623,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.818879,1,155.0000,801.287009,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8207417,1,160.0000,801.492625,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8227556,1,165.0000,801.713473,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.825096,1,170.0000,801.949551,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8275442,1,175.0000,720.200861,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8313992,1,30.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8359196,1,30.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8389843,1,30.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8411918,1,30.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8434997,1,30.0000,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.845501,1,29.9997,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.84663,1,30.0003,400.000000,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779702343.8482096,1,30.0000,400.000000,1,7.761223E-07,3.802007E-03,0,0.0194,30.0000
1779702344.1066196,2,-180.0000,626.467401,0,7.409044E-07,6.523889E-03,0,0.0193,0.0
1779702344.1101048,2,-175.0000,554.200861,0,7.409044E-07,6.523889E-03,0,0.0193,0.0
