time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779702061.7121603,1,0.0194,1,0.0000,0.0000,0.0000,0.494274,0.2028,18.45,29.40,1.92,1.000000,1.000000
1779702061.9838932,2,0.0194,1,0.0000,0.0000,0.0000,0.508530,0.2164,18.13,28.73,1.96,0.500000,0.500000
1779702062.2785122,3,0.0193,1,0.0000,0.0000,0.0000,0.566167,0.2432,17.73,26.29,2.09,0.333333,0.333333
1779702062.5010417,4,0.0192,1,0.0000,0.0000,0.0000,0.656540,0.1865,16.02,22.85,2.27,0.250000,0.250000
1779702062.7677662,5,0.0194,1,0.0000,0.0000,0.0000,0.699650,0.1881,13.62,20.66,2.34,0.200000,0.200000
1779702063.0244884,6,0.0201,1,0.0000,0.0000,0.0000,0.664010,0.1876,12.41,21.15,2.27,0.166667,0.166667
1779702063.2864227,7,0.0237,1,0.0000,0.0000,0.0000,0.633407,0.1809,12.63,21.84,2.22,0.142857,0.159104
1779702063.5522194,8,0.0360,1,0.0000,0.0000,0.0000,0.633921,0.1781,13.80,21.17,2.22,0.125000,0.159104
1779702063.853944,9,0.0540,1,0.0000,0.0000,0.0000,0.650714,0.2267,14.69,18.60,2.29,0.111111,0.159104
1779702064.1514394,10,0.0763,1,0.0000,0.0000,0.0000,0.442128,0.2494,14.48,15.17,2.36,0.100000,0.159104
1779702064.3706195,11,0.0992,1,0.0000,0.0000,0.0000,0.355589,0.2042,13.78,12.87,2.33,0.090909,0.159104
1779702064.6193616,12,0.1216,0,-10.8532,-0.1100,-0.3178,0.232527,0.1918,13.44,12.96,2.14,0.083333,0.159104
1779702064.8838108,13,0.1436,0,-10.5932,-0.1059,-0.6560,0.156730,0.1893,13.85,13.93,1.89,0.076923,0.159104
1779702065.1695466,14,0.1664,0,-9.5077,-0.0917,-0.9797,0.149692,0.2051,13.74,14.07,1.65,0.071429,0.159104
1779702065.4186645,15,0.1894,0,-7.7395,-0.0682,-1.2496,0.140363,0.1913,13.56,13.83,1.41,0.066667,0.159104
1779702065.7082443,16,0.2105,0,-6.5233,-0.0513,-1.4758,0.120922,0.2088,12.93,13.24,1.20,0.062500,0.159104
1779702065.947462,17,0.2283,0,-5.9330,-0.0427,-1.6789,0.090548,0.1966,12.25,12.15,1.05,0.058824,0.159104
1779702066.246277,18,0.2419,0,-5.8960,-0.0416,-1.8812,0.068790,0.2277,11.95,10.54,0.98,0.055556,0.159104
1779702066.491195,19,0.2516,0,-5.7367,-0.0390,-2.0729,0.047904,0.2002,10.13,9.22,0.89,0.052632,0.159104
1779702066.7569337,20,0.2584,0,-5.4977,-0.0354,-2.2477,0.040865,0.1951,7.55,7.61,0.79,0.050000,0.159104
1779702067.0256662,21,0.2628,0,-5.3056,-0.0325,-2.4067,0.043077,0.2041,5.05,5.79,0.72,0.047619,0.159104
1779702067.3048491,22,0.2642,0,-5.1563,-0.0303,-2.5514,0.048439,0.2207,2.14,3.83,0.66,0.045455,0.159104
1779702067.5187752,23,0.2628,0,-4.9491,-0.0276,-2.6781,0.059425,0.1688,-2.16,2.10,0.57,0.043478,0.159104
1779702067.7859492,24,0.2597,0,-4.6625,-0.0242,-2.7834,0.072242,0.1740,-7.04,1.05,0.46,0.041667,0.159104
1779702068.0657172,25,0.2561,0,-4.0504,-0.0177,-2.8520,0.082588,0.1774,-11.90,1.43,0.28,0.040000,0.159104
1779702068.373495,26,0.2518,0,-3.1256,-0.0086,-2.8712,0.056217,0.2303,-15.90,3.31,0.05,0.038462,0.159104
1779702068.6130047,27,0.2474,0,-2.7266,-0.0049,-2.8702,0.034673,0.1906,-16.20,5.03,-0.03,0.037037,0.159104
1779702068.8792658,28,0.2434,0,-2.9723,-0.0069,-2.8808,0.054088,0.1905,-12.91,6.02,0.04,0.035714,0.159104
1779702069.1362236,29,0.2398,0,-3.6533,-0.0125,-2.9223,0.089557,0.1840,-9.01,5.75,0.21,0.034483,0.159104
1779702069.4125931,30,0.2366,0,-4.8031,-0.0215,-3.0138,0.129098,0.1872,-4.35,4.16,0.46,0.033333,0.159104
1779702069.6835449,31,0.2341,0,-6.2503,-0.0323,-3.1654,0.145661,0.1985,1.89,2.18,0.76,0.032258,0.159104
1779702069.978077,32,0.2321,0,-7.7906,-0.0432,-3.3777,0.133740,0.2227,8.24,0.03,1.04,0.031250,0.159104
1779702070.2038171,33,0.2301,0,-9.4360,-0.0544,-3.6519,0.088292,0.1827,14.56,-2.26,1.33,0.030303,0.159104
1779702070.4708724,34,0.2290,0,-10.9211,-0.0640,-3.9784,0.034932,0.1981,20.35,-4.48,1.57,0.029412,0.159104
1779702070.711222,35,0.2283,0,-11.9549,-0.0703,-4.3359,0.016924,0.1741,24.02,-6.48,1.71,0.028571,0.159104
1779702070.9745388,36,0.2269,0,-12.8494,-0.0755,-4.7161,0.018781,0.1707,24.57,-8.69,1.82,0.027778,0.159104
1779702071.341299,37,0.2251,0,-13.7178,-0.0803,-5.1159,0.023221,0.2643,22.97,-11.09,1.90,0.027027,0.159104
1779702071.7971644,38,0.2258,0,-13.7430,-0.0800,-5.5029,0.043978,0.1935,16.44,-12.94,1.82,0.026316,0.159104
1779702072.0884335,39,0.2281,0,-12.4763,-0.0721,-5.8255,0.118083,0.2205,12.93,-10.19,1.51,0.025641,0.159104
1779702072.342581,40,0.2303,0,-8.0418,-0.0462,-5.9512,0.332666,0.2142,10.31,-5.15,1.16,0.025000,0.159104
1779702072.6040225,41,0.2316,0,0.2325,0.0008,-5.7225,1.990412,0.2152,9.12,1.81,0.86,0.024390,0.159104
1779702072.9109006,42,0.2330,0,5.2250,0.0285,-5.2892,6.556435,0.2570,8.63,10.47,0.57,0.023810,0.159104
1779702073.4199245,43,0.2377,0,15.5365,0.0853,-4.4196,10.453849,0.2240,11.42,30.74,-0.12,0.023256,0.159104
1779702073.6397521,44,0.2388,0,19.9796,0.1090,-3.3876,4.969546,0.1898,14.42,39.43,-0.33,0.022727,0.159104
1779702073.910951,45,0.2374,0,22.3792,0.1211,-2.2980,3.164240,0.1934,17.62,44.90,-0.35,0.022222,0.159104
1779702074.1898596,46,0.2340,0,22.5215,0.1212,-1.2572,2.915278,0.2104,21.25,47.81,-0.23,0.021739,0.159104
1779702074.4562492,47,0.2305,0,22.6528,0.1212,-0.2635,2.779516,0.2043,23.93,48.64,-0.05,0.021277,0.159104
1779702074.714269,48,0.2278,0,22.6733,0.1208,0.6842,2.798263,0.1999,24.21,47.30,0.16,0.020833,0.159104
1779702074.992206,49,0.2249,0,22.4076,0.1190,1.5763,2.916149,0.2075,22.34,44.03,0.39,0.020408,0.159104
1779702075.2648146,50,0.2218,0,19.4896,0.1055,2.3102,2.654626,0.2001,19.48,39.01,0.65,0.020000,0.159104
1779702075.5997117,51,0.2189,0,12.2316,0.0739,2.7270,1.512391,0.2730,15.82,32.76,0.90,0.019608,0.159104
1779702076.067611,52,0.2150,0,3.1775,0.0362,2.7774,0.440665,0.2105,7.87,18.34,1.48,0.019231,0.159104
1779702076.30886,53,0.2148,0,1.1499,0.0278,2.7486,1.164153,0.1859,2.86,10.09,1.81,0.018868,0.159104
1779702076.5662332,54,0.2150,0,-3.3235,0.0099,2.5504,2.782306,0.1842,-2.23,0.74,2.17,0.018519,0.159104
1779702076.824774,55,0.2154,0,-8.8898,-0.0120,2.1468,2.977821,0.1701,-6.41,-8.85,2.52,0.018182,0.159104
1779702077.104402,56,0.2163,0,-13.9212,-0.0314,1.5634,0.996767,0.1959,-8.98,-17.96,2.85,0.017857,0.159104
