time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779701362.6085484,1,0.0194,1,0.0000,0.0000,0.0000,0.000000,0.1898,18.45,29.40,1.92,1.000000,1.000000
1779701362.8865051,2,0.0194,1,0.0000,0.0000,0.0000,0.000000,0.1935,18.13,28.73,1.96,0.500000,0.500000
1779701363.143677,3,0.0193,1,0.0000,0.0000,0.0000,0.000000,0.1981,17.73,26.29,2.09,0.333333,0.333333
1779701363.424637,4,0.0192,1,0.0000,0.0000,0.0000,0.000000,0.2097,16.02,22.85,2.27,0.250000,0.250000
1779701363.6850688,5,0.0194,1,0.0000,0.0000,0.0000,0.000000,0.2031,13.62,20.66,2.34,0.200000,0.200000
1779701363.9454372,6,0.0201,1,0.0000,0.0000,0.0000,0.000000,0.1961,12.41,21.15,2.27,0.166667,0.166667
1779701364.2008789,7,0.0237,1,0.0000,0.0000,0.0000,0.000000,0.1964,12.63,21.84,2.22,0.142857,0.159104
1779701364.475955,8,0.0360,1,0.0000,0.0000,0.0000,0.000000,0.2056,13.80,21.17,2.22,0.125000,0.159104
1779701364.7480948,9,0.0540,1,0.0000,0.0000,0.0000,0.000000,0.2074,14.69,18.60,2.29,0.111111,0.159104
1779701364.996848,10,0.0763,1,0.0000,0.0000,0.0000,0.000000,0.1874,14.48,15.17,2.36,0.100000,0.159104
1779701365.2727094,11,0.0992,1,0.0000,0.0000,0.0000,0.000000,0.2014,13.78,12.87,2.33,0.090909,0.159104
1779701365.514141,12,0.1216,0,0.0000,0.0000,0.0000,0.000000,0.1828,13.43,12.64,2.17,0.083333,0.159104
1779701365.79298,13,0.1436,0,0.0000,0.0000,0.0000,0.000000,0.1890,13.84,13.28,1.97,0.076923,0.159104
1779701366.041196,14,0.1664,0,0.0000,0.0000,0.0000,0.000000,0.1612,13.73,13.11,1.80,0.071429,0.159104
1779701366.3178937,15,0.1894,0,0.0000,0.0000,0.0000,0.000000,0.1829,13.55,12.60,1.63,0.066667,0.159104
1779701366.5895448,16,0.2105,0,0.0000,0.0000,0.0000,0.000000,0.1819,12.93,11.80,1.50,0.062500,0.159104
1779701366.8495753,17,0.2283,0,0.0000,0.0000,0.0000,0.000000,0.1856,12.25,10.51,1.42,0.058824,0.159104
1779701367.1155524,18,0.2419,0,0.0000,0.0000,0.0000,0.000000,0.1851,11.95,8.71,1.42,0.055556,0.159104
1779701367.3818865,19,0.2516,0,0.0000,0.0000,0.0000,0.000000,0.1836,10.14,7.21,1.39,0.052632,0.159104
1779701367.6294012,20,0.2584,0,0.0000,0.0000,0.0000,0.000000,0.1605,7.56,5.44,1.36,0.050000,0.159104
1779701367.9372075,21,0.2628,0,0.0000,0.0000,0.0000,0.000000,0.2001,5.06,3.47,1.34,0.047619,0.159104
1779701368.1925273,22,0.2642,0,0.0000,0.0000,0.0000,0.000000,0.1974,2.16,1.37,1.32,0.045455,0.159104
1779701368.4665287,23,0.2628,0,0.0000,0.0000,0.0000,0.000000,0.1920,-2.14,-0.48,1.27,0.043478,0.159104
1779701368.71455,24,0.2597,0,0.0000,0.0000,0.0000,0.000000,0.1803,-7.02,-1.64,1.17,0.041667,0.159104
1779701368.9988801,25,0.2561,0,0.0000,0.0000,0.0000,0.000000,0.1745,-11.86,-1.33,1.00,0.040000,0.159104
1779701369.2722857,26,0.2518,0,0.0000,0.0000,0.0000,0.000000,0.1812,-15.85,0.53,0.77,0.038462,0.159104
1779701369.5343256,27,0.2474,0,0.0000,0.0000,0.0000,0.000000,0.1767,-16.15,2.25,0.67,0.037037,0.159104
1779701369.8023818,28,0.2434,0,0.0000,0.0000,0.0000,0.000000,0.1731,-12.87,3.23,0.74,0.035714,0.159104
1779701370.064005,29,0.2398,0,0.0000,0.0000,0.0000,0.000000,0.1824,-8.97,2.91,0.90,0.034483,0.159104
1779701370.3183603,30,0.2366,0,0.0000,0.0000,0.0000,0.000000,0.1704,-4.32,1.23,1.17,0.033333,0.159104
1779701370.603066,31,0.2341,0,0.0000,0.0000,0.0000,0.000000,0.1928,1.90,-0.90,1.49,0.032258,0.159104
1779701370.8417227,32,0.2321,0,0.0000,0.0000,0.0000,0.000000,0.1647,8.23,-3.25,1.82,0.031250,0.159104
1779701371.1192744,33,0.2301,0,0.0000,0.0000,0.0000,0.000000,0.1640,14.53,-5.81,2.15,0.030303,0.159104
1779701371.412202,34,0.2290,0,0.0000,0.0000,0.0000,0.000000,0.1940,20.30,-8.35,2.46,0.029412,0.159104
1779701371.6562862,35,0.2283,0,0.0000,0.0000,0.0000,0.000000,0.1779,23.94,-10.71,2.67,0.028571,0.159104
1779701371.9115968,36,0.2269,0,0.0000,0.0000,0.0000,0.000000,0.1668,24.47,-13.28,2.84,0.027778,0.159104
1779701372.2088087,37,0.2251,0,-3.4462,-0.0210,-0.1436,0.000000,0.1930,22.86,-15.93,2.95,0.027027,0.159104
1779701372.4866564,38,0.2245,0,-3.4462,-0.0208,-0.2817,0.000000,0.2041,20.07,-17.90,2.99,0.026316,0.159104
1779701372.7489812,39,0.2258,0,-3.4462,-0.0207,-0.4153,0.000000,0.2144,16.33,-17.90,2.89,0.025641,0.159104
1779701372.9799538,40,0.2281,0,-3.4462,-0.0206,-0.5452,0.000000,0.1804,12.84,-15.33,2.63,0.025000,0.159104
1779701373.3106213,41,0.2303,0,-3.1385,-0.0188,-0.6583,0.002824,0.2267,10.26,-10.30,2.29,0.024390,0.159104
1779701373.5150573,42,0.2316,0,1.6408,0.0077,-0.5661,1.150156,0.1842,9.11,-3.21,1.94,0.023810,0.159104
1779701373.7600496,43,0.2330,0,6.1568,0.0321,-0.2859,5.359868,0.1603,8.68,5.61,1.57,0.023256,0.159104
1779701374.0713875,44,0.2352,0,11.0594,0.0582,0.1946,9.730436,0.2020,9.27,15.46,1.20,0.022727,0.159104
1779701374.338439,45,0.2377,0,16.9205,0.0888,0.9126,8.383780,0.1953,11.60,25.57,0.87,0.022222,0.159104
1779701374.5820978,46,0.2388,0,22.1161,0.1153,1.8292,2.321197,0.1866,14.61,34.37,0.62,0.021739,0.159104
1779701374.870587,47,0.2374,0,26.7709,0.1383,2.9042,0.017196,0.1944,17.78,39.85,0.58,0.021277,0.159104
1779701375.1308362,48,0.2340,0,27.3355,0.1403,3.9490,0.000000,0.2059,21.38,42.75,0.68,0.020833,0.159104
1779701375.4091172,49,0.2305,0,27.3355,0.1397,4.9412,0.000000,0.2051,24.02,43.58,0.84,0.020408,0.159104
1779701375.6825724,50,0.2278,0,27.3355,0.1390,5.8869,0.000000,0.2177,24.26,42.24,1.06,0.020000,0.159104
1779701375.9184763,51,0.2249,0,27.3355,0.1384,6.7880,0.000000,0.2016,22.34,38.95,1.32,0.019608,0.159104
1779701376.1792197,52,0.2218,0,27.1676,0.1371,7.6393,0.000000,0.1974,19.44,33.81,1.64,0.019231,0.159104
1779701376.4488528,53,0.2189,0,22.8576,0.1188,8.2839,0.000000,0.1937,15.76,27.34,1.98,0.018868,0.159104
1779701376.7190306,54,0.2164,0,11.5618,0.0730,8.4673,0.000000,0.1963,11.89,20.03,2.31,0.018519,0.159104
1779701376.9696624,55,0.2150,0,4.3427,0.0445,8.3691,0.020790,0.1883,7.75,12.88,2.58,0.018182,0.159104
