time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1779703455.2891057,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.2540,-9.12,1.000000,1.000000
1779703455.5420578,2,0.9995,0,23.8881,11.9442,29.9580,1.281554,0.2457,-10.33,0.500000,0.500000
1779703455.7962494,3,0.9995,0,23.8548,7.9538,33.2287,1.233733,0.2221,-11.79,0.333333,0.333333
1779703456.055483,4,0.9994,0,23.8120,5.9559,35.3437,1.192938,0.2241,-13.04,0.250000,0.250000
1779703456.3204327,5,0.9994,0,23.9943,4.8019,36.9173,1.267426,0.2294,-13.06,0.200000,0.200000
1779703456.5532005,6,0.9994,0,23.9131,3.9885,38.0754,1.349100,0.1920,-12.12,0.166667,0.166667
1779703456.8308172,7,0.9994,0,23.8921,3.4161,38.6930,1.382077,0.2060,-11.62,0.142857,0.159104
1779703457.087167,8,0.9993,0,23.9709,2.9992,38.8747,1.345847,0.1950,-12.05,0.125000,0.159104
1779703457.381041,9,0.9992,0,24.0217,2.6719,38.7605,1.257034,0.2250,-13.04,0.111111,0.159104
1779703457.6457133,10,0.9992,0,24.2736,2.4301,38.5013,1.192497,0.2195,-12.55,0.100000,0.159104
1779703457.8777997,11,0.9992,0,24.4369,2.2242,38.1358,1.216597,0.1954,-10.70,0.090909,0.159104
1779703458.159409,12,0.9993,0,24.4558,2.0405,37.6769,1.280216,0.1968,-8.59,0.083333,0.159104
1779703458.4588003,13,0.9992,0,24.2674,1.8692,37.1171,1.314689,0.2343,-6.33,0.076923,0.159104
1779703458.6927254,14,0.9989,0,24.2794,1.7367,36.5376,1.352576,0.2093,-4.67,0.071429,0.159104
1779703458.9299667,15,0.9986,0,24.3440,1.6254,35.9675,1.393423,0.1723,-2.70,0.066667,0.159104
1779703459.2107491,16,0.9984,0,24.4368,1.5297,35.4225,1.432768,0.1841,-1.29,0.062500,0.159104
1779703459.5585675,17,0.9986,0,24.5042,1.4438,34.9023,1.451719,0.2782,-0.51,0.058824,0.159104
1779703460.1361008,18,0.9985,0,24.5111,1.3641,34.3990,1.445813,0.3157,0.15,0.055556,0.159104
1779703460.554451,19,0.9986,0,24.0631,1.2689,33.8241,1.665962,0.2048,0.42,0.052632,0.159104
1779703460.9147077,20,0.9990,0,23.7760,1.1912,33.2289,1.838610,0.2928,3.06,0.050000,0.159104
1779703461.358729,21,0.9997,0,22.7953,1.0878,32.4842,2.126922,0.2158,10.13,0.047619,0.159104
1779703461.5993068,22,0.9997,0,22.2699,1.0145,31.7127,2.262471,0.1832,15.20,0.045455,0.159104
1779703461.8879516,23,0.9998,0,21.7390,0.9473,30.9228,2.305908,0.2054,18.99,0.043478,0.159104
1779703462.163327,24,0.9999,0,21.5334,0.8993,30.1853,2.427979,0.2283,24.30,0.041667,0.159104
1779703462.4314024,25,1.0000,0,21.6199,0.8668,29.5515,2.659709,0.2324,30.87,0.040000,0.159104
1779703462.687474,26,1.0000,0,22.0064,0.8483,29.0644,2.736984,0.2089,32.49,0.038462,0.159104
1779703462.9804072,27,1.0000,0,22.4723,0.8341,28.7170,2.690459,0.2268,29.65,0.037037,0.159104
1779703463.249997,28,0.9999,0,22.9704,0.8221,28.4941,2.544475,0.2468,25.47,0.035714,0.159104
1779703463.4781253,29,0.9999,0,23.4966,0.8119,28.3818,2.265058,0.2133,18.70,0.034483,0.159104
1779703463.9209032,30,0.9999,0,24.0312,0.8027,28.3647,1.885605,0.3788,11.35,0.033333,0.159104
1779703464.3078876,31,0.9997,0,24.8358,0.8027,28.4785,1.128111,0.2470,-1.64,0.032258,0.159104
1779703464.4982805,32,0.9996,0,24.9885,0.7824,28.5814,0.836757,0.1789,-8.33,0.031250,0.159104
1779703464.8078666,33,0.9994,0,24.9998,0.7591,28.6503,0.693969,0.2112,-12.31,0.030303,0.159104
1779703465.043727,34,0.9992,0,24.8997,0.7338,28.6712,0.739728,0.1926,-12.15,0.029412,0.159104
1779703465.2970645,35,0.9991,0,24.7227,0.7078,28.6389,0.988185,0.1768,-8.76,0.028571,0.159104
1779703465.5562716,36,0.9991,0,24.3794,0.6787,28.5326,1.436133,0.1766,-2.43,0.027778,0.159104
1779703465.849325,37,0.9986,0,23.8836,0.6470,28.3381,2.032151,0.1910,5.86,0.027027,0.159104
1779703466.110828,38,0.9973,0,23.6118,0.6229,28.1122,2.435492,0.1936,15.92,0.026316,0.159104
1779703466.3802736,39,0.9953,0,23.2378,0.5974,27.8431,2.865148,0.1956,24.83,0.025641,0.159104
1779703466.6483185,40,0.9930,0,22.9675,0.5759,27.5577,3.172965,0.1955,31.55,0.025000,0.159104
1779703466.933429,41,0.9909,0,22.6906,0.5553,27.2581,3.478696,0.2196,38.49,0.024390,0.159104
1779703467.1719491,42,0.9894,0,22.4782,0.5372,26.9583,3.738234,0.1844,44.96,0.023810,0.159104
1779703467.4628115,43,0.9883,0,22.3841,0.5227,26.6795,3.871581,0.2043,50.04,0.023256,0.159104
1779703467.7230802,44,0.9873,0,22.5800,0.5153,26.4700,3.914519,0.2037,54.19,0.022727,0.159104
1779703467.9561613,45,0.9867,0,22.9484,0.5121,26.3488,3.806179,0.1786,56.38,0.022222,0.159104
1779703468.2427213,46,0.9870,0,22.9905,0.5020,26.2447,3.716223,0.1959,55.49,0.021739,0.159104
1779703468.500944,47,0.9882,0,23.1176,0.4941,26.1695,3.534130,0.1883,52.50,0.021277,0.159104
1779703468.7509427,48,0.9901,0,23.1469,0.4846,26.1015,3.356317,0.1763,49.82,0.020833,0.159104
1779703469.0304177,49,0.9923,0,23.2213,0.4763,26.0479,3.141600,0.1848,46.25,0.020408,0.159104
1779703469.3060367,50,0.9941,0,23.5977,0.4743,26.0596,2.938682,0.1943,41.21,0.020000,0.159104
1779703469.5636303,51,0.9951,0,23.6477,0.4660,26.0699,2.654570,0.1870,34.30,0.019608,0.159104
1779703469.8189068,52,0.9959,0,23.6881,0.4578,26.0778,2.392540,0.1816,26.30,0.019231,0.159104
1779703470.0968904,53,0.9965,0,23.7585,0.4506,26.0892,2.120654,0.1893,18.13,0.018868,0.159104
1779703470.4032946,54,0.9969,0,23.8819,0.4445,26.1131,1.866521,0.2178,10.71,0.018519,0.159104
1779703470.6597354,55,0.9972,0,24.0363,0.4393,26.1532,1.655133,0.2112,5.61,0.018182,0.159104
1779703470.9280765,56,0.9971,0,24.1299,0.4331,26.1966,1.524378,0.2015,1.68,0.017857,0.159104
1779703471.1833346,57,0.9969,0,24.1650,0.4261,26.2329,1.473318,0.1869,-0.40,0.017544,0.159104
1779703471.4438827,58,0.9968,0,23.6787,0.4105,26.1732,1.578959,0.1870,-0.62,0.017241,0.159104
1779703471.7115748,59,0.9969,0,23.5087,0.4007,26.0877,1.754579,0.1878,0.83,0.016949,0.159104
1779703471.9699986,60,0.9971,0,23.1926,0.3887,25.9555,2.011923,0.1721,4.53,0.016667,0.159104
1779703472.249385,61,0.9971,0,22.8621,0.3770,25.7819,2.330579,0.1883,11.69,0.016393,0.159104
1779703472.5095112,62,0.9970,0,22.6373,0.3673,25.5922,2.656559,0.1840,21.23,0.016129,0.159104
1779703472.7863634,63,0.9967,0,22.4916,0.3592,25.4027,2.977119,0.1859,31.13,0.015873,0.159104
1779703473.065409,64,0.9962,0,22.2795,0.3503,25.2025,3.290455,0.2092,39.78,0.015625,0.159104
1779703473.3080182,65,0.9955,0,22.3549,0.3461,25.0427,3.514741,0.1766,45.36,0.015385,0.159104
1779703473.592303,66,0.9945,0,22.6767,0.3457,24.9594,3.545082,0.2005,46.33,0.015152,0.159104
1779703473.8435671,67,0.9936,0,22.9919,0.3453,24.9390,3.432022,0.1852,43.84,0.014925,0.159104
1779703474.1312392,68,0.9927,0,23.3643,0.3457,24.9814,3.140379,0.1939,37.95,0.014706,0.159104
1779703474.41576,69,0.9920,0,23.7467,0.3462,25.0780,2.719114,0.2089,28.80,0.014493,0.159104
1779703474.660801,70,0.9912,0,24.0790,0.3460,25.2119,2.296909,0.1991,17.48,0.014286,0.159104
1779703474.9254687,71,0.9900,0,24.3578,0.3451,25.3681,1.895366,0.1984,5.72,0.014085,0.159104
1779703475.1829932,72,0.9885,0,24.6791,0.3447,25.5502,1.419425,0.1904,-5.13,0.013889,0.159104
1779703475.4385707,73,0.9871,0,24.8126,0.3419,25.7226,1.096578,0.1809,-14.01,0.013699,0.159104
1779703475.7291863,74,0.9855,0,24.8414,0.3377,25.8692,0.924115,0.1992,-19.53,0.013514,0.159104
1779703475.9671576,75,0.9838,0,24.8721,0.3337,25.9945,0.853084,0.1686,-22.27,0.013333,0.159104
1779703476.2343826,76,0.9820,0,24.8987,0.3297,26.1015,0.850366,0.1758,-23.27,0.013158,0.159104
1779703476.5362408,77,0.9803,0,24.9333,0.3260,26.1944,0.907134,0.2046,-23.58,0.012987,0.159104
1779703476.8155682,78,0.9792,0,24.7332,0.3194,26.2364,0.992876,0.2203,-23.58,0.012821,0.159104
1779703477.080769,79,0.9794,0,24.3164,0.3102,26.1991,1.130689,0.2219,-23.66,0.012658,0.159104
1779703477.3247511,80,0.9811,0,24.1852,0.3048,26.1419,1.107159,0.1925,-23.70,0.012500,0.159104
1779703477.6026697,81,0.9834,0,24.1864,0.3011,26.0900,1.042852,0.2108,-23.97,0.012346,0.159104
1779703477.8717728,82,0.9860,0,24.2703,0.2985,26.0562,0.976818,0.2132,-24.74,0.012195,0.159104
1779703478.118312,83,0.9887,0,24.2916,0.2952,26.0274,0.938541,0.1868,-24.15,0.012048,0.159104
1779703478.4128296,84,0.9915,0,24.3545,0.2925,26.0098,0.939322,0.2153,-22.45,0.011905,0.159104
1779703478.6751919,85,0.9942,0,24.3302,0.2888,25.9872,0.916148,0.2140,-21.55,0.011765,0.159104
1779703478.9209154,86,0.9965,0,24.4330,0.2866,25.9820,0.882098,0.1777,-20.59,0.011628,0.159104
1779703479.1992645,87,0.9982,0,24.7799,0.2873,26.0327,0.747378,0.2063,-19.39,0.011494,0.159104
1779703479.4467685,88,0.9987,0,24.8868,0.2853,26.0906,0.763697,0.1750,-17.98,0.011364,0.159104
1779703479.7297196,89,0.9987,0,24.8495,0.2816,26.1303,0.850116,0.1894,-16.06,0.011236,0.159104
1779703479.9894094,90,0.9984,0,24.7734,0.2777,26.1483,0.956378,0.1800,-13.30,0.011111,0.159104
1779703480.3068683,91,0.9981,0,24.7711,0.2746,26.1606,1.050657,0.2296,-11.35,0.010989,0.159104
1779703480.5502381,92,0.9980,0,24.6579,0.2704,26.1494,1.172434,0.1965,-9.42,0.010870,0.159104
1779703480.812659,93,0.9981,0,24.6819,0.2677,26.1416,1.312338,0.2035,-5.90,0.010753,0.159104
1779703481.061773,94,0.9983,0,24.6171,0.2642,26.1217,1.488701,0.1833,-2.38,0.010638,0.159104
1779703481.3231857,95,0.9985,0,24.5303,0.2605,26.0880,1.664555,0.1752,0.48,0.010526,0.159104
1779703481.6036685,96,0.9986,0,24.4459,0.2569,26.0432,1.777510,0.1867,2.03,0.010417,0.159104
1779703481.886288,97,0.9985,0,24.4496,0.2543,26.0040,1.834790,0.1930,2.90,0.010309,0.159104
1779703482.1445937,98,0.9982,0,24.4857,0.2521,25.9749,1.826727,0.1950,2.48,0.010204,0.159104
1779703482.4275026,99,0.9979,0,24.4895,0.2496,25.9490,1.742101,0.1992,0.39,0.010101,0.159104
1779703482.705648,100,0.9974,0,24.6425,0.2486,25.9509,1.595871,0.1966,-3.22,0.010000,0.159104
1779703482.9795024,101,0.9967,0,24.6798,0.2466,25.9568,1.430124,0.2042,-7.65,0.009901,0.159104
1779703483.2677636,102,0.9960,0,24.8439,0.2457,25.9872,1.207000,0.2251,-12.16,0.009804,0.159104
1779703483.5042999,103,0.9954,0,24.8517,0.2434,26.0123,0.993458,0.1948,-16.98,0.009709,0.159104
1779703483.7665496,104,0.9951,0,24.8196,0.2408,26.0261,0.838056,0.1836,-21.98,0.009615,0.159104
1779703484.044748,105,0.9950,0,24.6321,0.2368,26.0047,0.769819,0.1881,-26.30,0.009524,0.159104
1779703484.3362725,106,0.9952,0,24.3156,0.2316,25.9322,0.844809,0.2079,-27.19,0.009434,0.159104
1779703484.6466327,107,0.9955,0,23.9349,0.2259,25.8059,1.038890,0.2405,-24.67,0.009346,0.159104
1779703484.8580177,108,0.9958,0,23.4142,0.2190,25.6113,1.241066,0.1884,-20.31,0.009259,0.159104
1779703485.1333096,109,0.9961,0,22.8952,0.2122,25.3594,1.401891,0.1887,-15.54,0.009174,0.159104
1779703485.4013066,110,0.9964,0,22.4107,0.2059,25.0652,1.544273,0.1952,-10.89,0.009091,0.159104
