time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1779703455.0520618,1,-180.0000,2.777288,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0644436,1,-175.0000,2.475415,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0674214,1,-170.0000,2.191622,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0682971,1,-165.0000,1.926004,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0691118,1,-160.0000,1.678597,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0734508,1,-155.0000,1.449378,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0755203,1,-150.0000,1.238276,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0770826,1,-145.0000,1.045178,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0811243,1,-140.0000,0.869941,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0851977,1,-135.0000,0.712396,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0863874,1,-130.0000,0.572365,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0896993,1,-125.0000,0.449665,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0906103,1,-120.0000,0.344121,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.0982177,1,-115.0000,0.255571,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1022537,1,-110.0000,0.183877,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1056597,1,-105.0000,0.128932,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1065319,1,-100.0000,0.090660,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1075063,1,-95.0000,0.069024,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1083694,1,-90.0000,0.064024,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1123083,1,-85.0000,0.068086,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.113149,1,-80.0000,0.073669,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1141434,1,-75.0000,0.080881,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1150236,1,-70.0000,0.089859,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1192195,1,-65.0000,0.100756,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.120195,1,-60.0000,0.113741,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1210463,1,-55.0000,0.128985,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.121931,1,-50.0000,0.146653,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1252797,1,-45.0000,0.166895,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1292768,1,-40.0000,0.189833,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1323864,1,-35.0000,0.215556,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.133254,1,-30.0000,0.244109,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1341233,1,-25.0000,0.275485,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1349924,1,-20.0000,0.309621,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.135852,1,-15.0000,0.346390,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.136763,1,-10.0000,0.385599,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1377769,1,-5.0000,0.426990,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1452537,1,0.0000,0.470237,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1495554,1,5.0000,0.514953,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
1779703455.1550376,1,10.0000,0.560690,0,7.761223E-07,3.802007E-03,0,0.0194,0.0
