time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1779707866.5541942,1,0.0194,1,0.0000,0.0000,0.0000,0.063692,0.2378,18.45,29.40,1.92,1.000000,1.000000
1779707866.807213,2,0.0194,1,0.0000,0.0000,0.0000,0.066478,0.2203,18.13,28.73,1.96,0.500000,0.500000
1779707867.1005056,3,0.0193,1,0.0000,0.0000,0.0000,0.085134,0.2480,17.73,26.29,2.09,0.333333,0.333333
1779707867.376919,4,0.0192,1,0.0000,0.0000,0.0000,0.115255,0.2496,16.02,22.85,2.27,0.250000,0.250000
1779707867.6222517,5,0.0194,1,0.0000,0.0000,0.0000,0.123921,0.2236,13.62,20.66,2.34,0.200000,0.200000
1779707867.896103,6,0.0201,1,0.0000,0.0000,0.0000,0.109068,0.2197,12.41,21.15,2.27,0.166667,0.166667
1779707868.1139796,7,0.0237,1,0.0000,0.0000,0.0000,0.095093,0.1807,12.63,21.84,2.22,0.142857,0.159104
1779707868.3822305,8,0.0360,1,0.0000,0.0000,0.0000,0.127946,0.1913,13.80,21.17,2.22,0.125000,0.159104
1779707868.6557517,9,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.1963,14.69,18.60,2.29,0.111111,0.159104
1779707868.9233358,10,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.1921,14.48,15.17,2.36,0.100000,0.159104
1779707869.1799037,11,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.1865,13.78,12.87,2.33,0.090909,0.159104
1779707912.5594513,172,0.0937,1,0.0000,0.0000,0.0000,4.001778,0.1930,29.01,7.45,2.56,0.005814,0.159104
1779707912.8147924,173,0.0715,1,0.0000,0.0000,0.0000,0.186335,0.1962,29.34,14.55,2.32,0.005780,0.159104
1779707913.0938442,174,0.0478,1,0.0000,0.0000,0.0000,0.180769,0.2029,29.49,19.32,2.18,0.005760,0.159104
1779707913.355106,175,0.0295,1,0.0000,0.0000,0.0000,0.059078,0.1889,29.47,21.63,2.14,0.005760,0.159104
1779707913.6340363,176,0.0219,1,0.0000,0.0000,0.0000,0.046063,0.2028,29.39,21.65,2.18,0.005760,0.159104
1779707913.920877,177,0.0207,1,0.0000,0.0000,0.0000,0.064567,0.2139,29.36,20.68,2.25,0.005760,0.159104
1779707914.1890502,178,0.0202,1,0.0000,0.0000,0.0000,0.090339,0.2267,29.36,18.79,2.36,0.005760,0.159104
1779707914.4774814,179,0.0199,1,0.0000,0.0000,0.0000,0.125947,0.2348,29.28,16.12,2.51,0.005760,0.159104
1779707914.703872,180,0.0198,1,0.0000,0.0000,0.0000,0.170454,0.2036,29.16,12.90,2.68,0.005760,0.159104
1779707914.972819,181,0.0197,1,0.0000,0.0000,0.0000,0.222218,0.2011,29.02,9.32,2.87,0.005760,0.159104
1779707915.2400312,182,0.0197,1,0.0000,0.0000,0.0000,0.277594,0.2007,28.86,5.69,3.06,0.005760,0.159104
1779707915.4615188,183,0.0197,1,0.0000,0.0000,0.0000,0.331032,0.1561,28.71,2.35,3.23,0.005760,0.159104
1779707915.7713974,184,0.0196,1,0.0000,0.0000,0.0000,0.378274,0.2014,28.58,-0.48,3.37,0.005760,0.159104
1779707916.0471883,185,0.0196,1,0.0000,0.0000,0.0000,0.417853,0.2092,28.48,-2.73,3.48,0.005760,0.159104
1779707916.29631,186,0.0196,1,0.0000,0.0000,0.0000,0.448529,0.1826,28.39,-4.43,3.56,0.005760,0.159104
1779707916.5720718,187,0.0196,1,0.0000,0.0000,0.0000,0.468926,0.1911,28.33,-5.57,3.60,0.005760,0.159104
1779707916.8412135,188,0.0196,1,0.0000,0.0000,0.0000,0.479070,0.2070,28.29,-6.24,3.63,0.005760,0.159104
1779707917.1033893,189,0.0196,1,0.0000,0.0000,0.0000,0.480408,0.2002,28.27,-6.55,3.63,0.005760,0.159104
1779707917.3700583,190,0.0196,1,0.0000,0.0000,0.0000,0.475186,0.2063,28.26,-6.62,3.62,0.005760,0.159104
1779707917.6281414,191,0.0196,1,0.0000,0.0000,0.0000,0.467450,0.1960,28.26,-6.60,3.61,0.005760,0.159104
1779707917.8929296,192,0.0197,1,0.0000,0.0000,0.0000,0.460045,0.2034,28.25,-6.59,3.60,0.005760,0.159104
