time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779715113.5978482,1,0.0194,1,0.0000,0.0000,0.0000,0.060105,0.1736,20.26,28.24,-8.32,1.000000,1.000000,0,0
1779715113.8640637,2,0.0194,1,0.0000,0.0000,0.0000,0.062584,0.1781,19.74,27.70,-7.78,0.500000,0.500000,0,0
1779715114.1158288,3,0.0193,1,0.0000,0.0000,0.0000,0.078853,0.1721,18.86,25.55,-6.41,0.333333,0.333333,0,0
1779715114.400986,4,0.0192,1,0.0000,0.0000,0.0000,0.102681,0.1871,16.67,22.50,-4.44,0.250000,0.250000,0,0
1779715114.6574154,5,0.0194,1,0.0000,0.0000,0.0000,0.107441,0.1769,14.05,20.47,-3.09,0.200000,0.200000,0,0
1779715114.9249709,6,0.0201,1,0.0000,0.0000,0.0000,0.095029,0.1814,12.81,20.98,-2.83,0.166667,0.166667,0,0
1779715115.1622484,7,0.0237,1,0.0000,0.0000,0.0000,0.082827,0.1654,13.09,21.62,-3.13,0.142857,0.159104,0,0
1779715115.4681392,8,0.0360,1,0.0000,0.0000,0.0000,0.086408,0.2069,14.30,20.88,-3.41,0.125000,0.159104,0,0
1779715115.7048957,9,0.0540,1,0.0000,0.0000,0.0000,0.299496,0.1732,14.98,18.38,-2.84,0.111111,0.159104,0,0
1779715115.9811413,10,0.0763,1,0.0000,0.0000,0.0000,0.335393,0.1955,14.54,15.13,-1.66,0.100000,0.159104,0,0
1779715116.2469738,11,0.0992,1,0.0000,0.0000,0.0000,0.287349,0.1792,13.81,12.93,-0.88,0.090909,0.159104,0,0
1779715116.5021243,12,0.1216,0,-14.7580,-0.1495,-0.4321,0.202940,0.1716,13.50,13.08,-1.09,0.083333,0.159104,0,0
1779715116.751467,13,0.1436,0,-11.8587,-0.1158,-0.8064,0.152016,0.1630,13.98,14.05,-1.59,0.076923,0.159104,0,0
1779715117.0297687,14,0.1664,0,-9.5077,-0.0865,-1.1210,0.149692,0.1619,13.95,14.14,-1.85,0.071429,0.159104,0,0
1779715117.277077,15,0.1894,0,-7.7395,-0.0631,-1.3817,0.140363,0.1496,13.83,13.85,-1.98,0.066667,0.159104,0,0
1779715117.5591757,16,0.2105,0,-6.5233,-0.0463,-1.5986,0.120922,0.1710,13.17,13.28,-1.77,0.062500,0.159104,0,0
1779715117.8087842,17,0.2283,0,-5.9330,-0.0377,-1.7924,0.090548,0.1643,12.47,12.23,-1.39,0.058824,0.159104,0,0
1779715118.1242962,18,0.2419,0,-5.8960,-0.0367,-1.9856,0.068790,0.2049,12.24,10.64,-1.04,0.055556,0.159104,0,0
1779715118.3510885,19,0.2516,0,-5.7367,-0.0341,-2.1685,0.047904,0.1714,10.48,9.25,-1.09,0.052632,0.159104,0,0
1779715118.6232798,20,0.2584,0,-5.4977,-0.0306,-2.3347,0.040865,0.1649,7.92,7.60,-1.25,0.050000,0.159104,0,0
1779715118.8898647,21,0.2628,0,-5.3056,-0.0278,-2.4856,0.043077,0.1719,5.42,5.76,-1.09,0.047619,0.159104,0,0
1779715119.1760135,22,0.2642,0,-5.1563,-0.0257,-2.6224,0.048439,0.1826,2.42,3.78,-0.53,0.045455,0.159104,0,0
1779715119.4243057,23,0.2628,0,-4.9491,-0.0230,-2.7418,0.059425,0.1661,-2.02,2.05,0.40,0.043478,0.159104,0,0
1779715119.6680024,24,0.2597,0,-4.6625,-0.0197,-2.8400,0.072242,0.1535,-7.02,1.03,1.35,0.041667,0.159104,0,0
1779715119.9582417,25,0.2561,0,-4.0504,-0.0132,-2.9020,0.082588,0.1725,-11.90,1.35,1.85,0.040000,0.159104,0,0
1779715120.2333074,26,0.2518,0,-3.1256,-0.0041,-2.9148,0.056217,0.1773,-15.95,3.11,1.74,0.038462,0.159104,0,0
1779715120.4862664,27,0.2474,0,-2.7266,-0.0004,-2.9078,0.034673,0.1702,-16.29,4.82,1.68,0.037037,0.159104,0,0
1779715120.7566438,28,0.2434,0,-2.9723,-0.0025,-2.9128,0.054088,0.1743,-13.01,5.84,1.85,0.035714,0.159104,0,0
1779715121.040908,29,0.2398,0,-3.6533,-0.0081,-2.9488,0.089557,0.1936,-9.11,5.64,2.01,0.034483,0.159104,0,0
1779715121.2890782,30,0.2366,0,-4.8031,-0.0171,-3.0351,0.129098,0.1671,-4.39,4.22,2.30,0.033333,0.159104,0,0
1779715121.558861,31,0.2341,0,-6.2503,-0.0279,-3.1818,0.145661,0.1672,1.92,2.53,2.67,0.032258,0.159104,0,0
1779715121.8320093,32,0.2321,0,-7.7906,-0.0389,-3.3895,0.133740,0.1832,8.36,0.69,3.09,0.031250,0.159104,0,0
1779715122.112303,33,0.2301,0,-9.4360,-0.0501,-3.6591,0.088292,0.1958,14.78,-1.28,3.50,0.030303,0.159104,0,0
1779715122.3625119,34,0.2290,0,-10.9211,-0.0598,-3.9813,0.034932,0.1649,20.67,-3.22,3.97,0.029412,0.159104,0,0
1779715122.6113904,35,0.2283,0,-11.9549,-0.0661,-4.3347,0.016924,0.1575,24.44,-4.97,4.67,0.028571,0.159104,0,0
1779715122.9160788,36,0.2269,0,-12.8494,-0.0714,-4.7109,0.018781,0.1934,25.14,-7.05,5.42,0.027778,0.159104,0,0
1779715123.177321,37,0.2251,0,-13.7178,-0.0762,-5.1069,0.023221,0.1818,23.67,-9.52,5.65,0.027027,0.159104,0,0
1779715123.4191809,38,0.2245,0,-14.2019,-0.0786,-5.5076,0.023727,0.1625,20.92,-11.41,5.32,0.026316,0.159104,0,0
1779715123.708343,39,0.2258,0,-13.7430,-0.0755,-5.8762,0.043978,0.1753,17.12,-11.41,4.68,0.025641,0.159104,0,0
1779715123.9699404,40,0.2281,0,-12.4763,-0.0679,-6.1811,0.118083,0.1848,13.55,-8.91,3.84,0.025000,0.159104,0,0
1779715124.248135,41,0.2303,0,-11.0443,-0.0594,-6.4165,0.201752,0.2018,11.15,-4.08,2.29,0.024390,0.159104,0,0
1779715124.51065,42,0.2316,0,-9.7736,-0.0521,-6.5904,0.253255,0.1958,11.19,2.47,-1.33,0.023810,0.159104,0,0
1779715124.8001838,43,0.2330,0,-8.4055,-0.0444,-6.7004,0.269658,0.2060,13.31,10.26,-7.08,0.023256,0.159104,0,0
1779715125.0411274,44,0.2352,0,-6.6352,-0.0347,-6.7314,0.239394,0.1875,17.13,19.04,-13.71,0.022727,0.159104,0,0
1779715125.3728037,45,0.2377,0,-4.5357,-0.0234,-6.6709,0.165648,0.2444,22.51,28.44,-19.78,0.022222,0.159104,0,0
1779715125.6149035,46,0.2388,0,-2.2974,-0.0117,-6.5160,0.073985,0.2018,27.43,37.06,-24.11,0.021739,0.159104,0,0
1779715125.9388392,47,0.2374,0,-0.7869,-0.0040,-6.3034,0.022563,0.2320,31.55,42.81,-26.85,0.021277,0.159104,0,0
