time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779716464.9538672,1,0.9995,0,24.0777,24.0661,24.0777,1.270078,0.2209,-9.12,1.000000,1.000000,0,0
1779716465.175666,2,0.9995,0,23.8881,11.9442,29.9580,1.281554,0.2042,-10.33,0.500000,0.500000,0,0
1779716465.4639482,3,0.9995,0,23.8548,7.9538,33.2287,1.233733,0.2239,-11.79,0.333333,0.333333,0,0
1779716465.7458398,4,0.9994,0,23.8120,5.9559,35.3437,1.192938,0.2404,-13.04,0.250000,0.250000,0,0
1779716465.9839244,5,0.9994,0,23.9943,4.8019,36.9173,1.267426,0.2143,-13.06,0.200000,0.200000,0,0
1779716466.2542677,6,0.9994,0,23.9131,3.9885,38.0754,1.349100,0.2225,-12.12,0.166667,0.166667,0,0
1779716466.5234797,7,0.9994,0,23.8921,3.4161,38.6930,1.382077,0.2247,-11.62,0.142857,0.159104,0,0
1779716466.8276284,8,0.9993,0,23.9709,2.9992,38.8747,1.345847,0.2613,-12.05,0.125000,0.159104,0,0
1779716467.2816396,9,0.9992,0,24.2736,2.6998,38.8241,1.192497,0.2015,-12.55,0.111111,0.159104,0,0
1779716467.5715399,10,0.9992,0,24.4369,2.4464,38.5943,1.216597,0.2152,-10.70,0.100000,0.159104,0,0
1779716467.8313584,11,0.9993,0,24.4558,2.2259,38.2183,1.280216,0.2178,-8.59,0.090909,0.159104,0,0
1779716468.1228604,12,0.9992,0,24.2674,2.0248,37.7034,1.314689,0.2430,-6.33,0.083333,0.159104,0,0
1779716468.3665445,13,0.9989,0,24.2794,1.8702,37.1429,1.352576,0.2141,-4.67,0.076923,0.159104,0,0
1779716468.6272924,14,0.9986,0,24.3440,1.7414,36.5742,1.393423,0.2063,-2.70,0.071429,0.159104,0,0
1779716468.8826017,15,0.9984,0,24.4368,1.6316,36.0186,1.432768,0.2000,-1.29,0.066667,0.159104,0,0
1779716469.1769063,16,0.9986,0,24.5042,1.5340,35.4796,1.451719,0.2152,-0.51,0.062500,0.159104,0,0
1779716469.4415512,17,0.9986,0,24.5997,1.4495,34.9702,1.451400,0.2244,0.61,0.058824,0.159104,0,0
1779716469.7197719,18,0.9985,0,24.5111,1.3642,34.4562,1.445813,0.2265,0.15,0.055556,0.159104,0,0
1779716469.971544,19,0.9984,0,24.3857,1.2859,33.9381,1.463701,0.2056,-0.59,0.052632,0.159104,0,0
1779716470.2537158,20,0.9986,0,24.0631,1.2056,33.3832,1.665962,0.2079,0.42,0.050000,0.159104,0,0
1779716470.505807,21,0.9990,0,23.7760,1.1346,32.8105,1.838610,0.2114,3.06,0.047619,0.159104,0,0
1779716470.7587347,22,0.9994,0,23.3668,1.0645,32.2041,1.999137,0.1953,5.92,0.045455,0.159104,0,0
1779716471.0406635,23,0.9997,0,22.7953,0.9934,31.5430,2.126922,0.2116,10.13,0.043478,0.159104,0,0
1779716471.318447,24,0.9997,0,22.2699,0.9301,30.8502,2.262471,0.2136,15.20,0.041667,0.159104,0,0
1779716471.584775,25,0.9998,0,21.7390,0.8717,30.1340,2.305908,0.2164,18.99,0.040000,0.159104,0,0
1779716471.829995,26,0.9999,0,21.5334,0.8303,29.4639,2.427979,0.1999,24.30,0.038462,0.159104,0,0
1779716472.106707,27,1.0000,0,21.6199,0.8027,28.8910,2.659709,0.2149,30.87,0.037037,0.159104,0,0
