time,window_index,tested_yaw_deg,cost_val,is_best,movement_var_parent,movement_var_child,is_flat_valley,r_w,best_yaw_deg
1779800999.4110785,1,-180.0000,0.535185,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4136572,1,-175.0000,0.480348,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4145617,1,-170.0000,0.430901,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4162982,1,-165.0000,0.386846,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4182827,1,-160.0000,0.348110,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4207478,1,-155.0000,0.314559,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.423728,1,-150.0000,0.286009,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.425352,1,-145.0000,0.262245,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4264054,1,-140.0000,0.243034,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.427372,1,-135.0000,0.228135,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4302747,1,-130.0000,0.217321,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4325638,1,-125.0000,0.210385,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4333887,1,-120.0000,0.207150,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4342337,1,-115.0000,0.207482,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4359787,1,-110.0000,0.211291,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4368887,1,-105.0000,0.218537,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.438811,1,-100.0000,0.229231,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.441805,1,-95.0000,0.243430,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.445775,1,-90.0000,0.261236,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4474747,1,-85.0000,0.282787,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4482794,1,-80.0000,0.308245,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.449211,1,-75.0000,0.337793,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4514182,1,-70.0000,0.371612,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4527586,1,-65.0000,0.409875,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4541082,1,-60.0000,0.452729,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4619877,1,-55.0000,0.500281,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.465313,1,-50.0000,0.552586,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4677665,1,-45.0000,0.609632,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4698906,1,-40.0000,0.671326,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4718533,1,-35.0000,0.737491,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4748316,1,-30.0000,0.807853,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4765952,1,-25.0000,0.882038,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4789603,1,-20.0000,0.959568,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.480786,1,-15.0000,1.039865,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4840999,1,-10.0000,1.122255,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4867902,1,-5.0000,1.205970,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4885712,1,0.0000,1.290164,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4895291,1,5.0000,1.373922,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4905934,1,10.0000,1.456279,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4929252,1,15.0000,1.536233,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4946375,1,20.0000,1.612765,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.495445,1,25.0000,1.684863,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4962373,1,30.0000,1.751537,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4980085,1,35.0000,1.811846,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.4988828,1,40.0000,1.864912,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.501837,1,45.0000,1.909946,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.5037103,1,50.0000,1.946260,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.5046077,1,55.0000,1.973286,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
1779800999.5064552,1,60.0000,1.990590,0,3.646857E-07,1.017503E-02,0,0.0255,0.0
