time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779803646.1789672,1,0.9976,0,11.4101,11.3824,11.4100,0.280913,0.2719,-19.84,1.000000,1.000000,0,0
1779803646.5929823,2,0.9976,0,11.4117,5.7058,14.2707,0.279907,0.1895,-19.84,0.500000,0.500000,0,0
1779803646.8521714,3,0.9976,0,11.4125,3.8088,15.8625,0.279394,0.2033,-19.84,0.333333,0.333333,0,0
1779803647.0978115,4,0.9976,0,11.4135,2.8591,16.8991,0.278918,0.2015,-19.84,0.250000,0.250000,0,0
1779803647.3715262,5,0.9976,0,11.4148,2.2890,17.6372,0.278535,0.2131,-19.84,0.200000,0.200000,0,0
1779803647.6455433,6,0.9976,0,11.4156,1.9085,18.1940,0.278179,0.2466,-19.83,0.166667,0.166667,0,0
1779803647.8651807,7,0.9976,0,11.4164,1.6367,18.4952,0.277712,0.2034,-19.83,0.142857,0.159104,0,0
1779803648.0975268,8,0.9976,0,11.4172,1.4327,18.5771,0.277352,0.1945,-19.83,0.125000,0.159104,0,0
1779803648.3583121,9,0.9976,0,11.4182,1.2740,18.5126,0.276970,0.2114,-19.83,0.111111,0.159104,0,0
1779803648.6671722,10,0.9976,0,11.4193,1.1470,18.3518,0.276708,0.2602,-19.83,0.100000,0.159104,0,0
1779803649.1292229,11,0.9976,0,11.4207,1.0431,18.1292,0.276499,0.2319,-19.83,0.090909,0.159104,0,0
1779803649.3603234,12,0.9976,0,11.4211,0.9564,17.8692,0.276574,0.2087,-19.83,0.083333,0.159104,0,0
1779803649.6102793,13,0.9976,0,11.4217,0.8831,17.5888,0.276793,0.2105,-19.83,0.076923,0.159104,0,0
1779803649.8472064,14,0.9976,0,11.4220,0.8202,17.3000,0.277202,0.1855,-19.83,0.071429,0.159104,0,0
1779803650.0959325,15,0.9976,0,11.4223,0.7657,17.0113,0.277629,0.1852,-19.83,0.066667,0.159104,0,0
1779803650.3534796,16,0.9976,0,11.3701,0.7147,16.7171,0.296228,0.2056,-19.84,0.062500,0.159104,0,0
1779803650.6056564,17,0.9976,0,11.2926,0.6682,16.4183,0.300329,0.1998,-19.94,0.058824,0.159104,0,0
1779803650.8711922,18,0.9975,0,11.3284,0.6331,16.1432,0.298305,0.2120,-20.01,0.055556,0.159104,0,0
