time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779803646.1316786,1,0.1302,0,13.8902,1.8085,3.3815,0.000000,0.2226,22.13,58.13,-2.06,1.000000,1.000000,0,0
1779803646.2635202,2,0.1302,0,13.8853,1.6904,5.6456,0.000000,0.1064,22.41,55.89,-1.54,0.500000,0.500000,0,0
1779803646.5933564,3,0.1302,0,13.8814,1.6169,7.5497,0.000000,0.1883,22.60,54.00,-1.15,0.333333,0.333333,0,0
1779803646.8510492,4,0.1302,0,13.8774,1.5641,9.2689,0.000000,0.1962,22.75,52.30,-0.81,0.250000,0.250000,0,0
1779803647.0959117,5,0.1302,0,13.8732,1.5233,10.8724,0.000000,0.1919,22.87,50.71,-0.51,0.200000,0.200000,0,0
1779803647.3383749,6,0.1302,0,13.8705,1.4902,12.3954,0.000000,0.1748,22.97,49.20,-0.25,0.166667,0.166667,0,0
1779803647.6189601,7,0.1302,0,13.8675,1.4624,13.8580,0.000000,0.2152,23.05,47.75,-0.00,0.142857,0.159104,0,0
1779803647.85587,8,0.1302,0,13.8620,1.4385,15.2668,0.000000,0.1901,23.12,46.35,0.23,0.125000,0.159104,0,0
1779803648.0768287,9,0.1302,0,13.8609,1.4177,16.6261,0.000000,0.1719,23.18,45.00,0.44,0.111111,0.159104,0,0
1779803648.3493624,10,0.1302,0,13.8576,1.3992,17.9390,0.000000,0.1990,23.23,43.70,0.64,0.100000,0.159104,0,0
1779803648.6138475,11,0.1302,0,13.8525,1.3826,19.2083,0.000000,0.2093,23.27,42.44,0.82,0.090909,0.159104,0,0
1779803648.7625828,12,0.1302,0,13.8501,1.3676,20.4366,0.000000,0.1138,23.30,41.22,1.00,0.083333,0.159104,0,0
1779803649.1094234,13,0.1302,0,13.8515,1.3539,21.6261,0.000000,0.2076,23.32,40.04,1.16,0.076923,0.159104,0,0
1779803649.336742,14,0.1302,0,13.8530,1.3413,22.7787,0.000000,0.1852,23.34,38.90,1.32,0.071429,0.159104,0,0
1779803649.586443,15,0.1302,0,13.8589,1.3297,23.8962,0.000001,0.1858,23.36,37.79,1.47,0.066667,0.159104,0,0
1779803649.828765,16,0.1302,0,13.8681,1.3190,24.9801,0.000001,0.1684,23.37,36.71,1.61,0.062500,0.159104,0,0
1779803650.093229,17,0.1302,0,13.8763,1.3090,26.0320,0.000002,0.1815,23.38,35.67,1.75,0.058824,0.159104,0,0
1779803650.350629,18,0.1302,0,13.8866,1.2996,27.0531,0.000002,0.2003,23.38,34.66,1.88,0.055556,0.159104,0,0
1779803650.6068559,19,0.1301,0,13.5270,1.2882,28.0346,0.002892,0.1920,23.40,33.39,2.04,0.052632,0.159104,0,0
1779803650.8449357,20,0.1301,0,10.9193,1.2629,28.9171,0.060444,0.1750,23.49,30.60,2.41,0.050000,0.159104,0,0
