time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779806452.1698318,1,0.1313,0,-47.8858,-6.2891,-11.7522,0.001173,0.1634,18.31,-19.11,4.84,1.000000,1.000000,0,0
1779806452.4084651,2,0.1315,0,-47.6732,-5.8617,-19.5900,0.001031,0.1551,20.22,-11.03,3.69,0.500000,0.500000,0,0
1779806452.6662939,3,0.1314,0,-47.7133,-5.6067,-26.1828,0.000974,0.1645,19.35,-4.10,2.81,0.333333,0.333333,0,0
1779806452.9063897,4,0.1314,0,-47.7262,-5.4230,-32.1352,0.000971,0.1536,19.36,1.95,2.04,0.250000,0.250000,0,0
1779806453.17286,5,0.1314,0,-47.6179,-5.2776,-37.6811,0.001181,0.1733,20.90,7.31,1.31,0.200000,0.200000,0,0
1779806453.3974152,6,0.1314,0,-47.6495,-5.1627,-42.9491,0.001119,0.1506,20.54,12.74,0.63,0.166667,0.166667,0,0
1779806453.6569264,7,0.1313,0,-47.5683,-5.0644,-48.0041,0.001034,0.1511,20.36,18.42,-0.06,0.142857,0.159104,0,0
1779806453.9223797,8,0.1314,0,-47.3680,-4.9779,-52.8646,0.000459,0.1729,21.38,23.95,-0.78,0.125000,0.159104,0,0
1779806454.1857064,9,0.1314,0,-47.3067,-4.9043,-57.5502,0.000270,0.1823,20.98,29.22,-1.50,0.111111,0.159104,0,0
1779806454.4269066,10,0.1313,0,-47.3434,-4.8404,-62.0764,0.000233,0.1682,20.27,34.02,-2.24,0.100000,0.159104,0,0
1779806454.6759279,11,0.1313,0,-47.2802,-4.7819,-66.4492,0.000135,0.1782,20.87,38.33,-3.03,0.090909,0.159104,0,0
1779806454.9207256,12,0.1313,0,-47.3122,-4.7299,-70.6804,0.000096,0.1676,20.47,42.36,-3.87,0.083333,0.159104,0,0
1779806455.1640687,13,0.1313,0,-47.3975,-4.6830,-74.7792,0.000005,0.1517,19.47,46.31,-4.78,0.076923,0.159104,0,0
1779806455.4194174,14,0.1313,0,-47.4151,-4.6392,-78.7499,0.000005,0.1588,18.76,50.18,-5.80,0.071429,0.159104,0,0
1779806455.6642277,15,0.1313,0,-47.4466,-4.5989,-82.5988,0.000011,0.1551,17.93,53.89,-6.94,0.066667,0.159104,0,0
1779806455.9402986,16,0.1313,0,-47.5235,-4.5618,-86.3325,0.000074,0.1853,16.95,57.19,-8.21,0.062500,0.159104,0,0
1779806456.1595688,17,0.1313,0,-47.6262,-4.5274,-89.9568,0.000178,0.1555,15.76,60.19,-9.63,0.058824,0.159104,0,0
1779806456.4038403,18,0.1313,0,-47.7438,-4.4952,-93.4766,0.000270,0.1490,14.05,63.14,-11.29,0.055556,0.159104,0,0
1779806456.6605942,19,0.1312,0,-47.8605,-4.4650,-96.8963,0.000305,0.1575,11.66,66.10,-13.28,0.052632,0.159104,0,0
1779806456.92189,20,0.1311,0,-47.9721,-4.4364,-100.2196,0.000288,0.1658,8.78,68.93,-15.71,0.050000,0.159104,0,0
1779806457.1684852,21,0.1310,0,-48.1048,-4.4096,-103.4508,0.000274,0.1653,5.21,71.52,-18.64,0.047619,0.159104,0,0
1779806457.4083726,22,0.1309,0,-48.2600,-4.3843,-106.5940,0.000236,0.1484,0.42,73.97,-22.27,0.045455,0.159104,0,0
1779806457.6914265,23,0.1308,0,-48.4142,-4.3602,-109.6527,0.000154,0.1749,-6.10,76.33,-27.03,0.043478,0.159104,0,0
