time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w,valley_jump_occurred,seed_lost_occurred
1779872844.9283617,1,0.9863,0,115.5415,113.9616,115.5199,0.397876,0.2017,-19.42,1.000000,1.000000,0,0
1779872845.1446068,2,0.9863,0,115.5395,57.7590,144.8040,0.397730,0.1938,-19.42,0.500000,0.500000,0,0
1779872845.3961127,3,0.9863,0,115.5376,38.7687,161.2045,0.397364,0.1925,-19.42,0.333333,0.333333,0,0
1779872845.6935542,4,0.9863,0,115.5359,29.2087,171.9500,0.396919,0.2368,-19.42,0.250000,0.250000,0,0
1779872845.9124393,5,0.9863,0,115.5347,23.4467,179.6428,0.396558,0.2075,-19.42,0.200000,0.200000,0,0
1779872846.1557415,6,0.9863,0,115.5338,19.5922,185.4757,0.396155,0.1993,-19.42,0.166667,0.166667,0,0
1779872846.4098265,7,0.9863,0,115.5330,16.8315,188.6900,0.395805,0.2057,-19.42,0.142857,0.159104,0,0
1779872846.6610343,8,0.9863,0,115.5322,14.7563,189.6503,0.395476,0.2139,-19.42,0.125000,0.159104,0,0
1779872846.902295,9,0.9863,0,115.5314,13.1390,189.0964,0.395208,0.1987,-19.42,0.111111,0.159104,0,0
1779872847.1631348,10,0.9863,0,115.5311,11.8431,187.5368,0.395030,0.2136,-19.42,0.100000,0.159104,0,0
1779872847.4144886,11,0.9863,0,115.5309,10.7812,185.3266,0.395027,0.2119,-19.42,0.090909,0.159104,0,0
1779872847.6663,12,0.9863,0,115.5308,9.8950,182.7161,0.395267,0.2141,-19.42,0.083333,0.159104,0,0
1779872847.9280193,13,0.9863,0,115.5306,9.1443,179.8823,0.395603,0.2150,-19.42,0.076923,0.159104,0,0
1779872848.1624444,14,0.9863,0,115.5305,8.5001,176.9500,0.395976,0.2030,-19.42,0.071429,0.159104,0,0
1779872848.4121585,15,0.9863,0,115.5304,7.9411,174.0066,0.396197,0.1989,-19.43,0.066667,0.159104,0,0
1779872848.6722271,16,0.9863,0,115.5304,7.4516,171.1124,0.396413,0.2208,-19.43,0.062500,0.159104,0,0
1779872848.9101362,17,0.9863,0,115.5021,7.0176,168.3020,0.402188,0.1979,-19.43,0.058824,0.159104,0,0
1779872849.1650143,18,0.9862,0,115.4993,6.6330,165.6093,0.437764,0.2124,-19.42,0.055556,0.159104,0,0
1779872849.4096677,19,0.9859,0,115.3969,6.2835,163.0308,0.497542,0.2044,-19.43,0.052632,0.159104,0,0
1779872849.6525471,20,0.9859,0,114.9473,5.9516,160.5068,0.739101,0.1936,-19.50,0.050000,0.159104,0,0
1779872849.9238095,21,0.9863,0,114.6689,5.6590,158.0850,0.833194,0.2165,-19.54,0.047619,0.159104,0,0
1779872850.1523347,22,0.9869,0,114.5610,5.4003,155.8032,0.881517,0.1881,-19.35,0.045455,0.159104,0,0
1779872850.388293,23,0.9877,0,114.6410,5.1718,153.6941,0.881855,0.1793,-17.02,0.043478,0.159104,0,0
1779872850.637576,24,0.9886,0,114.8553,4.9676,151.7715,0.931673,0.1856,-13.13,0.041667,0.159104,0,0
1779872850.9102678,25,0.9898,0,115.0952,4.7805,150.0232,1.094923,0.2010,-7.15,0.040000,0.159104,0,0
1779872851.1748247,26,0.9914,0,115.3521,4.6080,148.4357,1.433460,0.2223,0.60,0.038462,0.159104,0,0
1779872851.3913198,27,0.9931,0,115.6981,4.4512,147.0110,1.736284,0.1889,8.33,0.037037,0.159104,0,0
1779872851.7103794,28,0.9945,0,116.4203,4.3188,145.8059,1.600076,0.2443,14.79,0.035714,0.159104,0,0
1779872852.1657977,29,0.9960,0,117.2248,4.1981,144.8095,1.170579,0.2081,21.67,0.034483,0.159104,0,0
1779872852.4329019,30,0.9964,0,117.3180,4.0617,143.8691,1.127116,0.2254,21.94,0.033333,0.159104,0,0
