time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778265286.0361128,1,0.9996,0,24.1304,24.1304,24.1304,0.629163,0.0085,-8.13,1.000000,1.000000
1778265286.0673263,2,0.9995,0,24.1745,12.0873,30.1961,0.563522,0.0068,-11.21,0.500000,0.500000
1778265286.0974398,3,0.9994,0,24.1935,8.0645,33.5715,0.519792,0.0081,-13.84,0.333333,0.333333
1778265286.1250694,4,0.9994,0,24.0767,6.0192,35.7122,0.549272,0.0068,-13.24,0.250000,0.250000
1778265286.1544788,5,0.9995,0,24.0249,4.8050,37.2187,0.640576,0.0081,-10.10,0.200000,0.200000
1778265286.1860757,6,0.9995,0,23.6015,3.9336,38.2272,0.708045,0.0081,-9.44,0.166667,0.166667
1778265286.2170312,7,0.9995,0,23.5160,3.3594,38.7115,0.699978,0.0082,-9.73,0.142857,0.159104
1778265286.2479098,8,0.9994,0,23.5473,2.9434,38.7739,0.635142,0.0082,-12.84,0.125000,0.159104
1778265286.2796812,9,0.9993,0,23.9637,2.6626,38.6566,0.626737,0.0084,-16.03,0.111111,0.159104
1778265286.3137634,10,0.9993,0,24.2246,2.4225,38.3974,0.629249,0.0083,-14.79,0.100000,0.159104
1778265286.345898,11,0.9993,0,24.2684,2.2062,38.0047,0.664883,0.0082,-13.50,0.090909,0.159104
1778265286.382643,12,0.9992,0,24.3948,2.0329,37.5487,0.688864,0.0082,-11.26,0.083333,0.159104
1778265286.4127495,13,0.9991,0,24.0797,1.8523,36.9633,0.629888,0.0082,-10.06,0.076923,0.159104
1778265286.4419453,14,0.9991,0,24.3226,1.7373,36.4131,0.562956,0.0086,-10.30,0.071429,0.159104
1778265286.4694881,15,0.9992,0,24.6051,1.6403,35.9137,0.548264,0.0082,-7.91,0.066667,0.159104
1778265286.497042,16,0.9994,0,24.5168,1.5323,35.3889,0.590899,0.0083,-5.93,0.062500,0.159104
1778265286.5245697,17,0.9993,0,24.4551,1.4385,34.8590,0.680515,0.0083,-2.61,0.058824,0.159104
1778265286.552192,18,0.9987,0,24.2363,1.3465,34.3011,0.789393,0.0083,0.96,0.055556,0.159104
1778265286.580564,19,0.9979,0,24.0824,1.2675,33.7411,0.836849,0.0081,2.50,0.052632,0.159104
1778265286.6072333,20,0.9975,0,24.3566,1.2178,33.2721,0.841088,0.0080,3.35,0.050000,0.159104
1778265286.6338282,21,0.9978,0,24.5534,1.1692,32.8681,0.770910,0.0080,1.59,0.047619,0.159104
1778265286.661668,22,0.9984,0,24.9632,1.1347,32.5645,0.645940,0.0080,0.26,0.045455,0.159104
1778265286.6899443,23,0.9990,0,24.9402,1.0844,32.2633,0.586611,0.0081,-2.23,0.043478,0.159104
1778265286.7180681,24,0.9994,0,24.4149,1.0173,31.8700,0.622510,0.0081,-4.53,0.041667,0.159104
1778265286.7454264,25,0.9994,0,23.5709,0.9428,31.3424,0.865773,0.0082,-0.69,0.040000,0.159104
1778265286.7723615,26,0.9995,0,22.5836,0.8686,30.6793,1.020973,0.0081,5.95,0.038462,0.159104
1778265286.7996264,27,0.9998,0,21.7887,0.8070,29.9433,1.111454,0.0082,14.14,0.037037,0.159104
1778265286.825877,28,1.0000,0,21.1742,0.7562,29.1840,1.186237,0.0074,24.79,0.035714,0.159104
1778265286.852824,29,1.0000,0,20.9707,0.7231,28.4853,1.192009,0.0082,31.06,0.034483,0.159104
1778265286.8805852,30,1.0000,0,20.8958,0.6965,27.8635,1.198703,0.0082,32.02,0.033333,0.159104
1778265286.9080744,31,1.0000,0,21.2784,0.6864,27.3930,1.308641,0.0083,34.47,0.032258,0.159104
1778265286.9358091,32,1.0000,0,22.0657,0.6896,27.1252,1.449405,0.0084,36.95,0.031250,0.159104
1778265286.9635262,33,1.0000,0,23.0416,0.6982,27.0627,1.415010,0.0082,33.93,0.030303,0.159104
1778265286.9914584,34,1.0000,0,24.0453,0.7072,27.1773,1.190909,0.0083,27.30,0.029412,0.159104
1778265287.019063,35,0.9999,0,24.6558,0.7045,27.3685,0.889715,0.0082,16.49,0.028571,0.159104
1778265287.046363,36,0.9998,0,24.9222,0.6923,27.5614,0.567991,0.0081,0.48,0.027778,0.159104
1778265287.0736687,37,0.9997,0,25.0186,0.6762,27.7254,0.351873,0.0081,-11.22,0.027027,0.159104
1778265287.1009927,38,0.9996,0,25.0317,0.6587,27.8508,0.260822,0.0083,-17.52,0.026316,0.159104
1778265287.128283,39,0.9995,0,25.0159,0.6414,27.9391,0.234452,0.0081,-19.77,0.025641,0.159104
1778265287.155534,40,0.9994,0,25.0549,0.6264,28.0069,0.268231,0.0081,-17.14,0.025000,0.159104
1778265287.1826785,41,0.9991,0,24.9810,0.6093,28.0378,0.342053,0.0081,-13.40,0.024390,0.159104
1778265287.2098763,42,0.9987,0,24.7672,0.5897,28.0133,0.476784,0.0081,-6.78,0.023810,0.159104
1778265287.2371712,43,0.9987,0,24.4278,0.5681,27.9206,0.743248,0.0082,2.26,0.023256,0.159104
1778265287.2644377,44,0.9988,0,23.7005,0.5386,27.7021,1.112322,0.0082,12.30,0.022727,0.159104
1778265287.2927516,45,0.9981,0,22.7838,0.5063,27.3453,1.543863,0.0077,25.12,0.022222,0.159104
1778265287.32401,46,0.9959,0,22.4567,0.4882,26.9781,1.797171,0.0081,38.53,0.021739,0.159104
1778265287.3575995,47,0.9919,0,22.0479,0.4691,26.5881,1.950831,0.0081,47.22,0.021277,0.159104
1778265287.3914967,48,0.9873,0,22.2311,0.4631,26.2843,1.995565,0.0081,50.66,0.020833,0.159104
1778265287.4290779,49,0.9837,0,22.5964,0.4612,26.0854,1.933775,0.0094,51.83,0.020408,0.159104
1778265287.4626873,50,0.9828,0,22.4998,0.4500,25.8933,1.941007,0.0094,51.38,0.020000,0.159104
1778265287.4902124,51,0.9846,0,22.7228,0.4455,25.7635,1.907049,0.0084,52.87,0.019608,0.159104
1778265287.5204148,52,0.9873,0,22.9285,0.4409,25.6832,1.904321,0.0081,57.72,0.019231,0.159104
1778265287.5500247,53,0.9897,0,23.2972,0.4396,25.6732,1.857631,0.0081,60.91,0.018868,0.159104
1778265287.5784564,54,0.9912,0,23.4755,0.4347,25.6891,1.746571,0.0081,59.57,0.018519,0.159104
1778265287.6056051,55,0.9918,0,23.5090,0.4274,25.7017,1.608462,0.0082,52.11,0.018182,0.159104
1778265287.6326206,56,0.9929,0,23.3642,0.4172,25.6806,1.446266,0.0081,41.91,0.017857,0.159104
1778265287.6600387,57,0.9949,0,23.1455,0.4061,25.6187,1.283273,0.0084,31.60,0.017544,0.159104
1778265287.686246,58,0.9970,0,23.7197,0.4090,25.6605,1.190306,0.0082,22.83,0.017241,0.159104
1778265287.7163687,59,0.9985,0,23.7862,0.4032,25.7013,1.043782,0.0083,16.47,0.016949,0.159104
