time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778265291.6586297,1,0.9996,0,18.2801,18.2801,18.2801,9.187141,0.0082,-7.92,1.000000,1.000000
1778265291.6831727,2,0.9995,0,22.7496,11.3748,26.2023,1.074448,0.0081,-11.18,0.500000,0.500000
1778265291.7074208,3,0.9994,0,24.6788,8.2263,31.1786,0.579141,0.0081,-13.85,0.333333,0.333333
1778265291.7315176,4,0.9994,0,25.7925,6.4481,34.6682,1.291041,0.0080,-13.26,0.250000,0.250000
1778265291.7561707,5,0.9995,0,26.5964,5.3193,37.3093,2.306497,0.0083,-10.14,0.200000,0.200000
1778265291.7808304,6,0.9995,0,26.9131,4.4855,39.3145,3.471431,0.0081,-9.49,0.166667,0.166667
1778265291.8053143,7,0.9995,0,27.3320,3.9046,40.6914,4.370833,0.0082,-9.78,0.142857,0.159104
1778265291.8304882,8,0.9994,0,27.6881,3.4610,41.5329,4.958019,0.0085,-12.86,0.125000,0.159104
1778265291.855091,9,0.9993,0,28.2080,3.1342,42.0484,5.166481,0.0081,-16.03,0.111111,0.159104
1778265291.8793693,10,0.9993,0,28.5314,2.8531,42.2970,5.301142,0.0082,-14.81,0.100000,0.159104
1778265291.9037056,11,0.9993,0,28.6247,2.6022,42.3099,5.444662,0.0081,-13.54,0.090909,0.159104
1778265291.927841,12,0.9992,0,28.7232,2.3936,42.1610,5.408907,0.0080,-11.28,0.083333,0.159104
1778265291.951936,13,0.9991,0,28.4471,2.1882,41.8191,5.438285,0.0080,-10.04,0.076923,0.159104
1778265291.9769793,14,0.9991,0,28.5477,2.0391,41.4223,5.065844,0.0083,-10.25,0.071429,0.159104
1778265292.003539,15,0.9992,0,28.6658,1.9111,40.9997,4.708429,0.0081,-7.86,0.066667,0.159104
1778265292.029037,16,0.9994,0,28.4965,1.7810,40.5080,4.587337,0.0080,-5.92,0.062500,0.159104
1778265292.0535622,17,0.9993,0,28.3310,1.6665,39.9720,4.471075,0.0080,-2.62,0.058824,0.159104
1778265292.0777757,18,0.9987,0,28.0371,1.5576,39.3829,4.431095,0.0080,0.97,0.055556,0.159104
1778265292.102096,19,0.9979,0,27.7798,1.4621,38.7663,4.279380,0.0082,2.56,0.052632,0.159104
1778265292.1271245,20,0.9975,0,27.8391,1.3920,38.1982,3.894359,0.0082,3.44,0.050000,0.159104
1778265292.1512706,21,0.9978,0,27.8506,1.3262,37.6671,3.508862,0.0081,1.67,0.047619,0.159104
1778265292.175372,22,0.9984,0,28.0337,1.2743,37.2059,3.019210,0.0080,0.27,0.045455,0.159104
1778265292.2007911,23,0.9990,0,27.9067,1.2133,36.7467,2.798513,0.0080,-2.31,0.043478,0.159104
1778265292.2262244,24,0.9994,0,27.4010,1.1417,36.2198,2.857387,0.0081,-4.71,0.041667,0.159104
1778265292.2519305,25,0.9994,0,26.6384,1.0655,35.5914,3.215926,0.0081,-0.96,0.040000,0.159104
1778265292.277764,26,0.9995,0,25.7403,0.9900,34.8565,3.505867,0.0082,5.67,0.038462,0.159104
1778265292.303775,27,0.9998,0,24.9600,0.9244,34.0593,3.619478,0.0081,13.87,0.037037,0.159104
1778265292.329573,28,1.0000,0,24.3004,0.8679,33.2364,3.624860,0.0081,24.55,0.035714,0.159104
1778265292.355453,29,1.0000,0,23.9462,0.8257,32.4527,3.401996,0.0082,30.84,0.034483,0.159104
1778265292.3813949,30,1.0000,0,23.6993,0.7900,31.7243,3.160630,0.0082,31.81,0.033333,0.159104
1778265292.4074411,31,1.0000,0,23.8125,0.7681,31.1114,2.911395,0.0082,34.28,0.032258,0.159104
1778265292.434024,32,1.0000,0,24.2588,0.7581,30.6586,2.651446,0.0088,36.80,0.031250,0.159104
1778265292.4585664,33,1.0000,0,24.8859,0.7541,30.3743,2.267667,0.0082,33.81,0.030303,0.159104
1778265292.4833171,34,1.0000,0,25.5754,0.7522,30.2433,1.779864,0.0082,27.22,0.029412,0.159104
1778265292.509281,35,0.9999,0,26.0057,0.7430,30.1939,1.348867,0.0081,16.43,0.028571,0.159104
1778265292.5352108,36,0.9998,0,26.1961,0.7277,30.1697,0.976685,0.0082,0.42,0.027778,0.159104
1778265292.5611858,37,0.9997,0,26.2638,0.7098,30.1452,0.742052,0.0082,-11.27,0.027027,0.159104
1778265292.588065,38,0.9996,0,26.2680,0.6913,30.1096,0.645304,0.0086,-17.57,0.026316,0.159104
1778265292.6146286,39,0.9995,0,26.2477,0.6730,30.0611,0.615925,0.0080,-19.83,0.025641,0.159104
1778265292.64044,40,0.9994,0,26.2660,0.6567,30.0094,0.636669,0.0083,-17.20,0.025000,0.159104
1778265292.6663373,41,0.9991,0,26.1987,0.6390,29.9405,0.713658,0.0081,-13.48,0.024390,0.159104
1778265292.6924677,42,0.9987,0,26.0220,0.6196,29.8380,0.869890,0.0081,-6.89,0.023810,0.159104
1778265292.7184448,43,0.9987,0,25.7416,0.5986,29.6896,1.173023,0.0082,2.13,0.023256,0.159104
1778265292.7445257,44,0.9988,0,25.1547,0.5717,29.4489,1.639001,0.0081,12.17,0.022727,0.159104
1778265292.77066,45,0.9981,0,24.4009,0.5422,29.1017,2.196275,0.0084,25.01,0.022222,0.159104
1778265292.7969608,46,0.9959,0,24.0688,0.5232,28.7409,2.445678,0.0082,38.51,0.021739,0.159104
1778265292.8227928,47,0.9919,0,23.6741,0.5037,28.3583,2.608432,0.0081,47.29,0.021277,0.159104
1778265292.8489368,48,0.9873,0,23.7246,0.4943,28.0367,2.546126,0.0083,50.78,0.020833,0.159104
1778265292.87495,49,0.9837,0,23.9266,0.4883,27.7934,2.367379,0.0082,51.99,0.020408,0.159104
1778265292.9006574,50,0.9828,0,23.7952,0.4759,27.5574,2.351419,0.0081,51.54,0.020000,0.159104
1778265292.926205,51,0.9846,0,23.9036,0.4687,27.3702,2.249597,0.0081,53.00,0.019608,0.159104
1778265292.9516814,52,0.9873,0,24.0100,0.4617,27.2239,2.193745,0.0081,57.82,0.019231,0.159104
1778265292.9772341,53,0.9897,0,24.2508,0.4576,27.1356,2.084024,0.0081,60.99,0.018868,0.159104
1778265293.0033422,54,0.9912,0,24.3632,0.4512,27.0739,1.943345,0.0083,59.64,0.018519,0.159104
1778265293.0293143,55,0.9918,0,24.3738,0.4432,27.0170,1.795118,0.0082,52.17,0.018182,0.159104
1778265293.0552354,56,0.9929,0,24.2505,0.4330,26.9410,1.642225,0.0082,41.96,0.017857,0.159104
1778265293.0815587,57,0.9949,0,24.0661,0.4222,26.8386,1.494865,0.0082,31.62,0.017544,0.159104
1778265293.1072602,58,0.9970,0,24.4757,0.4220,26.8175,1.333218,0.0081,22.83,0.017241,0.159104
1778265293.1332712,59,0.9985,0,24.5211,0.4156,26.8016,1.178773,0.0081,16.44,0.016949,0.159104
1778265293.1591249,60,0.9988,0,24.6894,0.4115,26.8116,1.047835,0.0081,10.59,0.016667,0.159104
1778265293.1847355,61,0.9980,0,24.9674,0.4093,26.8623,0.878933,0.0081,4.51,0.016393,0.159104
1778265293.2102766,62,0.9968,0,24.7327,0.3989,26.8589,0.789351,0.0081,-1.53,0.016129,0.159104
1778265293.2357998,63,0.9959,0,24.9172,0.3955,26.8826,0.700504,0.0081,-5.37,0.015873,0.159104
1778265293.26125,64,0.9954,0,24.8932,0.3890,26.8931,0.690726,0.0081,-7.38,0.015625,0.159104
1778265293.286661,65,0.9957,0,24.6731,0.3796,26.8591,0.802770,0.0081,-5.47,0.015385,0.159104
1778265293.3121262,66,0.9967,0,24.1780,0.3663,26.7406,1.074229,0.0081,0.08,0.015152,0.159104
1778265293.3376725,67,0.9979,0,23.7086,0.3539,26.5558,1.313722,0.0081,6.81,0.014925,0.159104
1778265293.3618345,68,0.9988,0,23.2174,0.3414,26.3117,1.575301,0.0081,16.17,0.014706,0.159104
1778265293.38734,69,0.9986,0,22.8807,0.3316,26.0447,1.813634,0.0081,28.57,0.014493,0.159104
1778265293.4129372,70,0.9973,0,22.9576,0.3280,25.8293,1.956473,0.0080,42.16,0.014286,0.159104
1778265293.4382305,71,0.9955,0,23.1198,0.3256,25.6720,2.080115,0.0080,55.32,0.014085,0.159104
1778265293.463657,72,0.9937,0,23.2024,0.3223,25.5501,2.154580,0.0081,63.34,0.013889,0.159104
1778265293.4890163,73,0.9924,0,23.5626,0.3228,25.5053,2.063832,0.0080,62.20,0.013699,0.159104
1778265293.5143676,74,0.9918,0,23.8983,0.3230,25.5212,1.838073,0.0081,50.57,0.013514,0.159104
1778265293.540069,75,0.9917,0,24.1667,0.3222,25.5766,1.520534,0.0080,32.45,0.013333,0.159104
1778265293.5654287,76,0.9918,0,24.6256,0.3240,25.6978,1.054959,0.0080,12.65,0.013158,0.159104
1778265293.5910006,77,0.9917,0,24.8455,0.3227,25.8335,0.693243,0.0081,-4.52,0.012987,0.159104
