time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z,k_b_w,k_delta_w
1778265302.5803127,1,0.0197,0,-94.5821,-94.5821,-94.5821,0.018733,0.0088,146.15,45.78,-153.71,1.000000,1.000000
1778265302.5978465,2,0.0197,0,-101.6705,-50.8352,-123.5439,0.032805,0.0077,155.03,24.61,-168.46,0.500000,0.500000
1778265302.6153016,3,0.0195,0,-106.0635,-35.3545,-141.2868,0.043707,0.0069,159.48,12.94,-174.64,0.333333,0.333333
1778265302.6318939,4,0.0192,0,-107.8093,-26.9523,-153.1317,0.045968,0.0069,162.98,3.73,-152.53,0.250000,0.250000
1778265302.6508975,5,0.0190,0,-106.9499,-21.3900,-161.0073,0.040348,0.0085,164.56,-5.73,-27.28,0.200000,0.200000
1778265302.6692188,6,0.0190,0,-102.7115,-17.1186,-165.5568,0.029771,0.0077,164.08,-13.30,103.58,0.166667,0.166667
1778265302.6875968,7,0.0191,0,-102.9907,-14.7130,-167.9744,0.035070,0.0077,161.87,-15.47,135.17,0.142857,0.159104
1778265302.7062967,8,0.0192,0,-111.1178,-13.8897,-170.6081,0.056612,0.0081,161.99,-13.31,61.74,0.125000,0.159104
1778265302.7261944,9,0.0197,0,-115.8147,-12.8683,-172.7112,0.066361,0.0094,165.17,-9.19,-8.89,0.111111,0.159104
1778265302.7453992,10,0.0212,0,-116.0859,-11.6086,-173.4636,0.063715,0.0085,167.75,-7.75,-18.39,0.100000,0.159104
1778265302.7671683,11,0.0276,0,-114.3405,-10.3946,-172.7976,0.046570,0.0112,168.62,-8.61,-11.22,0.090909,0.159104
1778265302.7849772,12,0.0471,0,-125.1940,-10.4328,-173.9967,0.026789,0.0073,164.01,-13.00,77.07,0.083333,0.159104
1778265302.8012002,13,0.0737,0,-140.6498,-10.8192,-177.7889,0.049700,0.0057,155.95,-17.61,164.91,0.076923,0.159104
1778265302.8174489,14,0.1058,0,-156.5897,-11.1850,-183.8214,0.168781,0.0057,149.41,-18.59,173.62,0.071429,0.159104
1778265302.8337362,15,0.1376,0,-167.7298,-11.1820,-190.6641,0.261108,0.0058,144.49,-18.55,171.63,0.066667,0.159104
1778265302.849875,16,0.1654,0,-171.3818,-10.7114,-196.6034,0.152505,0.0057,144.00,-20.32,170.92,0.062500,0.159104
1778265302.8661957,17,0.1892,0,-168.5536,-9.9149,-200.4780,0.197469,0.0057,144.47,-24.34,170.47,0.058824,0.159104
1778265302.8831494,18,0.2103,0,-160.4548,-8.9142,-201.6060,0.467218,0.0065,142.97,-29.41,168.96,0.055556,0.159104
1778265302.8993206,19,0.2299,0,-153.3145,-8.0692,-200.7080,0.308485,0.0057,139.97,-33.19,167.03,0.052632,0.159104
1778265302.9155095,20,0.2475,0,-151.6859,-7.5843,-199.2860,0.139281,0.0057,135.33,-33.40,165.46,0.050000,0.159104
1778265302.9324965,21,0.2617,0,-157.3875,-7.4946,-198.9220,0.712888,0.0065,131.40,-29.84,165.02,0.047619,0.159104
1778265302.9494936,22,0.2698,0,-170.4981,-7.7499,-200.9165,1.897551,0.0065,129.56,-23.66,165.27,0.045455,0.159104
1778265302.96649,23,0.2716,0,-185.3058,-8.0568,-205.2077,1.817385,0.0065,133.42,-19.95,166.04,0.043478,0.159104
1778265302.983017,24,0.2689,0,-196.5094,-8.1879,-210.7090,0.678537,0.0058,142.11,-20.59,168.31,0.041667,0.159104
1778265302.9993653,25,0.2640,0,-200.0313,-8.0013,-215.7383,0.211007,0.0057,151.03,-25.68,171.45,0.040000,0.159104
1778265303.015641,26,0.2586,0,-195.0994,-7.5038,-218.7645,0.460914,0.0058,159.52,-33.47,137.34,0.038462,0.159104
1778265303.0318615,27,0.2537,0,-187.9171,-6.9599,-219.7092,0.373135,0.0057,166.49,-39.24,51.63,0.037037,0.159104
1778265303.0479295,28,0.2502,0,-181.7407,-6.4907,-219.1263,0.104095,0.0059,170.17,-42.18,-35.46,0.035714,0.159104
1778265303.0643008,29,0.2479,0,-178.6024,-6.1587,-217.8576,0.005341,0.0057,173.17,-42.74,-123.29,0.034483,0.159104
1778265303.0805447,30,0.2449,0,-178.2802,-5.9427,-216.5579,0.001607,0.0058,174.12,-41.63,-158.88,0.033333,0.159104
1778265303.0968206,31,0.2409,0,-179.0461,-5.7757,-215.4464,0.011014,0.0058,168.46,-39.33,-72.58,0.032258,0.159104
1778265303.1129987,32,0.2364,0,-180.4692,-5.6397,-214.6238,0.026086,0.0057,158.30,-35.79,11.66,0.031250,0.159104
1778265303.129232,33,0.2314,0,-183.4489,-5.5591,-214.3383,0.056670,0.0057,147.66,-31.73,96.03,0.030303,0.159104
1778265303.1455753,34,0.2279,0,-188.3388,-5.5394,-214.8597,0.128694,0.0058,137.36,-27.21,164.96,0.029412,0.159104
1778265303.1619918,35,0.2270,0,-193.4199,-5.5263,-216.0956,0.160795,0.0057,129.73,-23.35,161.98,0.028571,0.159104
1778265303.1781876,36,0.2277,0,-198.6365,-5.5177,-217.9576,0.115524,0.0057,126.40,-20.98,160.93,0.027778,0.159104
1778265303.1943324,37,0.2289,0,-202.9862,-5.4861,-220.1888,0.039095,0.0057,123.73,-19.50,159.74,0.027027,0.159104
1778265303.21055,38,0.2301,0,-205.5218,-5.4085,-222.4032,0.019476,0.0058,121.74,-19.19,158.33,0.026316,0.159104
1778265303.2270403,39,0.2295,0,-207.8560,-5.3296,-224.5704,0.021836,0.0058,121.93,-19.69,157.69,0.025641,0.159104
1778265303.2435718,40,0.2261,0,-211.1167,-5.2779,-226.8680,0.064511,0.0057,124.83,-20.52,158.16,0.025000,0.159104
1778265303.2602487,41,0.2212,0,-216.1419,-5.2718,-229.5945,0.165112,0.0059,131.60,-21.85,160.07,0.024390,0.159104
1778265303.2768714,42,0.2188,0,-221.4913,-5.2736,-232.7398,0.157614,0.0059,139.55,-24.33,162.62,0.023810,0.159104
1778265303.293481,43,0.2219,0,-220.2033,-5.1210,-235.0514,0.318226,0.0058,146.21,-29.95,164.97,0.023256,0.159104
1778265303.3110259,44,0.2300,0,-208.3811,-4.7359,-234.7905,1.741891,0.0067,146.92,-37.48,163.89,0.022727,0.159104
1778265303.3295774,45,0.2390,0,-184.2212,-4.0938,-230.1872,3.953165,0.0082,137.35,-43.72,155.80,0.022222,0.159104
1778265303.3500788,46,0.2437,0,-150.9416,-3.2813,-220.3382,4.605752,0.0098,124.57,-46.60,146.35,0.021739,0.159104
1778265303.3706973,47,0.2436,0,-116.8476,-2.4861,-205.9631,3.312999,0.0099,115.83,-47.08,142.13,0.021277,0.159104
1778265303.3927987,48,0.2403,0,-92.0057,-1.9168,-189.4439,1.455299,0.0113,114.88,-46.26,146.20,0.020833,0.159104
