time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778265305.9692955,1,0.9996,0,18.2801,18.2801,18.2801,9.187141,0.0050,-7.92,1.000000,1.000000
1778265305.9842684,2,0.9995,0,22.7496,11.3748,26.2023,1.074448,0.0049,-11.18,0.500000,0.500000
1778265305.999168,3,0.9994,0,24.6788,8.2263,31.1786,0.579141,0.0049,-13.85,0.333333,0.333333
1778265306.0142272,4,0.9994,0,25.7925,6.4481,34.6682,1.291041,0.0049,-13.26,0.250000,0.250000
1778265306.0288823,5,0.9995,0,26.5964,5.3193,37.3093,2.306497,0.0049,-10.14,0.200000,0.200000
1778265306.0434947,6,0.9995,0,26.9131,4.4855,39.3145,3.471431,0.0049,-9.49,0.166667,0.166667
1778265306.058239,7,0.9995,0,27.3320,3.9046,40.6914,4.370833,0.0049,-9.78,0.142857,0.159104
1778265306.0729644,8,0.9994,0,27.6881,3.4610,41.5329,4.958019,0.0049,-12.86,0.125000,0.159104
1778265306.0876153,9,0.9993,0,28.2080,3.1342,42.0484,5.166481,0.0049,-16.03,0.111111,0.159104
1778265306.1022007,10,0.9993,0,28.5314,2.8531,42.2970,5.301142,0.0049,-14.81,0.100000,0.159104
1778265306.1168897,11,0.9993,0,28.6247,2.6022,42.3099,5.444662,0.0049,-13.54,0.090909,0.159104
1778265306.1315851,12,0.9992,0,28.7232,2.3936,42.1610,5.408907,0.0049,-11.28,0.083333,0.159104
1778265306.146336,13,0.9991,0,28.4471,2.1882,41.8191,5.438285,0.0049,-10.04,0.076923,0.159104
1778265306.1609945,14,0.9991,0,28.5477,2.0391,41.4223,5.065844,0.0049,-10.25,0.071429,0.159104
1778265306.1763794,15,0.9992,0,28.6658,1.9111,40.9997,4.708429,0.0049,-7.86,0.066667,0.159104
1778265306.1918492,16,0.9994,0,28.4965,1.7810,40.5080,4.587337,0.0049,-5.92,0.062500,0.159104
1778265306.206601,17,0.9993,0,28.3310,1.6665,39.9720,4.471075,0.0049,-2.62,0.058824,0.159104
1778265306.2213445,18,0.9987,0,28.0371,1.5576,39.3829,4.431095,0.0049,0.97,0.055556,0.159104
1778265306.2359874,19,0.9979,0,27.7798,1.4621,38.7663,4.279380,0.0049,2.56,0.052632,0.159104
1778265306.2505858,20,0.9975,0,27.8391,1.3920,38.1982,3.894359,0.0049,3.44,0.050000,0.159104
1778265306.2656736,21,0.9978,0,27.8506,1.3262,37.6671,3.508862,0.0050,1.67,0.047619,0.159104
1778265306.280584,22,0.9984,0,28.0337,1.2743,37.2059,3.019210,0.0050,0.27,0.045455,0.159104
1778265306.2961166,23,0.9990,0,27.9067,1.2133,36.7467,2.798513,0.0049,-2.31,0.043478,0.159104
1778265306.3116207,24,0.9994,0,27.4010,1.1417,36.2198,2.857387,0.0049,-4.71,0.041667,0.159104
1778265306.3271215,25,0.9994,0,26.6384,1.0655,35.5914,3.215926,0.0049,-0.96,0.040000,0.159104
1778265306.3425558,26,0.9995,0,25.7403,0.9900,34.8565,3.505867,0.0049,5.67,0.038462,0.159104
1778265306.358047,27,0.9998,0,24.9600,0.9244,34.0593,3.619478,0.0049,13.87,0.037037,0.159104
1778265306.3734696,28,1.0000,0,24.3004,0.8679,33.2364,3.624860,0.0049,24.55,0.035714,0.159104
1778265306.3888597,29,1.0000,0,23.9462,0.8257,32.4527,3.401996,0.0049,30.84,0.034483,0.159104
1778265306.4042552,30,1.0000,0,23.6993,0.7900,31.7243,3.160630,0.0049,31.81,0.033333,0.159104
1778265306.4196186,31,1.0000,0,23.8125,0.7681,31.1114,2.911395,0.0049,34.28,0.032258,0.159104
1778265306.435565,32,1.0000,0,24.2588,0.7581,30.6586,2.651446,0.0053,36.80,0.031250,0.159104
1778265306.45034,33,1.0000,0,24.8859,0.7541,30.3743,2.267667,0.0049,33.81,0.030303,0.159104
1778265306.465071,34,1.0000,0,25.5754,0.7522,30.2433,1.779864,0.0049,27.22,0.029412,0.159104
1778265306.4804754,35,0.9999,0,26.0057,0.7430,30.1939,1.348867,0.0048,16.43,0.028571,0.159104
1778265306.4958713,36,0.9998,0,26.1961,0.7277,30.1697,0.976685,0.0049,0.42,0.027778,0.159104
1778265306.5115063,37,0.9997,0,26.2638,0.7098,30.1452,0.742052,0.0050,-11.27,0.027027,0.159104
1778265306.5270925,38,0.9996,0,26.2680,0.6913,30.1096,0.645304,0.0049,-17.57,0.026316,0.159104
1778265306.542552,39,0.9995,0,26.2477,0.6730,30.0611,0.615925,0.0049,-19.83,0.025641,0.159104
1778265306.5579326,40,0.9994,0,26.2660,0.6567,30.0094,0.636669,0.0048,-17.20,0.025000,0.159104
1778265306.5733848,41,0.9991,0,26.1987,0.6390,29.9405,0.713658,0.0049,-13.48,0.024390,0.159104
1778265306.5887883,42,0.9987,0,26.0220,0.6196,29.8380,0.869890,0.0049,-6.89,0.023810,0.159104
1778265306.604162,43,0.9987,0,25.7416,0.5986,29.6896,1.173023,0.0049,2.13,0.023256,0.159104
1778265306.6196036,44,0.9988,0,25.1547,0.5717,29.4489,1.639001,0.0049,12.17,0.022727,0.159104
1778265306.635039,45,0.9981,0,24.4009,0.5422,29.1017,2.196275,0.0049,25.01,0.022222,0.159104
1778265306.6504297,46,0.9959,0,24.0688,0.5232,28.7409,2.445678,0.0048,38.51,0.021739,0.159104
1778265306.6658506,47,0.9919,0,23.6741,0.5037,28.3583,2.608432,0.0049,47.29,0.021277,0.159104
1778265306.6812592,48,0.9873,0,23.7246,0.4943,28.0367,2.546126,0.0049,50.78,0.020833,0.159104
1778265306.6968029,49,0.9837,0,23.9266,0.4883,27.7934,2.367379,0.0049,51.99,0.020408,0.159104
1778265306.712218,50,0.9828,0,23.7952,0.4759,27.5574,2.351419,0.0049,51.54,0.020000,0.159104
1778265306.7275732,51,0.9846,0,23.9036,0.4687,27.3702,2.249597,0.0049,53.00,0.019608,0.159104
1778265306.7429397,52,0.9873,0,24.0100,0.4617,27.2239,2.193745,0.0048,57.82,0.019231,0.159104
1778265306.7584703,53,0.9897,0,24.2508,0.4576,27.1356,2.084024,0.0050,60.99,0.018868,0.159104
1778265306.7742848,54,0.9912,0,24.3632,0.4512,27.0739,1.943345,0.0049,59.64,0.018519,0.159104
1778265306.7900054,55,0.9918,0,24.3738,0.4432,27.0170,1.795118,0.0049,52.17,0.018182,0.159104
1778265306.8057866,56,0.9929,0,24.2505,0.4330,26.9410,1.642225,0.0050,41.96,0.017857,0.159104
1778265306.8215,57,0.9949,0,24.0661,0.4222,26.8386,1.494865,0.0049,31.62,0.017544,0.159104
1778265306.8373995,58,0.9970,0,24.4757,0.4220,26.8175,1.333218,0.0050,22.83,0.017241,0.159104
1778265306.8533103,59,0.9985,0,24.5211,0.4156,26.8016,1.178773,0.0049,16.44,0.016949,0.159104
1778265306.8690653,60,0.9988,0,24.6894,0.4115,26.8116,1.047835,0.0049,10.59,0.016667,0.159104
1778265306.8847747,61,0.9980,0,24.9674,0.4093,26.8623,0.878933,0.0050,4.51,0.016393,0.159104
1778265306.9004507,62,0.9968,0,24.7327,0.3989,26.8589,0.789351,0.0050,-1.53,0.016129,0.159104
1778265306.916155,63,0.9959,0,24.9172,0.3955,26.8826,0.700504,0.0049,-5.37,0.015873,0.159104
1778265306.9320328,64,0.9954,0,24.8932,0.3890,26.8931,0.690726,0.0051,-7.38,0.015625,0.159104
1778265306.9477816,65,0.9957,0,24.6731,0.3796,26.8591,0.802770,0.0049,-5.47,0.015385,0.159104
1778265306.963305,66,0.9967,0,24.1780,0.3663,26.7406,1.074229,0.0049,0.08,0.015152,0.159104
1778265306.9788215,67,0.9979,0,23.7086,0.3539,26.5558,1.313722,0.0049,6.81,0.014925,0.159104
1778265306.9935124,68,0.9988,0,23.2174,0.3414,26.3117,1.575301,0.0049,16.17,0.014706,0.159104
1778265307.0090437,69,0.9986,0,22.8807,0.3316,26.0447,1.813634,0.0049,28.57,0.014493,0.159104
1778265307.0248206,70,0.9973,0,22.9576,0.3280,25.8293,1.956473,0.0049,42.16,0.014286,0.159104
1778265307.0403228,71,0.9955,0,23.1198,0.3256,25.6720,2.080115,0.0049,55.32,0.014085,0.159104
1778265307.0558434,72,0.9937,0,23.2024,0.3223,25.5501,2.154580,0.0049,63.34,0.013889,0.159104
1778265307.0713954,73,0.9924,0,23.5626,0.3228,25.5053,2.063832,0.0049,62.20,0.013699,0.159104
1778265307.0867698,74,0.9918,0,23.8983,0.3230,25.5212,1.838073,0.0049,50.57,0.013514,0.159104
1778265307.1021578,75,0.9917,0,24.1667,0.3222,25.5766,1.520534,0.0049,32.45,0.013333,0.159104
1778265307.1175237,76,0.9918,0,24.6256,0.3240,25.6978,1.054959,0.0049,12.65,0.013158,0.159104
1778265307.1329515,77,0.9917,0,24.8455,0.3227,25.8335,0.693243,0.0049,-4.52,0.012987,0.159104
1778265307.1486328,78,0.9907,0,25.0365,0.3210,25.9766,0.482467,0.0049,-15.53,0.012821,0.159104
1778265307.1641042,79,0.9884,0,25.2312,0.3194,26.1266,0.388529,0.0049,-20.93,0.012658,0.159104
1778265307.1796815,80,0.9853,0,25.3094,0.3164,26.2626,0.389133,0.0049,-22.82,0.012500,0.159104
1778265307.1952019,81,0.9825,0,25.3551,0.3130,26.3814,0.436073,0.0049,-23.42,0.012346,0.159104
1778265307.2098608,82,0.9803,0,25.2696,0.3082,26.4637,0.489317,0.0049,-23.43,0.012195,0.159104
1778265307.224487,83,0.9792,0,25.1761,0.3033,26.5139,0.519875,0.0048,-23.52,0.012048,0.159104
1778265307.2393644,84,0.9786,0,25.1888,0.2999,26.5552,0.521159,0.0050,-23.61,0.011905,0.159104
1778265307.255156,85,0.9781,0,25.2407,0.2969,26.5958,0.534954,0.0049,-23.63,0.011765,0.159104
1778265307.2708867,86,0.9781,0,25.0655,0.2915,26.5974,0.592303,0.0049,-23.59,0.011628,0.159104
1778265307.286747,87,0.9797,0,24.5527,0.2822,26.5094,0.738835,0.0050,-23.61,0.011494,0.159104
1778265307.3019636,88,0.9836,0,24.3332,0.2765,26.3957,0.715323,0.0050,-23.60,0.011364,0.159104
1778265307.3175416,89,0.9887,0,24.2656,0.2726,26.2860,0.623875,0.0049,-24.12,0.011236,0.159104
1778265307.3330173,90,0.9938,0,24.5458,0.2727,26.2385,0.512652,0.0049,-25.73,0.011111,0.159104
1778265307.348415,91,0.9977,0,25.0660,0.2755,26.2836,0.322952,0.0048,-24.62,0.010989,0.159104
1778265307.3631127,92,0.9994,0,25.3630,0.2757,26.3689,0.304611,0.0041,-21.32,0.010870,0.159104
1778265307.3778195,93,0.9996,0,25.3872,0.2730,26.4423,0.365727,0.0049,-19.04,0.010753,0.159104
1778265307.3934114,94,0.9992,0,25.2567,0.2687,26.4796,0.459020,0.0049,-15.50,0.010638,0.159104
1778265307.4088824,95,0.9986,0,25.2599,0.2659,26.5091,0.496750,0.0049,-14.19,0.010526,0.159104
1778265307.4243174,96,0.9981,0,25.1420,0.2619,26.5118,0.524578,0.0049,-14.67,0.010417,0.159104
1778265307.4397225,97,0.9977,0,25.0830,0.2586,26.5019,0.555228,0.0048,-13.13,0.010309,0.159104
1778265307.4553027,98,0.9976,0,25.1150,0.2563,26.4968,0.581328,0.0049,-11.18,0.010204,0.159104
1778265307.470842,99,0.9976,0,25.1171,0.2537,26.4906,0.639642,0.0049,-8.60,0.010101,0.159104
1778265307.4866107,100,0.9980,0,25.0700,0.2507,26.4754,0.747230,0.0049,-4.28,0.010000,0.159104
1778265307.502144,101,0.9985,0,25.1623,0.2491,26.4760,0.853206,0.0049,1.24,0.009901,0.159104
1778265307.5176058,102,0.9990,0,25.0297,0.2454,26.4522,1.009942,0.0050,6.31,0.009804,0.159104
1778265307.5330756,103,0.9994,0,24.8888,0.2416,26.4066,1.133829,0.0048,9.47,0.009709,0.159104
1778265307.546961,104,0.9992,0,24.7950,0.2384,26.3507,1.145121,0.0041,8.25,0.009615,0.159104
1778265307.5624545,105,0.9985,0,24.6908,0.2352,26.2843,1.086094,0.0049,4.47,0.009524,0.159104
1778265307.5778348,106,0.9974,0,24.8605,0.2345,26.2550,0.921453,0.0049,-1.41,0.009434,0.159104
1778265307.5932975,107,0.9963,0,24.9935,0.2336,26.2507,0.710330,0.0049,-8.69,0.009346,0.159104
1778265307.608708,108,0.9955,0,25.3072,0.2343,26.2977,0.524041,0.0049,-14.66,0.009259,0.159104
1778265307.6241994,109,0.9950,0,25.4666,0.2336,26.3619,0.399429,0.0049,-19.72,0.009174,0.159104
1778265307.6396818,110,0.9947,0,25.5452,0.2322,26.4272,0.331142,0.0049,-22.85,0.009091,0.159104
1778265307.6582456,111,0.9945,0,25.4328,0.2291,26.4617,0.340873,0.0059,-25.22,0.009009,0.159104
1778265307.680043,112,0.9946,0,25.0772,0.2239,26.4297,0.381697,0.0053,-29.24,0.008929,0.159104
1778265307.6971834,113,0.9951,0,24.6376,0.2180,26.3279,0.431171,0.0053,-32.83,0.008850,0.159104
1778265307.713914,114,0.9957,0,24.0711,0.2111,26.1464,0.547801,0.0049,-31.45,0.008772,0.159104
1778265307.729421,115,0.9964,0,23.5795,0.2050,25.9104,0.724011,0.0049,-24.02,0.008696,0.159104
1778265307.7448964,116,0.9969,0,23.0980,0.1991,25.6304,0.931456,0.0049,-11.26,0.008621,0.159104
1778265307.7603877,117,0.9971,0,22.6753,0.1938,25.3232,1.111685,0.0049,1.85,0.008547,0.159104
1778265307.7761679,118,0.9970,0,22.4076,0.1899,25.0190,1.238222,0.0049,9.76,0.008475,0.159104
1778265307.7916894,119,0.9965,0,22.5503,0.1895,24.7856,1.341180,0.0049,15.59,0.008403,0.159104
1778265307.8073127,120,0.9958,0,23.1097,0.1926,24.6809,1.379382,0.0049,19.66,0.008333,0.159104
1778265307.8227942,121,0.9952,0,23.7328,0.1961,24.6950,1.259910,0.0049,16.34,0.008264,0.159104
1778265307.8384743,122,0.9947,0,24.3876,0.1999,24.8141,1.016027,0.0049,11.22,0.008197,0.159104
1778265307.85316,123,0.9947,0,24.8084,0.2017,24.9828,0.728868,0.0041,1.24,0.008130,0.159104
1778265307.867918,124,0.9948,0,24.9490,0.2012,25.1466,0.502389,0.0041,-11.17,0.008065,0.159104
1778265307.8834527,125,0.9950,0,24.9933,0.1999,25.2904,0.383786,0.0049,-17.59,0.008000,0.159104
1778265307.8989923,126,0.9953,0,25.0357,0.1987,25.4169,0.316077,0.0049,-22.33,0.007937,0.159104
1778265307.9145396,127,0.9956,0,24.9941,0.1968,25.5152,0.291732,0.0049,-24.26,0.007874,0.159104
1778265307.9299824,128,0.9961,0,25.0296,0.1955,25.6023,0.334612,0.0048,-23.10,0.007812,0.159104
1778265307.9457147,129,0.9970,0,25.1632,0.1951,25.6965,0.337127,0.0049,-21.37,0.007752,0.159104
1778265307.9612522,130,0.9981,0,25.1409,0.1934,25.7707,0.345685,0.0049,-20.16,0.007692,0.159104
1778265307.9768043,131,0.9990,0,25.1409,0.1919,25.8319,0.356150,0.0049,-18.71,0.007634,0.159104
1778265307.9917083,132,0.9997,0,25.1911,0.1908,25.8904,0.305398,0.0042,-19.10,0.007576,0.159104
1778265308.0060444,133,0.9998,0,25.0903,0.1886,25.9218,0.277273,0.0042,-19.64,0.007519,0.159104
1778265308.0211892,134,0.9995,0,25.1306,0.1875,25.9536,0.238196,0.0043,-20.11,0.007463,0.159104
1778265308.0372047,135,0.9992,0,25.1943,0.1866,25.9897,0.198043,0.0050,-21.30,0.007407,0.159104
1778265308.0530844,136,0.9990,0,25.1132,0.1847,26.0055,0.189000,0.0049,-22.34,0.007353,0.159104
1778265308.0690527,137,0.9989,0,25.1603,0.1837,26.0255,0.183783,0.0050,-23.21,0.007299,0.159104
1778265308.0850856,138,0.9988,0,25.1821,0.1825,26.0447,0.182901,0.0050,-23.25,0.007246,0.159104
1778265308.10189,139,0.9989,0,25.1802,0.1812,26.0595,0.187179,0.0049,-23.27,0.007194,0.159104
1778265308.117891,140,0.9989,0,25.1789,0.1798,26.0706,0.190264,0.0051,-23.26,0.007143,0.159104
1778265308.1334674,141,0.9989,0,25.2118,0.1788,26.0843,0.188064,0.0049,-23.25,0.007092,0.159104
1778265308.1489952,142,0.9986,0,25.2703,0.1780,26.1045,0.198295,0.0049,-23.26,0.007042,0.159104
1778265308.165188,143,0.9972,0,25.2658,0.1767,26.1196,0.246894,0.0052,-23.20,0.006993,0.159104
1778265308.181142,144,0.9945,0,25.1636,0.1747,26.1144,0.323551,0.0049,-23.19,0.006944,0.159104
1778265308.1970084,145,0.9913,0,25.4842,0.1758,26.1620,0.428068,0.0049,-23.19,0.006897,0.159104
1778265308.2124832,146,0.9881,0,25.2365,0.1729,26.1601,0.511288,0.0049,-23.26,0.006849,0.159104
1778265308.2279682,147,0.9861,0,25.1187,0.1709,26.1381,0.521206,0.0049,-23.38,0.006803,0.159104
1778265308.242629,148,0.9857,0,25.2138,0.1704,26.1343,0.483108,0.0049,-23.40,0.006757,0.159104
1778265308.258148,149,0.9859,0,24.8967,0.1671,26.0779,0.405030,0.0049,-23.42,0.006711,0.159104
1778265308.2739084,150,0.9862,0,24.8607,0.1657,26.0236,0.386904,0.0049,-23.29,0.006667,0.159104
1778265308.2896407,151,0.9861,0,24.6345,0.1631,25.9398,0.353550,0.0049,-23.04,0.006623,0.159104
1778265308.305046,152,0.9854,0,24.0364,0.1581,25.7699,0.414723,0.0048,-22.87,0.006579,0.159104
1778265308.3204339,153,0.9842,0,23.4118,0.1530,25.5234,0.385393,0.0049,-22.67,0.006536,0.159104
1778265308.336143,154,0.9829,0,23.0215,0.1495,25.2510,0.357809,0.0050,-22.50,0.006494,0.159104
1778265308.3516805,155,0.9817,0,22.7409,0.1467,24.9750,0.385383,0.0049,-22.45,0.006452,0.159104
1778265308.3671732,156,0.9808,0,22.6734,0.1453,24.7311,0.385203,0.0049,-22.36,0.006410,0.159104
1778265308.38261,157,0.9802,0,22.5512,0.1436,24.5050,0.410066,0.0049,-22.33,0.006369,0.159104
1778265308.3988147,158,0.9799,0,22.3728,0.1416,24.2848,0.488433,0.0049,-22.30,0.006329,0.159104
1778265308.4150233,159,0.9801,0,22.2450,0.1399,24.0779,0.551473,0.0049,-22.24,0.006289,0.159104
1778265308.430404,160,0.9807,0,22.1413,0.1384,23.8862,0.520679,0.0049,-22.43,0.006250,0.159104
1778265308.445832,161,0.9810,0,22.0529,0.1370,23.7097,0.446524,0.0049,-22.79,0.006211,0.159104
1778265308.461334,162,0.9814,0,22.7745,0.1406,23.6791,0.548605,0.0049,-23.04,0.006173,0.159104
1778265308.4768963,163,0.9832,0,22.9176,0.1406,23.6762,0.442275,0.0049,-23.41,0.006135,0.159104
