time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,k_b_w,k_delta_w
1778265341.631066,1,0.9996,0,24.1304,24.1202,24.1304,0.629163,0.0054,-8.13,1.000000,1.000000
1778265341.6504734,2,0.9995,0,24.1745,12.0883,30.1996,0.563522,0.0042,-11.21,0.500000,0.500000
1778265341.6683118,3,0.9994,0,24.1935,8.0675,33.5785,0.519792,0.0049,-13.84,0.333333,0.333333
1778265341.686732,4,0.9994,0,24.0767,6.0226,35.7223,0.549272,0.0041,-13.24,0.250000,0.250000
1778265341.7086313,5,0.9995,0,24.0249,4.8084,37.2313,0.640576,0.0049,-10.10,0.200000,0.200000
1778265341.7292888,6,0.9995,0,23.6015,3.9368,38.2417,0.708045,0.0053,-9.44,0.166667,0.166667
1778265341.747751,7,0.9995,0,23.5160,3.3625,38.7278,0.699978,0.0049,-9.73,0.142857,0.159104
1778265341.766105,8,0.9994,0,23.5473,2.9463,38.7918,0.635142,0.0049,-12.84,0.125000,0.159104
1778265341.7841375,9,0.9993,0,23.9637,2.6654,38.6759,0.626737,0.0049,-16.03,0.111111,0.159104
1778265341.8035705,10,0.9993,0,24.2246,2.4252,38.4179,0.629249,0.0049,-14.79,0.100000,0.159104
1778265341.822235,11,0.9993,0,24.2684,2.2088,38.0259,0.664883,0.0054,-13.50,0.090909,0.159104
1778265341.8463306,12,0.9992,0,24.3948,2.0354,37.5707,0.688864,0.0049,-11.26,0.083333,0.159104
1778265341.8751984,13,0.9991,0,24.0797,1.8548,36.9861,0.629888,0.0049,-10.06,0.076923,0.159104
1778265341.89153,14,0.9991,0,24.3226,1.7398,36.4364,0.562956,0.0049,-10.30,0.071429,0.159104
1778265341.9083035,15,0.9992,0,24.6051,1.6427,35.9371,0.548264,0.0050,-7.91,0.066667,0.159104
1778265341.9242737,16,0.9994,0,24.5168,1.5346,35.4117,0.590899,0.0050,-5.93,0.062500,0.159104
1778265341.9403918,17,0.9993,0,24.4551,1.4407,34.8813,0.680515,0.0050,-2.61,0.058824,0.159104
1778265341.9574213,18,0.9987,0,24.2363,1.3486,34.3242,0.789393,0.0051,0.96,0.055556,0.159104
1778265341.9743958,19,0.9979,0,24.0824,1.2697,33.7662,0.836849,0.0050,2.50,0.052632,0.159104
1778265341.9906113,20,0.9975,0,24.3566,1.2201,33.2993,0.841088,0.0050,3.35,0.050000,0.159104
1778265342.006094,21,0.9978,0,24.5534,1.1715,32.8964,0.770910,0.0043,1.59,0.047619,0.159104
1778265342.0223978,22,0.9984,0,24.9632,1.1369,32.5925,0.645940,0.0051,0.26,0.045455,0.159104
1778265342.039375,23,0.9990,0,24.9402,1.0865,32.2900,0.586611,0.0050,-2.23,0.043478,0.159104
1778265342.0556183,24,0.9994,0,24.4149,1.0194,31.8951,0.622510,0.0050,-4.53,0.041667,0.159104
1778265342.0718324,25,0.9994,0,23.5709,0.9449,31.3661,0.865773,0.0050,-0.69,0.040000,0.159104
1778265342.0880775,26,0.9995,0,22.5836,0.8706,30.7016,1.020973,0.0051,5.95,0.038462,0.159104
1778265342.1042552,27,0.9998,0,21.7887,0.8089,29.9641,1.111454,0.0050,14.14,0.037037,0.159104
